code,scientific,top_page,family,local_name,country,wikipedia,photo,occurance,leaf_type,leaf_attachment,leaf_shape,flow_size,fruit_size,canopy_shape,bark,flower,fruit,leaf_size,fruiting_month,leaf_margin,leaf_veination ,petiole,sessile,scale,evergreen,deciduous
CAGR,capparis grandis,19,Capparaceae,Pachunda,India-Pune,http://en.wikipedia.org/wiki/Capparis,yes,occasional,Simple,Alternate,Elliptic,3 cm,2 cm,conical,"tall,butteressed at base","Small,White ","Ablong, Pointed",3,March,Entire,Reticulate,yes,No,No,Yes,No
DIBU,diospyros buxifolia,19,Ebenaceae,Striped Ebony,India-South India,,no,occasional,Simple,Alternate,Elliptic,,2 cm,globular,"dark brown,deeply cracked.","White, Fragrant","Purpleish, Globose, Smooth",4,March,Entire,Reticulate,No,Yes,No,Yes,No
ANAC,anogeissus acuminata,20,Combretaceae,Maha Dhawda,India-Rajasthan,http://en.wikipedia.org/wiki/Anogeissus,yes,occasional,Simple,Alternate,Elliptic,,1cm,irregular,,"Fragrant Yellow,in Globose","Round ,Beaked",4,"Feb,March",Entire,Reticulate,No,Yes,No,No,Yes
ANSE,anogeissus sericea,20,Combretaceae,,,http://en.wikipedia.org/wiki/Anogeissus,yes,occasional,Simple,Alternate,Elliptic,,,,,"Fragrant Yellow,in Globose","Round ,Beaked",4,"Feb,March",Entire,Reticulate,No,Yes,No,No,Yes
CIMI,citrofortunella mitis,20,Rutaceae,Mandarin Orange,China,http://en.wikipedia.org/wiki/x_Citrofortunella_mitis,yes,occasional,Simple,Alternate,Elliptic,1cm,3-4 cm,irregular,,"White, Fragrant","Round ,Bright,Orange",5,"March,April",Entire,Reticulate,Yes,No,No,Yes,No
FIBE,ficus benjamina,21,Moraceae,Nuda,India,http://en.wikipedia.org/wiki/Ficus_benjamina,yes,common,Simple,Alternate,Elliptic,,,spreading,,No,No,5,"March,April",Entire,Reticulate,Yes,No,No,Yes,No
FIBE,ficus benjamina var. nuda,21,Moraceae,Benjamina,India,,no,occasional,Simple,Alternate,Elliptic,,,spreading,without aerial roots,No,No,5,March,Entire,Reticulate,Yes,No,No,Yes,No
ANLA,anogeissus latifolia,22,Combretaceae,Dhawda,India-Pune,http://en.wikipedia.org/wiki/Anogeissus_latifolia,yes,occasional,Simple,Alternate,Elliptic,2cm,1cm,irregular,"smooth,light coloured",Globose,"Globose,Beaked",6,"March,April",Wavy,Reticulate,Yes,No,No,No,Yes
FIMI,ficus microcarpa,22,Moraceae,Nandruk,India,http://en.wikipedia.org/wiki/Ficus_microcarpa,yes,common,Simple,Alternate,Elliptic,,,spreading,,No,No,6,"March,April",Entire,Reticulate,Yes,No,No,Yes,No
GRFI,grewia flavescens,23,Tiliaceae,Khatkhati,India-Pune,http://en.wikipedia.org/wiki/Grewia,yes,occasional,Simple,Alternate,Elliptic,1cm,4cm,trailing,quadrangular deep grooved,Yellow,Yellowish Brown,6,"July,Augest",Serrate,Reticulate,Yes,No,No,No,Yes
MAZA,manilkara zapota,23,Sapotaceae,Chikkoo,West Indies,http://en.wikipedia.org/wiki/Manilkara_zapota,yes,common,Simple,Alternate,Elliptic,,5-8cm,globular,,"Small,Creamish Yellow",Brown,6,April,Entire,Reticulate,Yes,No,No,Yes,No
FLLA,flacourtia latifolia,24,Flacourtiaceae,Tambat,India-Pune,http://es.wikipedia.org/wiki/Flacourtia,yes,occasional,Simple,Alternate,Elliptic,5cm,1cm,erect,armed,"Small,Grean","Globose,Purple",7,"March,April",Crenate-serrate,Reticulate,Yes,No,No,No,Yes
FLMO,flacourtia montana,24,Flacourtiaceae,Tambat,India-Pune,http://en.wikipedia.org/wiki/Flacourtia,yes,occasional,Simple,Alternate,Elliptic,,,erect,armed,"Small,Grean","Globose,Purple",7,"March,April",Crenate-serrate,Reticulate,Yes,No,No,No,Yes
GLEL,glochidion ellipticum,24,Euphorbiaceae,Bhoma,India-Pune,,no,occasional,Simple,Alternate,Elliptic,,1cm,erect,,Green,Globose,8,Feb,Acuminate,Reticulate,Yes,No,No,Yes,No
ANRE,annona reticulata,25,Annonaceae,Sitaphal,West Indies,http://en.wikipedia.org/wiki/Annona_reticulata,yes,Rare,Simple,Alternate,Elliptic,3 cm,5-10cm,oval,,Fragrant Green,"Globose,Green",8,May,Entire,Reticulate,yes,No,No,No,Yes
ANSQ,annona squamosa,25,Annonaceae,Ramphal,West Indies,http://en.wikipedia.org/wiki/Sugar-apple,yes,occasional,Simple,Alternate,Elliptic,3 cm,5-10cm,oval,,Fragrant Green,"Globose,Green",8,May,Entire,Reticulate,yes,No,No,No,Yes
EHAS,ehretia aspera,25,Boraginaceae,,India,http://fr.wikipedia.org/wiki/Ehretia,yes,occasional,Simple,Alternate,Elliptic,8-10cm,6-8cm,spreading,"short,with grey bark","White, Fragrant","Globose,Orange",8,April,Acuminate,Reticulate,yes,No,No,No,Yes
EHLA,ehretia laevis,25,Boraginaceae,Ajaan,India,http://en.wikipedia.org/wiki/Ehretia,no,Rarel,Simple,Alternate,Elliptic,8-10cm,6-8cm,spreading,"short,with grey bark","White, Fragrant","Globose,Orange",8,April,Acuminate,Reticulate,yes,No,No,No,Yes
FIAM,ficus amplissima,26,Moraceae,Pipri,India-Pune,,no,occasional,Simple,Alternate,Elliptic,,,oval,light coloured,No,No,8,"Jan,Feb",Entire,Reticulate,yes,No,No,No,Yes
FIVI,ficus virens,26,Moraceae,Payar,India,http://en.wikipedia.org/wiki/Ficus_virens,yes,occasional,Simple,Alternate,Elliptic,,,oval,"grey,smooth",No,No,8,May,Entire,Reticulate,yes,No,No,No,Yes
ERJA,eriobotrya japonica,27,Rosaceae,Loquat,China,http://en.wikipedia.org/wiki/Loquat,yes,occasional,Simple,Alternate,Elliptic,2cm,3-5cm,irregular,,"Fragrant,White",Yellowish ,9,July,Serrate,Reticulate,yes,No,No,Yes,No
MIEL,mimusops elengi,27,Sapotaceae,Bakul,India,http://en.wikipedia.org/wiki/Mimusops_elengi,yes,Rare,Simple,Alternate,Elliptic,2-6cm,2-3cm,oval,"smooth,scaly","White, Fragrant",Yellow,8,"Jun,July",Acuminate,Reticulate,yes,No,No,Yes,No
ANOC,anacardium occidentale,28,Anacardiaceae,Kaju,America,http://en.wikipedia.org/wiki/Cashew,yes,occasional,Simple,Alternate,Elliptic,15-16cm,3cm,spreading,"short,crooked",Pink,"Red,Edible",10,"Jan,Feb",Entire,Reticulate,yes,No,No,Yes,No
FIRA,ficus racemosa,28,Moraceae,Umbar,India-Pune,http://en.wikipedia.org/wiki/Ficus_racemosa,yes,common,Simple,Alternate,Elliptic,,,erect,,No,No,9,Jan-Dec,Entire,Reticulate,yes,No,No,Yes,No
CAOD,cananga odorata,29,Annonaceae,Ylang-Ylang,Indonesia,http://en.wikipedia.org/wiki/Cananga_odorata,yes,Rare,Simple,Alternate,Elliptic,5-8cm,1-2cm,erect,,Yellow,Black,10,"March,April,Octo,Nov",Acuminate,Reticulate,yes,No,No,Yes,No
CILI,citrus limon,29,Rutaceae,Idlimbu,China,http://en.wikipedia.org/wiki/Lemon,yes,occasional,Simple,Alternate,Elliptic,2-3cm,5-10cm,erect,,Fragrant White,Yellow,10,"Feb,March",Tooth margin,Reticulate,yes,No,No,Yes,No
CISI,citrus sinensis,29,Rutaceae,,China,http://en.wikipedia.org/wiki/Orange_(fruit),yes,occasional,Simple,Alternate,Elliptic,2-3cm,5-10cm,erect,,Fragrant White,Yellow,10,"Feb,March",Tooth margin,Reticulate,yes,No,No,Yes,No
HOIN,holoptelea integrifolia,30,Ulmaceae,Wawal,India-Pune,,no,common,Simple,Alternate,Elliptic,,2-3cm,erect,grey,Greenish,"Flat,winged",10,"Feb,March",Entire,Reticulate,yes,No,No,No,Yes
MYFR,Myristica fragrans,30,Myristicaceae,Jayphal,Molluccas,http://en.wikipedia.org/wiki/Nutmeg,yes,Rare,Simple,Alternate,Elliptic,1cm,3-5cm,spreading,,Yellow,"Red ,aril",10,Dec,Entire,Reticulate,yes,No,No,Yes,No
EXBU,excoecaria bussei,31,Euphorbiaceae,Ballon Tree,Africa,,no,Rare,Simple,Alternate,Elliptic,5-8cm,5-8cm,irregular,,Green,Green,10,July,Crenulate,Reticulate,yes,No,No,Yes,No
OCOB,ochna obtusata,31,Ochnaceae,Kanak Champa,India-Kokan,https://en.wikipedia.org/wiki/Ochna,yes,Rare,Simple,Alternate,Elliptic,3-5cm,3-6cm,irregular,,Golden Yellow,Black,10,"Feb,March",Entire,Reticulate,yes,No,No,No,Yes
BRRE,bridelia retusa,32,Euphorbiaceae,Asana,India-Pune,http://en.wikipedia.org/wiki/Bridelia_retusa,yes,occasional,Simple,Alternate,Elliptic,,8mm,irregular,grey,Greenish red,"Globose,Black",11,June,Entire,Reticulate,yes,No,No,No,Yes
PTXY,pterospermum xylocarpum,32,Sterculiaceae,Muchkunda,India-Karnataka,,no,Rare,Simple,Alternate,Elliptic,3-5cm,3-5cm,erect,"smooth,brown",White Fragrant,"Oblong, White",10,"Nov,Dec",Acuminate,Reticulate,yes,No,No,Yes,No
ARHE,artocarpus heterophyllus,33,Moraceae,Phanas,South East  Asia,http://en.wikipedia.org/wiki/Jackfruit,yes,common,Simple,Alternate,Elliptic,,30-60cm,spreading,,Globose Stalked head,Greenish yellow,12,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
ARHI,artocarpus hirsutus,33,Moraceae,,India-Kokan,http://en.wikipedia.org/wiki/Artocarpus_hirsutus,yes,occasional,Simple,Alternate,Elliptic,,30-60cm,spreading,,Globose Stalked head,Greenish yellow,12,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
FIEX,ficus exasperata,33,Moraceae,Kharwat,India-Pune,http://en.wikipedia.org/wiki/Artocarpus_hirsutus,yes,occasional,Simple,Alternate,Elliptic,,,irregular,,No,No,11,"Jun,July",Serrate,Reticulate,yes,No,No,No,Yes
ALSE,alseodaphne semecarpifolia,34,Lauraceae,Phudgus,India-Kokan,http://en.wikipedia.org/wiki/Alseodaphne,yes,Rare,Simple,Alternate,Elliptic,10-20cm,1-2cm,irregular,"smooth,dark",Yellow,"Globose,Black",13,Dec,Entire,Reticulate,yes,No,No,Yes,No
TAMU,talauma mutabilis (did not find the name),34,Magnoliaceae,Kavthi Chafa,South East  Asia,http://en.wikipedia.org/wiki/Alseodaphne,yes,,Simple,Alternate,Elliptic,,,,,"Fragrant,White,Yellow ",Red  Seeds,13,Jan-May,Entire,Reticulate,yes,No,No,Yes,No
HYPE,hydnocarpus pentandra,35,Flacourtiaceae,Kadukawath,India-Kokan,http://en.wikipedia.org/wiki/Hydnocarpus,yes,Rare,Simple,Alternate,Elliptic,1cm,5cm,oval,,Whitish Green,"Globose,Tomantose Brown",13,"April,May",Acuminate,Reticulate,yes,No,No,Yes,No
MICH,michelia champaca,35,Magnoliaceae,Sonchafa,Malaysia,http://en.wikipedia.org/wiki/Michelia,yes,common,Simple,Alternate,Elliptic,4-6cm,4-6cm,conical,,Fragrant Yellow,Red,15,"March,April,Sep,Octo",Undulate,Reticulate,yes,No,No,Yes,No
PEAM,persea americana,36,Lauraceae,Avacado,South America,http://en.wikipedia.org/wiki/Avocado,yes,occasional,Simple,Alternate,Elliptic,5-10cm,5-10cm,irregular,,Yellow,Green,15,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
PEAM,persea americana var drymifolia,36,Lauraceae,,South America,http://es.wikipedia.org/wiki/Persea_americana,yes,occasional,Simple,Alternate,Elliptic,6-10cm,6-10cm,irregular,,Yellow,Green,15,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
SUMU,suregada multiflora,36,Euphorbiaceae,False Lime,India-North East,http://en.wikipedia.org/wiki/Suregada,yes,Rare,Simple,Alternate,Elliptic,1cm,2-3cm,conical,,Yellow,Greenish Yellow,15,March,Entire,Reticulate,yes,No,No,No,Yes
CIAU,citrus aurantium,37,Rutaceae,,South East  Asia,http://en.wikipedia.org/wiki/Bitter_orange,yes,occasional,Simple,Alternate,Elliptic,2-3cm,10-20cm,conical,,Fragrant white,Green,15,Jun,Entire,Reticulate,yes,No,No,Yes,No
CIMA,citrus maxima,37,Rutaceae,Papnas,South East  Asia,http://en.wikipedia.org/wiki/Pomelo,yes,occasional,Simple,Alternate,Elliptic,3-3cm,11-20cm,conical,,Fragrant white,Green,15,Jun,Entire,Reticulate,yes,No,No,Yes,No
ELSP,elaeocarpus sphaericus,37,Elaeocarpaceae,Rudraksha,India-Himalayas,http://en.wikipedia.org/wiki/Elaeocarpus,yes,Rare,Simple,Alternate,Elliptic,3-5cm,3-5cm,irregular,,Fragrant white,Oblong,15,Aug,Acuminate,Reticulate,yes,No,No,Yes,No
FIEL,ficus elastica,38,Moraceae,Rubber Tree,India-Assam,http://en.wikipedia.org/wiki/Ficus_elastica,yes,common,Simple,Alternate,Elliptic,,,spreading,,No,No,20,Jun.July,Acuminate,Reticulate,yes,No,No,Yes,No
TEBE,terminalia bellirica,38,Combretaceae,Beheda,India-Pune,http://en.wikipedia.org/wiki/Terminalia_bellirica,yes,Rare,Simple,Alternate,Elliptic,10-15cm,1-3cm,globular,,Fragrant white,Narrowed ,15,"March,April",Entire,Reticulate,yes,No,No,No,Yes
TECH,terminalia chebula,38,Combretaceae,Beheda,India-Pune,http://en.wikipedia.org/wiki/Terminalia_chebula,yes,occasional,Simple,Alternate,Elliptic,11-15cm,2-3cm,globular,,Fragrant white,Narrowed ,15,"March,April",Entire,Reticulate,yes,No,No,No,Yes
ARLA,artocarpus lacucha,39,Moraceae,Bread-fruit Tree,India-Kokan,http://en.wikipedia.org/wiki/Artocarpus_lacucha,yes,occasional,Simple,Alternate,Elliptic,3 cm,5cm,spreading,,Orangish yellow,Yellow,20,"May,June",Acuminate,Reticulate,yes,No,No,Yes,No
THAC,theobroma cacao,39,Sterculiaceae,Cocoa,South America,http://en.wikipedia.org/wiki/Theobroma_cacao,yes,Rare,Simple,Alternate,Elliptic,1cm,15-20cm,irregular,,Whitish pink,Brown edible,20,Feb-May,Acuminate,Reticulate,yes,No,No,Yes,No
BRAR,brugmansia arborea (*** Colour of brugmansia suaveolens),40,Solanaceae,Trumpet Tree,South America,http://en.wikipedia.org/wiki/Theobroma_cacao,yes,occasional,Simple,Alternate,Elliptic,15-25cm,10-20cm,irregular,,White/Pink,Oblong,20,April-July,Entire,Reticulate,Yes,No,No,No,Yes
DAAR,datura arborea,40,,,,http://en.wikipedia.org/wiki/Brugmansia_arborea,yes,occasional,Simple,Alternate,Elliptic,15-25cm,10-20cm,irregular,,White/Pink,Oblong,20,April-July,Entire,Reticulate,Yes,No,No,No,Yes
MASP,manilkara sp,40,Sapotaceae,Zapota,,http://pt.wikipedia.org/wiki/Manilkara,yes,Rare,Simple,Alternate,Elliptic,,,vase shaped,,No,No,23,No,Entire,Reticulate,Yes,No,No,No,Yes
DIIN,dillenia indica,41,Dilleniaceae,Motha Karmal,India-Kokan,http://en.wikipedia.org/wiki/Dillenia_indica,yes,Rare,Simple,Alternate,elliptic,8-10cm,7-10cm,globular,brown with horizontal rings,Fragrant white,Round fleshy,25,"July,Aug,Sep",Acuminate,Reticulate,Yes,No,No,Yes,No
MUCA,muntingia calabura,41,Tiliaceae,Singapore Cherry,South America,http://en.wikipedia.org/wiki/Muntingia,yes,common,Simple,Alternate,lanceolate,1-2cm,8mm,spreading,,White,Globose pink,7,Jan-Dec,Acuminate,Reticulate,Yes,No,No,Yes,No
JARU,jacquinia ruscifolia,42,Theophrastaceae,Jacquinia,Central America,http://en.wikipedia.org/wiki/Jacquinia,yes,Rare,Simple,Alternate,lanceolate,1cm,1-2cm,globular,,Redish orange,"Woody ,oblong",7,"Jun,July",Cuneate,Reticulate,Yes,No,No,Yes,No
TEOR,trema orientalis,42,Ulmaceae,Gol,India-Pune,http://en.wikipedia.org/wiki/Trema_orientalis,yes,occasional,Simple,Alternate,lanceolate,2-3cm,4mm,spreading,,Green,Globose black,8,March,Acuminate,Reticulate,Yes,No,No,No,Yes
MALO,madhuca longifolia var. longifolia,43,Sapotaceae,Moha,India-Pune,http://en.wikipedia.org/wiki/Madhuca_longifolia,yes,occasional,Simple,Alternate,lanceolate,3-5cm,5cm,oval,,Fragrant white,Orange,10,Feb,Entire,Reticulate,Yes,No,No,No,Yes
MALA,madhuca latifolia var. latifolia,43,Sapotaceae,,India-Pune,http://en.wikipedia.org/wiki/Madhuca_longifolia,yes,occasional,Simple,Alternate,lanceolate,4-5cm,e,oval,,Fragrant white,Orange,10,Feb,Entire,Reticulate,Yes,No,No,No,Yes
SATE,salix tetrasperma,43,Salicaceae,Walunj,India-Pune,http://en.wikipedia.org/wiki/Salix_tetrasperma,yes,Rare,Simple,Alternate,lanceolate,5-12m,3-4 cm,trailing,rough with deep verticalgrooves,Yellow,Slender stalked,10,Nov,Acuminate,Reticulate,Yes,No,No,No,Yes
