-----
{
 "description": "The table refers to district wise distribution of surface flow schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.5.csv"
}
-----
State,District,Flow schemes - Storage,Flow schemes - Permanent Diversion,Flow schemes - Temporary Diversion,Flow schemes - Water Circulation,Total
ANDHRA PRADESH,ADILABAD,1308,20,8,3,1339
ANDHRA PRADESH,ANANTHAPUR,1387,377,300,628,2692
ANDHRA PRADESH,CHITTOOR,6777,286,310,164,7537
ANDHRA PRADESH,CUDDAPAH,1519,234,56,54,1863
ANDHRA PRADESH,EAST GODAVARI,1521,58,122,86,1787
ANDHRA PRADESH,GUNTUR,184,4,12,2,202
ANDHRA PRADESH,HYDERABAD,18,7,12,1,38
ANDHRA PRADESH,KARIMNAGAR,4672,526,41,9,5248
ANDHRA PRADESH,KHAMMAM,2508,158,38,9,2713
ANDHRA PRADESH,KRISHNA,985,19,5,1,1010
ANDHRA PRADESH,KURNOOL,919,55,16,42,1032
ANDHRA PRADESH,MAHABOOB NAGAR,6465,349,132,228,7174
ANDHRA PRADESH,MEDAK,3995,103,14,44,4156
ANDHRA PRADESH,NALGONDA,3554,620,186,62,4422
ANDHRA PRADESH,NELLORE,1816,54,5,4,1879
ANDHRA PRADESH,NIZAMABAD,2098,94,12,6,2210
ANDHRA PRADESH,PRAKASAM,853,44,72,134,1103
ANDHRA PRADESH,RANGA REDDY,1463,159,24,75,1721
ANDHRA PRADESH,SRIKAKULUM,8176,511,294,139,9120
ANDHRA PRADESH,VIJAYA NAGARAM,9437,137,101,14,9689
ANDHRA PRADESH,VISAKHAPATNAM,4357,196,731,610,5894
ANDHRA PRADESH,WARANGAL,4935,156,115,429,5635
ANDHRA PRADESH,WEST GODAVARI,1346,10,70,63,1489
ARUNACHAL PRADESH,CHANGLANG,8,55,175,0,238
ARUNACHAL PRADESH,DIBANG VALLEY,1,5,98,0,104
ARUNACHAL PRADESH,EAST KAMENG,1,10,72,2,85
ARUNACHAL PRADESH,EAST SIANG,31,62,790,10,893
ARUNACHAL PRADESH,LOHIT,8,7,51,0,66
ARUNACHAL PRADESH,LOWER SUBANSIRI,0,3,699,0,702
ARUNACHAL PRADESH,PAPUM PARE,2,27,116,2,147
ARUNACHAL PRADESH,TAWANG,0,18,53,0,71
ARUNACHAL PRADESH,TIRAP,5,38,65,0,108
ARUNACHAL PRADESH,UPPER SIANG,5,42,241,9,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,1,88,483,9,581
ARUNACHAL PRADESH,WEST KAMENG,0,45,8,0,53
ARUNACHAL PRADESH,WEST SIANG,0,40,203,0,243
ASSAM,BARPETA,0,6,0,0,6
ASSAM,BONGAIGAON,0,5,1,0,6
ASSAM,CACHAR,1,5,1,0,7
ASSAM,DARRANG,22,15,180,0,217
ASSAM,DHEMAJI,0,8,0,0,8
ASSAM,DHUBRI,1,4,42,0,47
ASSAM,DIBRUGARH,1,0,0,0,1
ASSAM,GOALPARA,15,4,127,0,146
ASSAM,GOLAGHAT,0,1,2,0,3
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,JORHAT,0,4,0,0,4
ASSAM,KAMRUP,1,6,96,1,104
ASSAM,KARBI ANGLONG,24,28,1221,3,1276
ASSAM,KARIMGANJ,0,1,0,0,1
ASSAM,KOKRAJHAR,20,1,2,1,24
ASSAM,LAKHIMPUR,0,0,2,0,2
ASSAM,MARIGAON,1,22,0,11,34
ASSAM,NAGAON,10,51,5,0,66
ASSAM,NALBARI,69,3,17,0,89
ASSAM,NORTH CACHAR HILLS,10,20,235,0,265
ASSAM,SIBSAGAR,2,2,0,0,4
ASSAM,SONITPUR,4,9,19,0,32
ASSAM,TINSUKIA,2,0,3,0,5
BIHAR,ARARIA,40,0,0,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,BANKA,1419,255,74,225,1973
BIHAR,BEGUSARAI,0,0,2,0,2
BIHAR,BHABUA,279,76,29,13,397
BIHAR,BHAGALPUR,539,252,5,56,852
BIHAR,BHOJPUR,173,36,11,5,225
BIHAR,BOKARO,1896,261,26,199,2382
BIHAR,BUXAR,47,60,2,3,112
BIHAR,CHAMPARAN EAST,39,0,0,0,39
BIHAR,CHAMPARAN WEST,40,7,40,0,87
BIHAR,CHATRA,1717,151,57,344,2269
BIHAR,DARBHANGA,85,0,0,0,85
BIHAR,DEOGHAR,1523,456,104,351,2434
BIHAR,DHANBAD,576,213,4,69,862
BIHAR,DUMKA,7129,408,142,1305,8984
BIHAR,GARHWA,2237,344,12,114,2707
BIHAR,GAYA,6084,918,172,1001,8175
BIHAR,GIRIDIH,1804,676,38,153,2671
BIHAR,GODDA,1229,204,76,174,1683
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GUMLA,101,107,31,33,272
BIHAR,HAZARIBAG,304,95,6,60,465
BIHAR,JAMUI,1419,269,124,148,1960
BIHAR,JEHANABAD,397,60,51,15,523
BIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,2,0,2
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,162,139,7,5,313
BIHAR,LAKHISARAI,228,16,2,21,267
BIHAR,LOHARDAGA,68,28,93,1,190
BIHAR,MADHEPURA,0,3,0,0,3
BIHAR,MADHUBANI,77,9,10,5,101
BIHAR,MUNGER,280,8,164,21,473
BIHAR,MUZAFFARPUR,4,0,0,0,4
BIHAR,NALANDA,205,135,156,36,532
BIHAR,NAWADA,2282,329,82,311,3004
BIHAR,PAKUR,2855,112,17,248,3232
BIHAR,PALAMU,7794,893,95,487,9269
BIHAR,PATNA,119,87,0,4,210
BIHAR,PURNIA,17,33,0,0,50
BIHAR,RANCHI,281,276,4,63,624
BIHAR,ROHTAS,562,87,5,16,670
BIHAR,SAHARSA,0,3,0,0,3
BIHAR,SAHEBGANJ,2152,233,23,209,2617
BIHAR,SAMASTIPUR,0,6,1,2,9
BIHAR,SARAN,10,35,2,11,58
BIHAR,SHEIKHPURA,372,65,18,0,455
BIHAR,SHEOHAR,12,0,0,0,12
BIHAR,SINGHBHUM EAST,1070,275,50,146,1541
BIHAR,SINGHBHUM WEST,3176,472,84,634,4366
BIHAR,SITAMARHI,6,10,7,4,27
BIHAR,SIWAN,4,3,1,0,8
BIHAR,SUPAUL,0,0,0,2,2
BIHAR,VAISHALI,0,7,0,0,7
GOA,NORTH GOA,1215,330,875,22,2442
GOA,SOUTH GOA,181,221,305,27,734
GUJARAT,,NA,NA,NA,NA,NA
HARYANA,AMBALA,396,1,1,1,399
HARYANA,BHIWANI,19,0,0,41,60
HARYANA,FARIDABAD,0,1,0,0,1
HARYANA,GURGAON,16,0,0,0,16
