-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.2.csv", 
 "title": "Download CSV for Villagewise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise potential utilized through surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.10.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.10.csv"
}
-----
State,District,Block,Total Number of Schemes,Pucca channel,Kutcha channel,Underground channel,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,8,0,123,0,123
ANDHRA PRADESH,ADILABAD,ASIFABAD,2,0,609,0,609
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,29,14,47,1,62
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,31,9,183,0,192
ANDHRA PRADESH,ADILABAD,BHAINSA,43,0,392,0,392
ANDHRA PRADESH,ADILABAD,BHEEMINI,45,0,13,0,13
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,62,0,76,0,76
ANDHRA PRADESH,ADILABAD,DAHEGAON,19,0,86,0,86
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,51,0,51
ANDHRA PRADESH,ADILABAD,DILAWARPUR,45,4,48,0,52
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,2,0,255,0,255
ANDHRA PRADESH,ADILABAD,JAINAD,2,0,225,0,225
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,82,0,3,0,3
ANDHRA PRADESH,ADILABAD,JANNARAM,47,0,89,0,89
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),30,0,147,0,147
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,36,0,212,0,212
ANDHRA PRADESH,ADILABAD,KASIPET,12,220,130,0,350
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,11,0,49,0,49
ANDHRA PRADESH,ADILABAD,KOTAPALLE,34,0,55,0,55
ANDHRA PRADESH,ADILABAD,KOUTHALA,68,0,136,0,136
ANDHRA PRADESH,ADILABAD,KUBEER,8,96,354,0,450
ANDHRA PRADESH,ADILABAD,KUNTALA,47,21,456,0,477
ANDHRA PRADESH,ADILABAD,LAHESRA,59,8,549,0,557
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,34,1,122,0,123
ANDHRA PRADESH,ADILABAD,LUXETTIPET,40,0,155,0,155
ANDHRA PRADESH,ADILABAD,MAMDA,31,65,134,0,199
ANDHRA PRADESH,ADILABAD,MANCHERIAL,41,0,303,0,303
ANDHRA PRADESH,ADILABAD,MANDAMARRI,13,9,139,0,148
ANDHRA PRADESH,ADILABAD,MUDHOLE,90,0,419,0,419
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,45,0,9,0,9
ANDHRA PRADESH,ADILABAD,NERADIGONDA,7,0,175,0,175
ANDHRA PRADESH,ADILABAD,NIRMAL,3,0,637,0,637
ANDHRA PRADESH,ADILABAD,REBBENA,38,0,272,18,290
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),47,3,145,0,148
ANDHRA PRADESH,ADILABAD,TALAMADUGU,112,219,25,0,244
ANDHRA PRADESH,ADILABAD,TAMSI,11,0,208,0,208
ANDHRA PRADESH,ADILABAD,TANDUR,50,0,29,0,29
ANDHRA PRADESH,ADILABAD,TANUR,5,0,460,0,460
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,2,0,263,0,263
ANDHRA PRADESH,ADILABAD,VEMANPALLE,16,0,30,0,30
ANDHRA PRADESH,ADILABAD,WANKDI,3,0,113,0,113
ANDHRA PRADESH,ANANTHAPUR,AGALI,38,0,274,0,274
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,63,0,151,0,151
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,23,84,106,0,190
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,9,202,132,0,334
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,8,333,557,0,890
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,69,29,376,2,407
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,7,0,652,0,652
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,8,638,1826,0,2464
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,15,20,687,0,707
