-----
{
 "description": "The table shows the observation of the investigator about cleanliness of toilet (% AWC). It was observed that the maximum number of \u2018Very clean\u2019 toilets of the AWC were in Kerala (58.8%) while the least number of \u2018Very clean\u2019 toilets were found in Punjab (0%) and Bihar (0.4%). Also, the ...", 
 "file_name": "ICDS_Table6.41.xls", 
 "title": "Download XLS for Observation of the Investigator about Cleanliness of Toilet (% AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.41.xls"
}
-----
"States/UTs ","Very clean","Satisfactory","Unclean/Unhygienic"
"Andhra Pradesh",12.5,29.1,58.5
"Assam",11.4,28.0,60.7
"Bihar",0.4,4.9,94.8
"Chhattisgarh",4.8,28.2,67.0
"Gujarat",13.8,29.4,56.8
"Haryana",3.6,37.3,59.1
"Himachal Pradesh",44.8,41.4,13.9
"Jammu and Kashmir",16.2,53.1,30.8
"Jharkhand",5.0,27.4,67.6
"Karnataka",17.4,24.4,58.2
"Kerala",58.8,28.8,12.3
"Madhya Pradesh",5.1,32.7,62.2
"Maharashtra",14.1,38.1,47.8
"Orissa",7.8,18.3,73.9
"Punjab",0.0,35.4,64.6
"Rajasthan",1.3,21.6,77.1
"Tamil Nadu",31.6,29.1,39.3
"Uttar Pradesh",1.1,24.7,74.3
"Uttrakhand",5.3,25.3,69.4
"West Bengal",2.7,44.5,52.9
"Delhi",9.2,29.2,61.7
"Chandigarh",20.0,80.0,0.0
"Arunachal Pradesh",0.0,3.1,96.9
"Manipur",8.0,48.1,44.0
"Meghalaya",0.0,60.0,40.0
"Mizoram",0.0,100.0,0.0
"Nagaland",2.4,28.7,68.9
"Tripura",0.0,2.7,97.3
"Sikkim",5.7,80.0,14.3
"Dadar & Nagar Haveli",100.0,0.0,0.0
"Daman & Diu",60.0,20.0,20.0
"Goa",0.0,40.0,60.0
"Puducherry",20.0,0.0,80.0
"Andaman & Nicobar Island",11.6,49.3,39.1
"All India",9.9,28.7,61.3
