-----
{
 "description": "The table shows the observation of the investigator about cleanliness of the cooking area (% AWC). The cleanliness of the cooking area of the AWC was examined by the investigators and it was found that among the states, it was seen that in Kerala, the highest percentage of AWC had \u2018Very clean\u2019 ...", 
 "file_name": "ICDS_Table6.42.xls", 
 "title": "Download XLS for Observation of the Investigator about Cleanliness of the Cooking Area (% AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.42.xls"
}
-----
"States/UTs ","Very clean","Satisfactory","Unclean/Unhygienic"
"Andhra Pradesh",25.1,58.8,16.1
"Assam",5.9,26.8,67.3
"Bihar",3.2,51.2,45.7
"Chhattisgarh",26.9,54.4,18.7
"Gujarat",53.8,24.0,22.2
"Haryana",6.7,9.2,84.1
"Himachal Pradesh",40.2,59.8,0.0
"Jammu and Kashmir",24.1,74.1,1.8
"Jharkhand",4.6,60.1,35.4
"Karnataka",14.2,66.7,19.0
"Kerala",70.9,26.0,3.2
"Madhya Pradesh",7.3,73.9,18.8
"Maharashtra",20.5,55.6,23.9
"Orissa",9.8,68.8,21.4
"Punjab",0.0,88.3,11.7
"Rajasthan",19.6,65.0,15.4
"Tamil Nadu",51.5,36.2,12.3
"Uttar Pradesh",4.9,34.9,60.2
"Uttrakhand",12.6,40.2,47.2
"West Bengal",2.8,53.2,44.1
"Delhi",0.0,0.0,100.0
"Chandigarh",0.0,40.0,60.0
"Arunachal Pradesh",0.0,15.3,84.7
"Manipur",56.0,20.0,24.0
"Meghalaya",13.5,66.5,20.0
"Mizoram",0.0,100.0,0.0
"Nagaland",13.8,41.2,45.1
"Tripura",0.0,60.3,39.8
"Sikkim",0.0,31.3,68.7
"Dadar & Nagar Haveli",100.0,0.0,0.0
"Daman & Diu",100.0,0.0,0.0
"Goa",0.0,80.0,20.0
"Puducherry",60.0,40.0,0.0
"Andaman & Nicobar Island",14.3,54.9,30.8
"All India",17.0,50.4,32.5
