-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Castes.", 
 "file_name": "stat21.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Castes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21.xls"
}
-----
"","","SCHEDULED castes SUB pLAN/TRIBAL SUB PLAN","","",""
"","","","","",""
"","Planning   Commission  had   issued   guidelines   on  formulation, implementation and monitoring  of SCSP/ TSP from time to time.  Scheduled  Castes Sub Plan  (SCSP)   for  Scheduled   Castes  (SCs)  and  the  Tribal  Sub  Plan  (TSP)  for  the Scheduled  Tribes  (STs)  are  intended  to  channelize the  flow  of  resources   from  the general  sectors  in  the  Central   Ministries/Departments  towards   the  development  of Scheduled  Castes  and Scheduled  Tribes, at least in proportion  to their numbers  in the population,  both in physical  and financial terms. The allocation  under these components is provided  for the purpose  of creating productive assets, human  resource  development of the Scheduled  Castes and Scheduled Tribes through adequate  education  and health services, and to provide  physical  and financial security  against  all types of exploitation and oppression.","","","",""
2.0,"Government  had  taken   the   initiative   to  make   separate   allocations   for  the Scheduled  Castes  Sub  Plan  (SCSP)  and Tribal  Sub  Plan  (TSP)  as part  of the  Plan allocations  from the financial  year 2011-12. These allocations  are also indicated clearly in the Memorandum of Understanding signed  between  the  Planning  Commission  and the Ministry/ Department  concerned.    Government has devised a proper accounting mechanism to account for such allocations by opening dedicated Minor Head “Special Component   for  Scheduled   Castes  (Code  789)”  and  “Tribal  Sub  Plan  (Code  796)”. Instructions  have been  issued  to the Ministries/  Departments in which such allocations are made by the Planning  Commission, as part of the Plan Agreement, in their Budget to ensure that the provisions are accurately reflected  in the Minor  Head  concerned.   The provisions made under these Minor Heads are not allowed to be re-appropriated, except to the same Minor  Heads  in other schemes  under SCSP  and TSP, thereby  preventing any possibility  of diversion.","","","",""
"","","","","",""
"","","STATEMENT 21","","",""
"","","SCHEMES UNDER SCHEDULED castes SUB PLAN","","",""
"","","","","",""
"","","","","","(In crores of Rupees)"
"","","","","",""
"MINISTRY / DEPARTMENT ","","2011-2012","2012-2013 ","2012-2013 ","2013-2014 "
"","","Actual ","Budget ","Revised ","Budget "
"Scheduled Castes Sub Plan Schemes","","","","",""
"","Demand No. 1","","","",""
"","Department of Agriculture and Cooperation","","","",""
1.0,"Technology Mission on Cotton",1.22,2.8,1.6,1.61
2.0,"Jute Technology Mission",0.75,2.5,0.98,1.0
3.0,"ISOPOM",94.67,90.0,36.5,55.0
4.0,"Development and Strengthening ","","","",""
"","of Seed Infrastructure Facilities for ","","","",""
"","Production and Distribution of Quality Seeds",47.38,55.0,23.0,50.0
5.0,"National Food Security Mission",259.98,320.0,321.91,400.0
6.0,"Extension Support to Central Institutions",1.56,2.5,1.5,2.0
7.0,"Mass Media Support to Agricultural Extension",25.0,55.0,55.0,60.0
8.0,"Establishment of Agri-clinic and Agri Business Centres",2.0,3.0,2.73,3.0
