-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfcliftblck5.4.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfcliftblck5.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Schedule Caste,Schedule Tribe,Others,Total,Owned by other than Individual/Group of farmers,Grand Total
ANDHRA PRADESH,ADILABAD,ADILABAD,8,6,57,71,0,71
ANDHRA PRADESH,ADILABAD,ASIFABAD,6,19,0,25,0,25
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,3,5,9,17,0,17
ANDHRA PRADESH,ADILABAD,BELA,0,3,28,31,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,2,0,0,2,1,3
ANDHRA PRADESH,ADILABAD,BOATH,0,48,33,81,0,81
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,6,6,1,7
ANDHRA PRADESH,ADILABAD,DANDEPALLE,7,39,219,265,0,265
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,1,1
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,3,3
ANDHRA PRADESH,ADILABAD,JAINAD,19,8,102,129,0,129
ANDHRA PRADESH,ADILABAD,JAINOOR,0,4,0,4,0,4
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,17,17,0,17
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,4,4,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,72,10,93,175,0,175
ANDHRA PRADESH,ADILABAD,KERAMERI,0,3,0,3,0,3
ANDHRA PRADESH,ADILABAD,KHANPUR,35,3,32,70,0,70
ANDHRA PRADESH,ADILABAD,KUNTALA,0,1,61,62,3,65
ANDHRA PRADESH,ADILABAD,LAHESRA,1,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,LUXETTIPET,16,0,157,173,0,173
ANDHRA PRADESH,ADILABAD,MANCHERIAL,2,0,23,25,0,25
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,2,2
ANDHRA PRADESH,ADILABAD,NARNOOR,0,1,0,1,0,1
ANDHRA PRADESH,ADILABAD,NERADIGONDA,12,38,66,116,0,116
ANDHRA PRADESH,ADILABAD,NIRMAL,8,6,153,167,0,167
ANDHRA PRADESH,ADILABAD,SARANGAPUR,8,0,53,61,0,61
ANDHRA PRADESH,ADILABAD,TALAMADUGU,77,12,44,133,0,133
ANDHRA PRADESH,ADILABAD,TAMSI,6,5,85,96,0,96
ANDHRA PRADESH,ADILABAD,TIRYANI,4,49,1,54,0,54
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0,1,1
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,15,1,53,69,0,69
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,1,12,13,0,13
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,8,0,15,23,0,23
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,4,4,0,4
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,32,32,1,33
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,25,25,0,25
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,1,0,1,2,0,2
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,5,5
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,1,1,0,1
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,0,0,13,13,0,13
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,3,3,4,7
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,2,2,0,2
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,1,0,15,16,0,16
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,9,9,2,11
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,0,0,5,5,0,5
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,10,10,0,10
