-----
{
 "description": "The table refers to block wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.9.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.9.csv"
}
-----
State,District,Block,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,8,0,8
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,2,0,2
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,29,0,29
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,31,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,0,43,0,43
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,45,0,45
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,2,60,0,62
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,19,0,19
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,0,29
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,45,0,45
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,2,0,2
ANDHRA PRADESH,ADILABAD,JAINAD,0,2,0,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,0,82,0,82
ANDHRA PRADESH,ADILABAD,JANNARAM,47,0,0,47
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),15,15,0,30
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,36,0,36
ANDHRA PRADESH,ADILABAD,KASIPET,0,12,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,0,11,0,11
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,34,0,34
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,68,0,68
ANDHRA PRADESH,ADILABAD,KUBEER,0,8,0,8
ANDHRA PRADESH,ADILABAD,KUNTALA,0,47,0,47
ANDHRA PRADESH,ADILABAD,LAHESRA,1,58,0,59
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,1,33,0,34
ANDHRA PRADESH,ADILABAD,LUXETTIPET,40,0,0,40
ANDHRA PRADESH,ADILABAD,MAMDA,5,26,0,31
ANDHRA PRADESH,ADILABAD,MANCHERIAL,4,37,0,41
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,13,0,13
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,90,0,90
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,0,45,0,45
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,7,0,7
ANDHRA PRADESH,ADILABAD,NIRMAL,0,3,0,3
ANDHRA PRADESH,ADILABAD,REBBENA,0,38,0,38
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,47,0,47
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,112,0,112
ANDHRA PRADESH,ADILABAD,TAMSI,0,11,0,11
ANDHRA PRADESH,ADILABAD,TANDUR,0,50,0,50
ANDHRA PRADESH,ADILABAD,TANUR,0,5,0,5
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,0,2,0,2
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,16,0,16
ANDHRA PRADESH,ADILABAD,WANKDI,0,3,0,3
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,38,0,38
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,63,0,63
