-----
{
 "description": "The table refers to district wise irrigation through supplemntary sources under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.15.csv", 
 "title": "Download CSV for Districtwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.15.csv"
}
-----
"State","District","Supplementary irrigation - Kharif","Supplementary irrigation - Rabi","Supplementary irrigation - Perennial","Supplementary irrigation - Others","Total"
"ANDHRA PRADESH","ADILABAD",49,14,0,0,63
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",5,5,0,0,10
"ANDHRA PRADESH","EAST GODAVARI",607,491,17,0,1115
"ANDHRA PRADESH","GUNTUR",4590,20,0,0,4610
"ANDHRA PRADESH","KARIMNAGAR",6,0,0,0,6
"ANDHRA PRADESH","KHAMMAM",255,2,4,0,261
"ANDHRA PRADESH","KRISHNA",1183,619,0,33,1835
"ANDHRA PRADESH","KURNOOL",117,102,3,2,224
"ANDHRA PRADESH","MAHABOOB NAGAR",1005,524,0,0,1529
"ANDHRA PRADESH","MEDAK",62,6,0,0,68
"ANDHRA PRADESH","NALGONDA",1239,903,2,8,2152
"ANDHRA PRADESH","NELLORE",680,458,0,0,1138
"ANDHRA PRADESH","NIZAMABAD",223,55,0,0,278
"ANDHRA PRADESH","PRAKASAM",819,142,0,0,961
"ANDHRA PRADESH","RANGA REDDY",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM",89,6,0,0,95
"ANDHRA PRADESH","VIJAYA NAGARAM",137,4,15,0,156
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI",1990,1390,424,0,3804
"ASSAM","BARPETA",0,0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0,0
"ASSAM","CACHAR",0,0,0,0,0
"ASSAM","DARRANG",0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0
"ASSAM","DHUBRI",0,0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0
"ASSAM","KAMRUP",0,0,0,0,0
"ASSAM","KARBI ANGLONG",0,0,0,0,0
"ASSAM","KARIMGANJ",0,0,0,0,0
"ASSAM","KOKRAJHAR",0,0,0,0,0
"ASSAM","LAKHIMPUR",0,0,0,0,0
"ASSAM","MARIGAON",0,0,0,0,0
"ASSAM","NAGAON",0,0,0,0,0
"ASSAM","NALBARI",0,0,0,0,0
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0
"ASSAM","TINSUKIA",0,0,0,0,0
"BIHAR","ARARIA",0,0,0,0,0
"BIHAR","AURANGABAD",2,0,0,0,2
"BIHAR","BANKA",0,0,0,0,0
"BIHAR","BEGUSARAI",0,0,0,0,0
"BIHAR","BHABUA",2,2,0,0,4
"BIHAR","BHAGALPUR",38,13,0,0,51
"BIHAR","BHOJPUR",105,54,0,0,159
"BIHAR","BOKARO",0,0,0,0,0
"BIHAR","BUXAR",15,11,0,0,26
"BIHAR","CHAMPARAN EAST",0,0,0,0,0
"BIHAR","CHAMPARAN WEST",32,29,0,0,61
"BIHAR","CHATRA",3,1,4,1,9
"BIHAR","DARBHANGA",0,0,0,0,0
"BIHAR","DEOGHAR",0,0,0,0,0
"BIHAR","DHANBAD",0,0,0,0,0
"BIHAR","DUMKA",25,40,0,28,93
"BIHAR","GARHWA",2,4,2,0,8
"BIHAR","GAYA",0,0,0,0,0
"BIHAR","GIRIDIH",70,59,1,2,132
"BIHAR","GODDA",2442,599,7,6,3054
"BIHAR","GOPALGANJ",0,0,0,0,0
"BIHAR","GUMLA",0,0,0,0,0
"BIHAR","HAZARIBAG",10,5,0,0,15
"BIHAR","JAMUI",139,128,25,0,292
"BIHAR","JEHANABAD",0,0,0,0,0
"BIHAR","KATIHAR",40,40,0,0,80
"BIHAR","KHAGARIA",0,226,0,0,226
"BIHAR","KISHANGANJ",0,0,0,0,0
"BIHAR","KODARMA",0,71,0,0,71
"BIHAR","LAKHISARAI",0,0,0,0,0
"BIHAR","LOHARDAGA",0,2,0,0,2
"BIHAR","MADHEPURA",0,0,0,0,0
"BIHAR","MADHUBANI",2,0,0,0,2
"BIHAR","MUNGER",0,0,0,0,0
"BIHAR","MUZAFFARPUR",0,0,0,0,0
"BIHAR","NALANDA",100,50,10,0,160
"BIHAR","NAWADA",0,0,0,0,0
"BIHAR","PAKUR",4,6,0,0,10
"BIHAR","PATNA",4,1,0,0,5
"BIHAR","PURNIA",0,0,0,0,0
"BIHAR","RANCHI",1,3,0,0,4
"BIHAR","ROHTAS",16,10,0,0,26
"BIHAR","SAHARSA",0,0,0,0,0
"BIHAR","SAHEBGANJ",22,14,0,0,36
"BIHAR","SAMASTIPUR",0,0,0,0,0
"BIHAR","SARAN",37,21,0,0,58
"BIHAR","SHEIKHPURA",0,0,0,0,0
"BIHAR","SHEOHAR",0,0,0,0,0
"BIHAR","SINGHBHUM EAST",0,14,0,0,14
"BIHAR","SINGHBHUM WEST",6,5,2,0,13
"BIHAR","SITAMARHI",0,0,0,0,0
"BIHAR","SIWAN",35,0,0,0,35
"BIHAR","SUPAUL",0,0,0,0,0
"BIHAR","VAISHALI",0,0,0,0,0
"GOA","NORTH GOA",0,27,111,0,138
"GOA","SOUTH GOA",0,0,391,40,431
"HARYANA","AMBALA",0,0,0,0,0
"HARYANA","KAITHAL",35,35,0,0,70
"HARYANA","KURUKSHETRA",0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",0,0,0,0,0
"HIMACHAL PRADESH","Chamba",0,0,0,0,0
"HIMACHAL PRADESH","Hamirpur",0,0,0,0,0
"HIMACHAL PRADESH","Kangra",0,0,0,0,0
"HIMACHAL PRADESH","Kullu",0,0,0,0,0
"HIMACHAL PRADESH","Mandi",0,0,0,0,0
"HIMACHAL PRADESH","Shimla",0,0,0,0,0
"HIMACHAL PRADESH","Sirmaur",0,0,0,0,0
"HIMACHAL PRADESH","Solan",0,0,0,0,0
"HIMACHAL PRADESH","Una",0,0,0,0,0
"JAMMU & KASHMIR","Anantnagh",0,0,0,0,0
"JAMMU & KASHMIR","Baramulla",0,0,0,0,0
"JAMMU & KASHMIR","Jammu",0,0,0,0,0
"JAMMU & KASHMIR","Kathua",70,65,0,0,135
"JAMMU & KASHMIR","Kupwara",670,0,0,0,670
"JAMMU & KASHMIR","Poonch",0,0,0,0,0
"JAMMU & KASHMIR","Pulwama",1000,270,0,0,1270
"JAMMU & KASHMIR","Rajouri",0,0,0,0,0
"JAMMU & KASHMIR","Srinagar",0,0,0,0,0
"JAMMU & KASHMIR","Udhampur",0,0,0,0,0
"KARNATAKA","BANGALORE RURAL",0,0,0,0,0
"KARNATAKA","BANGALORE URBAN",0,0,0,0,0
"KARNATAKA","BELGAUM",2391.61,747.98,324.61,10.31,3474.51
"KARNATAKA","BELLARY",2479.63,477.93,32.66,778.4,3768.62
"KARNATAKA","BIDAR",103.3,106.5,55.75,2,267.55
"KARNATAKA","BIJAPUR",498.34,424.42,382,16.03,1320.79
"KARNATAKA","CHIKKAMAGALORE",86,54,90,88,318
"KARNATAKA","CHITRADURGA",468.77,32.76,365.47,5.17,872.17
"KARNATAKA","DAKSHINA KANNADA",0,3.9,2.72,0.2,6.82
"KARNATAKA","DHARWAR",1,209,0,0,210
"KARNATAKA","GULBARGA",159.09,101.15,1.21,0,261.45
"KARNATAKA","HASSAN",28.2,0,159.33,0,187.53
"KARNATAKA","KODAGU",1.5,1,1.5,0,4
"KARNATAKA","KOLAR",0,0,0,0,0
"KARNATAKA","MANDYA",8.39,16.56,0.46,0,25.41
"KARNATAKA","MYSORE",380.48,10.76,0,73.79,465.03
"KARNATAKA","RAICHUR",996.27,744.75,185.8,4,1930.82
"KARNATAKA","SHIMOGA",610.56,42.25,266.79,106.5,1026.1
"KARNATAKA","TUMKUR",0,0,0,12,12
"KARNATAKA","UTTARA KANNADA",0,0,0,0,0
"KERALA","ALAPUZHA",0,65,7,0,72
"KERALA","ERANAKULAM",1461,1299,1155,413,4328
"KERALA","IDUKKI",0,0,0,0,0
"KERALA","KANNUR",0,0,0,0,0
"KERALA","KASARAGODE",0,0,0,0,0
"KERALA","KOLLAM",0,0,0,0,0
"KERALA","KOTTAYAM",0,0,0,0,0
"KERALA","KOZHIKODE",0,0,0,0,0
"KERALA","MALAPPURAM",0,0,0,0,0
"KERALA","PALAKKAD",437,1614,3,52,2106
"KERALA","PATHANAMTHITTA",1,0,0,0,1
"KERALA","THIRUVANANTHAPURAM",0,0,0,0,0
"KERALA","THRISSUR",0,6,5,910,921
"KERALA","WAYANAD",0,0,0,0,0
"MADHYA PRADESH","BALAGHAT",0,0,0,0,0
