-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,32,0,0,0,32
ANDHRA PRADESH,ADILABAD,DILAWARPUR,1,0,1,1,3
ANDHRA PRADESH,ADILABAD,ICHODA,86,2,0,0,88
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,4,4
ANDHRA PRADESH,ADILABAD,JAINAD,127,210,135,2,474
ANDHRA PRADESH,ADILABAD,JAINOOR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,10,0,0,0,10
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,4,5,4,1,14
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,11,34,36,1,82
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,LOHESRA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,197,3,14,1,215
ANDHRA PRADESH,ADILABAD,MAMDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,3,12,12,28
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NENNAL,2,1,1,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,18,1,0,0,19
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,REBBANA,1,4,18,6,29
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),4,9,21,13,47
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,0,3,11,14
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,3,0,1,4
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,1,0,0,1
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,4,2,6
