-----
{
 "description": "Data covers industry-wise and year-wise Industrial Entrepreneurs Memorandum (IEM) implemented. The Industrial Undertakings are required to intimate the commencement of commercial production by way of filing the prescribed Part B of the IEM Form.", 
 "file_name": "Industry-wise_IEMs_Implimented_from_1991_to_June_2013.xls", 
 "title": "Download XLS for Industry wise IEMs Implemented by Industrial Undertakings during August 1991 to June 2013", 
 "url": "http://data.gov.in/sites/default/files/Industry-wise_IEMs_Implimented_from_1991_to_June_2013.xls"
}
-----
"Scheduled Industry Number & Name","IEMs Implemented during 1992-2006 (in Nos)","Investment during 1992-2006 (in Rs.Cr)","IEMs Implemented during 2007 
(in Nos)","Investment during 2007 (in Rs.Cr)    ","IEMs Implemented during 2008 
(in Nos)","Investment during 2008 
(in Rs.Cr)","IEMs Implemented during 2009 
(in Nos)","Investment during 2009 (in Rs.Cr)","IEMs Implemented during 2010 
(in Nos)","Investment during 2010 (in Rs.Cr)","IEMs Implemented during 2011 
(in Nos)","Investment during 2011 
(in Rs.Cr)","IEMs Implemented during 2012 
(in Nos)","Investment during 2012 
(in Rs.Cr)","IEMs Implemented during January 2013 to June 2013 (in Nos)","Investment during January 2013 to June 2013 (in Rs.Cr)"
"1. Metallurgical Industries",999.0,28017.0,114.0,1907.0,61.0,641.0,99.0,1059.0,65.0,1294.0,56.0,1044.0,65.0,21190.0,26.0,18083.0
"2.Fuels",32.0,34570.0,1.0,0.0,3.0,974.0,2.0,0.0,3.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0
"3.Boilers and Steamgen.",1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.0,0.0,0.0
"4.Prime Movers",106.0,23282.0,16.0,103.0,13.0,77.0,19.0,205.0,32.0,551.0,25.0,88.0,36.0,1547.0,11.0,667.0
"5.Electrical Equipments",333.0,10574.0,21.0,398.0,24.0,259.0,48.0,1189.0,40.0,801.0,23.0,754.0,27.0,15054.0,10.0,1202.0
"6.Telecommunications",121.0,5400.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,4.0,3.0,0.0,1.0,72.0,0.0,0.0
"7.Transportation Industry",73.0,3257.0,4.0,5.0,8.0,578.0,11.0,56.0,15.0,69.0,8.0,74.0,13.0,699.0,7.0,2070.0
"8. Industrial Machinery",181.0,5855.0,8.0,108.0,5.0,14.0,21.0,62.0,13.0,162.0,8.0,54.0,14.0,563.0,5.0,436.0
"9. Machine Tools",27.0,2282.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,30.0,0.0,0.0
"10. Agricultural Machinery",10.0,333.0,1.0,14.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,12.0,1.0,323.0
