-----
{
 "description": "The table refers to block wise surface flow schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.8.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes according to water distribution system for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,8,0,0,8
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,29,29
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,1,0,30,0,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,43,0,0,43
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,45,0,0,45
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,0,1,61,0,0,62
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,19,0,0,19
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,29,0,0,29
ANDHRA PRADESH,ADILABAD,DILAWARPUR,1,0,44,0,0,45
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,82,0,0,82
ANDHRA PRADESH,ADILABAD,JANNARAM,47,0,0,0,0,47
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,30,0,0,30
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,36,0,0,36
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,12,0,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA,NA
