-----
{
 "description": "The table shows the Investigators\u2019 observations on medical kits (%AWC). It can be seen that in most AWCs (almost 100%) of Himachal Pradesh, Gujarat, Karnataka, Tamil Nadu and Uttarakhand the medical kit were available.", 
 "file_name": "ICDS_Table6.44.xls", 
 "title": "Download XLS for Investigators\u2019 Observations on Medical Kits (%AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.44.xls"
}
-----
"States/UTs ","% AWC having medical kits","% AWC found medical kits in proper order","% AWC found medical kits expired"
"Andhra Pradesh",83.2,60.3,7.2
"Assam",79.9,77.0,26.3
"Bihar",14.8,60.2,26.0
"Chhattisgarh",0.0,"NA","NA"
"Gujarat",95.7,91.7,18.2
"Haryana",76.6,97.8,2.2
"Himachal Pradesh",100.0,97.6,18.6
"Jammu and Kashmir",0.0,"NA","NA"
"Jharkhand",8.0,100.0,28.2
"Karnataka",94.6,84.6,9.5
"Kerala",6.3,100.0,52.8
"Madhya Pradesh",22.3,64.6,16.2
"Maharashtra",84.3,86.2,8.8
"Orissa",76.7,70.8,13.7
"Punjab",5.5,50.0,50.0
"Rajasthan",64.9,84.5,20.8
"Tamil Nadu",93.3,91.6,40.9
"Uttar Pradesh",51.4,85.6,0.0
"Uttrakhand",91.1,95.7,0.0
"West Bengal",73.3,61.3,4.8
"Delhi",49.2,100.0,0.0
"Chandigarh",60.0,100.0,33.3
"Arunachal Pradesh",58.4,60.5,0.0
"Manipur",56.0,100.0,0.0
"Meghalaya",72.9,91.1,0.0
"Mizoram",100.0,40.0,0.0
"Nagaland",66.1,96.3,17.1
"Tripura",93.0,18.6,57.9
"Sikkim",0.0,"NA","NA"
"Dadar & Nagar Haveli",100.0,"NA",0.0
"Daman & Diu",100.0,100.0,40.0
"Goa",0.0,"NA","NA"
"Puducherry",0.0,"NA","NA"
"Andaman & Nicobar Island",0.0,"NA","NA"
"All India",58.0,79.0,13.1
