-----
{
 "description": "The table shows the Percentage of AWC trained adequately to conduct PSE. The Pre-School Education Component (PSE) of the ICDS focuses on overall development of children in the 3-6 years of age brackets, the table gives details on whether or not workers in AWC have adequate training to conduct them.", 
 "file_name": "ICDS_Table6.17.xls", 
 "title": "Download XLS for Percentage of AWC trained adequately to conduct PSE", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.17.xls"
}
-----
"States/UTs ","Yes","No"
"Andhra Pradesh",94.4,5.6
"Assam",93.4,6.6
"Bihar",93.9,6.1
"Chhattisgarh",98.7,1.3
"Gujarat",94.4,5.6
"Haryana",100.0,0.0
"Himachal Pradesh",91.3,8.7
"Jammu and Kashmir",98.4,1.6
"Jharkhand",92.4,7.6
"Karnataka",93.8,6.2
"Kerala",82.9,17.1
"Madhya Pradesh",91.2,8.8
"Maharashtra",97.5,2.5
"Orissa",94.4,5.6
"Punjab",96.5,3.5
"Rajasthan",98.7,1.3
"Tamil Nadu",91.0,9.0
"Uttar Pradesh",93.5,6.5
"Uttrakhand",79.4,20.6
"West Bengal",90.2,9.8
"Delhi",100.0,0.0
"Chandigarh",80.0,20.0
"Arunachal Pradesh",64.7,35.3
"Manipur",100.0,0.0
"Meghalaya",93.5,6.5
"Mizoram",100.0,0.0
"Nagaland",100.0,0.0
"Tripura",99.2,0.8
"Sikkim",85.7,14.3
"Dadar & Nagar Haveli",80.0,20.0
"Daman & Diu",80.0,20.0
"Goa",100.0,0.0
"Puducherry",80.0,20.0
"Andaman & Nicobar Island",83.3,16.7
"All India",93.6,6.4
