-----
{
 "description": "The table shows the Seasonal Flow of Funds in the Scheduled Commercial Banks for the years since 2007-08. It gives the bi-annual details regarding the sources and uses of funds of the Scheduled Commercial Banks. \r", 
 "file_name": "tab42.xls", 
 "title": "Download XLS for Scheduled Commercial Banks: Seasonal Flow of Funds(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab42.xls"
}
-----
"","","","","","","","","","","","","REVISED","",""
"","4.2   SCHEDULED  COMMERCIAL BANKS :  SEASONAL  FLOW  OF  FUNDS","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(` Billion)"
"","","2007-08","","2008-09","","2009-10","","2010-11","","2011-12","","2012-13","","Outstanding"
"","Items","","","","","","","","","","","","","as on"
"","","H1","H2","H1","H2","H1","H2","H1","H2","H1","H2","H1","H2","Dec 28,2012"
"","","","","","","","","","","","","","upto December 28,2012(P)","(P)"
"",1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
"","SOURCES","","","","","","","","","","","","",""
"","1. Increase in aggregate deposits",2618.02,3232.04,2423.88,3947.83,2844.93,3742.23,2184.49,4966.94,3268.78,3742.33,3830.917,1850.713,64772.43
"","2. Increase in borrowings from RBI",-61.81,39.36,20.94,56.34,-117.28,0.42,22.74,27.15,-23.33,60.52,77.18,79.57,244.25
"","3. Increase in other borrowings a",27.72,178.96,59.0,15.32,-194.94,98.36,156.77,113.86,408.53,342.56,-53.8031,30.9931,2041.69
"","4. Increase in other demand and time liabilities",177.08,384.13,-18.86,110.51,116.36,102.64,10.68,113.17,181.0,134.85,17.0529,186.9571,3937.91
"","5. Residual (Net)",241.24,60.55,200.76,-899.32,318.92,449.09,472.76,498.47,66.59,976.46,-256.3056,231.9856,2089.38
"","TOTAL",3002.25,3895.04,2685.72,3230.68,2967.99,4392.74,2847.44,5719.59,3901.57,5256.72,3615.0412,2380.2188,73085.66
"","USES","","","","","","","","","","","","",""
"","1. Increase in bank credit",1062.91,3244.34,1891.12,2245.23,991.21,3701.18,1804.4,5168.55,1527.42,5170.25,1518.9,2634.7,50272.1
"","2. Increase in investments",1176.38,625.61,128.43,1818.52,2056.75,126.67,894.54,274.13,2007.47,354.24,2099.6357,-81.8557,19395.68
"","3. Increase in cash in hand",19.49,-0.44,54.38,-32.01,45.17,7.8,44.75,2.93,56.65,1.19,46.5986,37.3714,445.27
"","4. Increase in balances with RBI",743.47,25.53,611.79,-801.06,-125.14,557.09,103.75,273.98,310.03,-268.96,-50.0931,-209.9969,2972.61
"","TOTAL",3002.25,3895.04,2685.72,3230.68,2967.99,4392.74,2847.44,5719.59,3901.57,5256.72,3615.0412,2380.2188,73085.66
"","","","","","","","","","","","","","",""
""," (P):   Provisional.","H1     April to November","","","H2  October to March","","","","","","","","",""
""," a  Excludes  borrowings from  RBI, IDBI, EXIM Bank and  NABARD.","","","","","","","","","","","","",""
"","Notes : ","","","","","","","","","","","","",""
"","           1. Data on aggregate deposits also reflect redemption of Resurgent India Bonds (RIBs) of Rs.226.93billion, since October 1, 2003.","","","","","","","","","","","","",""
"","           2. Residual (net) is the balance of Uses of  Funds over  Sources of  Funds and includes borrowings from RBI, IDBI, EXIM Bank and  NABARD.","","","","","","","","","","","","",""
"","           3. The data relate to last reporting Fridays.","","","","","","","","","","","","",""
"","           4. Figures may not add up to totals due to rounding off.","","","","","","","","","","","","",""
"","Source : Reserve Bank of India.","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","              ","","","","","","","","","","","","",""
"","                ","","","","","","","","","","","","",""
"","                ","","","","","","","","","","","","",""
