-----
{
 "description": "The table shows proportion of expenditure spent on supplementary nutrition and estimated shares of different groups (%). It provides the state-wise details regarding proportion of estimated expenditure (total for both components of supplementary nutrition) spent on supplementary nutrition.", 
 "file_name": "ICDS_Table10.6.xls", 
 "title": "Download XLS for Proportion of expenditure spent on Supplementary Nutrition(SN) and estimated shares of different groups (%)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table10.6.xls"
}
-----
"States/UTs ","Estimated value of SN reached/delivered to children as % of total available funds for SN, 2008-09","Estimated value of SN reached/delivered to PW & LM as % of total available funds for SN, 2008-09","Estimated total value of SN reached/delivered as % of total available funds for SN, 2008-09"
"Andhra Pradesh",36.7,7.8,44.5
"Assam",4.7,0.0,4.7
"Bihar",23.9,5.1,29.0
"Chhattisgarh",50.0,11.4,61.4
"Gujarat",53.4,8.0,61.4
"Haryana",33.0,16.3,49.3
"Himachal Pradesh",41.5,10.1,51.6
"Jammu & Kashmir",51.6,12.5,64.2
"Jharkhand",48.1,17.8,65.9
"Karnataka",52.6,8.8,61.4
"Kerala",49.9,12.6,62.6
"Madhya Pradesh",30.7,4.9,35.6
"Maharashtra",48.7,12.4,61.1
"Orissa",48.2,12.9,61.1
"Punjab",30.2,14.0,44.2
"Rajasthan",25.5,3.2,28.7
"Tamil Nadu",50.5,9.6,60.1
"Uttar Pradesh",18.6,4.6,23.1
"Uttaranchal",20.8,7.6,28.4
"West Bengal",56.2,11.3,67.5
"Delhi",40.5,9.2,49.7
"Chandigarh",48.1,15.7,63.8
"Arunachal Pradesh",26.4,2.3,28.6
"Manipur",18.0,0.3,18.3
"Meghalaya",47.7,6.3,54.0
"Mizoram",53.0,16.3,69.3
"Nagaland",16.4,4.4,20.8
"Tripura",41.3,4.1,45.4
"Sikkim",42.9,8.2,51.2
"Dadar & Nagar Haveli",46.3,18.9,65.2
"Daman & Diu",40.5,17.2,57.7
"Goa",45.3,21.9,67.2
"Puducherry",36.2,26.3,62.5
"Lakshadweep",31.1,9.0,40.1
"Andaman & Nicobar Islands",75.7,9.4,85.1
"All India",33.0,7.3,40.3
