-----
{
 "description": "The table refers to block wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.2.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise dugwells according to water distribution system. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.8.csv", 
 "title": "Download CSV for Block wise Dugwells according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.8.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to social status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.4.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.4.csv"
}
-----
"State","District","Block","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",120,76,105,301
"ANDHRA PRADESH","ADILABAD","ASIFABAD",35,11,65,111
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",66,75,122,263
"ANDHRA PRADESH","ADILABAD","BEJJUR",89,304,103,496
"ANDHRA PRADESH","ADILABAD","BELA",7,12,131,150
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",277,43,432,752
"ANDHRA PRADESH","ADILABAD","BHAINSA",55,23,81,159
"ANDHRA PRADESH","ADILABAD","BHEEMINI",127,105,188,420
"ANDHRA PRADESH","ADILABAD","BOATH",60,113,158,331
"ANDHRA PRADESH","ADILABAD","CHENNUR",151,96,342,589
"ANDHRA PRADESH","ADILABAD","DAHEGAON",148,115,96,359
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",137,93,1273,1503
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",244,180,586,1010
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",101,127,190,418
"ANDHRA PRADESH","ADILABAD","ICHODA",135,98,203,436
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",59,272,183,514
"ANDHRA PRADESH","ADILABAD","JAINAD",30,2,154,186
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,219,0,219
"ANDHRA PRADESH","ADILABAD","JAIPUR",137,46,256,439
"ANDHRA PRADESH","ADILABAD","JANNARAM",138,214,476,828
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",248,349,1098,1695
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",163,22,98,283
"ANDHRA PRADESH","ADILABAD","KASIPET",48,60,38,146
"ANDHRA PRADESH","ADILABAD","KERAMERI",40,37,41,118
"ANDHRA PRADESH","ADILABAD","KHANPUR",169,438,986,1593
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",54,38,117,209
"ANDHRA PRADESH","ADILABAD","KOUTHALA",74,32,117,223
"ANDHRA PRADESH","ADILABAD","KUBEER",86,86,92,264
"ANDHRA PRADESH","ADILABAD","KUNTALA",21,15,43,79
"ANDHRA PRADESH","ADILABAD","LAHESRA",17,7,42,66
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",310,70,1046,1426
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",116,33,827,976
