-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.3.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH","ADILABAD",0,2,3,21,26
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",47,113,153,13,326
"ANDHRA PRADESH","CUDDAPAH",152,500,672,56,1380
"ANDHRA PRADESH","EAST GODAVARI",2,3,16,3,24
"ANDHRA PRADESH","GUNTUR",1,0,0,0,1
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA",8,4,47,9,68
"ANDHRA PRADESH","KURNOOL",0,1,7,0,8
"ANDHRA PRADESH","MAHABOOB NAGAR",1,0,1,0,2
"ANDHRA PRADESH","MEDAK",0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",0,0,0,0,0
"ANDHRA PRADESH","NELLORE",0,4,14,2,20
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",0,0,7,0,7
"ANDHRA PRADESH","RANGA REDDY",0,1,6,3,10
"ANDHRA PRADESH","SRIKAKULUM",6,0,0,0,6
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",2,2,0,0,4
"ANDHRA PRADESH","WARANGAL",0,2,2,0,4
"ANDHRA PRADESH","WEST GODAVARI",52,77,157,25,311
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",0,0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0,0
"ASSAM","CACHAR",0,0,0,0,0
"ASSAM","DARRANG",0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0
"ASSAM","DHUBRI",0,0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0,0
