-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.6.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.6.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.9.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.9.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells to Average Pumping Hours during peak season. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.11_1.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.11_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise Deep Tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.7.csv", 
 "title": "Download CSV for Block wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.7.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.9.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.9.csv"
}
-----
"State","District","Horse Power (0-6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power (Above 18)","Total"
"ANDHRA PRADESH","ADILABAD",70,26,0,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",2648,2780,34,4,5466
"ANDHRA PRADESH","CUDDAPAH",1666,6107,175,12,7960
"ANDHRA PRADESH","EAST GODAVARI",134,1023,882,278,2317
"ANDHRA PRADESH","GUNTUR",549,118,0,0,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",32,26,9,50,117
"ANDHRA PRADESH","KHAMMAM",315,169,29,24,537
"ANDHRA PRADESH","KRISHNA",252,225,222,149,848
"ANDHRA PRADESH","KURNOOL",651,940,2,1,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",108,1,0,0,109
"ANDHRA PRADESH","MEDAK",38,25,0,0,63
"ANDHRA PRADESH","NALGONDA",8,0,0,0,8
"ANDHRA PRADESH","NELLORE",198,15,0,0,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",176,2,0,0,178
"ANDHRA PRADESH","RANGA REDDY",53,33,0,0,86
"ANDHRA PRADESH","SRIKAKULUM",29,9,3,1,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",16,2,0,0,18
"ANDHRA PRADESH","WARANGAL",162,35,16,0,213
"ANDHRA PRADESH","WEST GODAVARI",1604,5102,3450,528,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
