-----
{
 "description": "Table depicts proposed phase-wise implementation strategy of National Rural Livelihoods Mission (NRLM-AAJEEVIKA), keeping the experience in mind to ensure quality of outcomes and to avoid spreading resources too thin, too quickly. This would avoid \u2018universalization without quality\u2019 syndrome ...", 
 "file_name": "Proposed_Phasing_of_the_National_Rural_Livelihoods_Mission_1.xls", 
 "title": "Download XLS for Proposed Phasing of The National Rural Livelihoods Mission - Twelfth Five Year Plan Document", 
 "url": "http://data.gov.in/sites/default/files/Proposed_Phasing_of_the_National_Rural_Livelihoods_Mission_1.xls"
}
-----
"Title","2012-13","2013-14","2014-15","2015-16","2016-17","Twelfth Plan","13th Plan","Total (12th and 13th Plan)"
"Intensive Districts",150.0,0.0,150.0,0.0,300.0,600.0,0.0,600.0
"Cumulative Intensive Districts",150.0,150.0,300.0,300.0,600.0,600.0,600.0,600.0
"Intensive Blocks",600.0,0.0,1500.0,0.0,2100.0,4200.0,1800.0,6000.0
"Cumulative Intensive Blocks",600.0,600.0,2100.0,2100.0,4200.0,4200.0,6000.0,6000.0
"Households Covered in Lakh",45.0,23.0,60.0,75.0,128.0,330.0,570.0,900.0
"Cumulative Households Covered in Lakh",45.0,68.0,128.0,203.0,330.0,330.0,900.0,900.0
"SHGs in ‘000",360.0,180.0,480.0,600.0,1020.0,2640.0,4560.0,7200.0
"Cumulative SHGs in ‘000",360.0,540.0,1020.0,1620.0,2640.0,2640.0,7200.0,7200.0
"Youth Skilled for and Placed in Jobs in Lakh",5.0,10.0,25.0,30.0,30.0,100.0,150.0,250.0
"Cumulative Youth Skilled for and Placed in Jobs in Lakh",5.0,15.0,40.0,70.0,100.0,100.0,250.0,250.0
"Self-employed in Lakh",2.0,4.0,6.0,8.0,10.0,30.0,60.0,90.0
"Cumulative Self-employed in Lakh",2.0,6.0,12.0,20.0,30.0,30.0,90.0,90.0
