-----
{
 "description": "The table shows the State-wise Performance of ICDS Programme in Infrastructure Facility and Estimated Indices. It provides state-wise ranks on parameters such as Housed in Owned buildings, Adequate Space-Cooking, Adequate Space-Storage, Mean Area of Room in AWC(Sq Ft), Toilet with Flush System, ...", 
 "file_name": "ICDS_Table_6.2_1.xls", 
 "title": "Download XLS for State-wise Performance of ICDS Programme in Infrastructure Facility: Estimated Indices", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table_6.2_1.xls"
}
-----
"State","Rank","Housed in Owned buildings","Adequate Space-Cooking","Adequate Space-Storage","Mean Area of Room in AWC(Sq Ft)","Toilet with Flush System","Drinking water available- within premise","AWWs attended Training","Functional Weighing Scale (Baby)","Adequate Toys","Adequate Posters","Adequate PSE Kits","AWWs whose Edun above middle school","Overall Infrastructure Index"
"Tamil Nadu",1.0,0.92,1.0,1.0,0.88,1.0,0.75,0.94,1.0,0.56,0.72,0.76,0.82,0.862
"Kerala",2.0,0.7,0.88,0.69,0.77,0.26,0.87,0.87,0.75,0.73,0.84,0.69,0.93,0.749
"Maharashtra",3.0,0.74,0.65,0.67,0.75,0.37,0.57,1.0,0.93,0.65,0.89,0.55,0.65,0.7
"Andhra Pradesh",4.0,0.42,0.65,0.9,0.65,0.13,0.7,1.0,0.79,0.58,0.89,0.67,0.67,0.67
"Gujarat",5.0,0.66,0.84,0.84,0.44,0.27,0.52,0.93,0.9,0.48,0.76,0.65,0.68,0.664
"Uttarakhand",6.0,0.37,0.25,0.17,0.45,0.78,0.62,0.79,0.95,0.66,1.0,0.59,1.0,0.636
"Karnataka",7.0,0.7,0.77,0.81,0.78,0.16,0.53,0.49,0.87,0.42,0.57,0.65,0.82,0.632
"Himachal Pradesh",8.0,0.1,0.67,0.32,0.0,0.38,0.85,0.33,0.93,1.0,0.97,1.0,0.76,0.607
"Jharkhand",9.0,0.46,0.65,0.76,0.57,0.0,0.64,1.0,0.76,0.25,0.47,0.78,0.92,0.604
"Haryana",10.0,0.29,0.21,0.1,0.69,0.68,0.68,1.0,0.91,0.47,0.66,0.47,0.97,0.595
"Orissa",11.0,0.57,0.4,0.39,0.89,0.03,0.58,0.98,0.95,0.43,0.58,0.51,0.79,0.591
"Madhya Pradesh",12.0,0.52,0.75,0.73,0.69,0.07,1.0,0.73,0.86,0.28,0.31,0.26,0.71,0.576
"Chhattisgarh",13.0,1.0,0.98,0.88,0.23,0.08,0.85,0.41,0.9,0.42,0.38,0.14,0.4,0.556
"Assam",14.0,0.75,0.07,0.59,0.72,0.27,0.69,0.96,0.9,0.24,0.46,0.17,0.84,0.554
"West Bengal",15.0,0.36,0.43,0.5,0.57,0.03,0.8,0.97,0.8,0.19,0.28,0.48,0.71,0.51
"Rajasthan",16.0,0.42,0.68,0.77,1.0,0.1,0.43,1.0,0.53,0.05,0.28,0.11,0.0,0.448
"Uttar Pradesh",17.0,0.06,0.15,0.13,0.64,0.06,0.82,0.39,0.23,0.2,0.41,0.26,0.84,0.35
"Punjab",18.0,0.11,0.41,0.47,0.31,0.39,0.56,0.0,0.38,0.15,0.46,0.01,0.85,0.342
"Jammu and Kashmir",19.0,0.0,0.84,0.61,0.0,0.09,0.0,0.46,0.0,0.08,0.26,0.09,0.76,0.266
"Bihar",20.0,0.16,0.0,0.0,0.43,0.05,0.27,0.88,0.14,0.0,0.0,0.0,0.87,0.235
"All India","NA",0.45,0.51,0.54,0.64,0.21,0.66,0.77,0.66,0.34,0.5,0.4,0.72,0.533
