-----
{
 "description": "This table consists of access to Household amenities (Toilet Facilities, Tap water, Radio, Television, Telephone) in worst performing states (Jharkhand, Madhya Pradesh, Odisha, Chhattisgarh, Bihar, Rajasthan, Uttar Pradesh, Tamil Nadu, Karnataka & Andhra Pradesh) in terms of Toilet facilities in ...", 
 "file_name": "Access_To_Household_Amenities_In_Worst_Performing_States.xls", 
 "title": "Download XLS for Access To Household Amenities In Worst Performing States In Terms Of Toilet Facilities", 
 "url": "http://data.gov.in/sites/default/files/Access_To_Household_Amenities_In_Worst_Performing_States.xls"
}
-----
"Rank (worst as 1)","State","","Percentage of Rural Households in terms of Toilet Facilities","Percentage of Rural Households in terms of Tap Water","Percentage of Rural Households in terms of Radio","Percentage of Rural Households in terms of Television","Percentage of Rural Households in terms of Telephone"
1.0,"Jharkhand ","",7.6,3.7,17.3,13.7,38.7
2.0,"Madhya Pradesh","",13.1,9.9,13.0,18.6,36.4
3.0,"Odisha ","",14.1,7.5,10.6,19.4,33.6
4.0,"Chhattisgarh","",14.5,8.8,9.5,21.1,21.2
5.0,"Bihar ","",17.6,2.6,25.8,10.2,53.5
6.0,"Rajasthan","",19.6,26.9,13.9,25.6,66.2
7.0,"Uttar Pradesh","",21.8,20.2,25.0,23.5,63.6
8.0,"Tamil Nadu ","",23.2,79.3,18.7,85.3,66.3
9.0,"Karnataka","",28.4,56.4,17.6,46.3,62.6
10.0,"Andhra Pradesh ","",32.2,63.4,6.1,49.3,54.8
