-----
{
 "description": "This table consists of Investments made by centre and states during the plan periods from first plan (1951-56) to Eleventh Plan (2007-12).\r\r", 
 "file_name": "Investments_In_Rural_Drinking_Water.xls", 
 "title": "Download XLS for Investments In Rural Drinking Water From 1951\u20132012", 
 "url": "http://data.gov.in/sites/default/files/Investments_In_Rural_Drinking_Water.xls"
}
-----
"Plan Period","Investments in Rural Drinking Water, 1951–2012 in Centre (Rs. In Crore)","Investments in Rural Drinking Water, 1951–2012 in State (Rs. In Crore)"
"First (1951–56)",0.0,3.0
"Second (1956–61) ",0.0,30.0
"Third (1961–66)",0.0,48.0
"Fourth (1969–74)",34.0,208.0
"Fifth (1974–79)",157.0,348.0
"Sixth (1980–85)",895.0,1530.0
"Seventh (1985–90) ",1906.0,2471.0
"Eighth (1992–97) ",4140.0,5084.0
"Ninth (1997–2002) ",8455.0,10773.0
"Tenth (2002–07) ",16254.0,15102.0
"Eleventh (2007–12) ",39211.0,49000.0
