-----
{
 "description": "The table shows the Yield per Hectare of Major Crops in India (in kilograms per hectare) in India. It gives crop-wise details regarding yield food grains and non-food-grains for the years 1970-71, 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12.", 
 "file_name": "tab114.xls", 
 "title": "Download XLS for Yield per Hectare of Major Crops(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab114.xls"
}
-----
"","","","","","","","","",""
"1.14 YIELD PER HECTARE OF MAJOR CROPS","","","","","","","","",""
"","","","","","","","","(Kg. / hectare)",""
"Group/Commodity","1970-71","1980-81","1990-91","2000-01","2007-08","2008-09 ","2009-10","2010-11","2011-12a"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
"Foodgrains",872.0,1023.0,1380.0,1626.0,1860.0,1909.0,1798.0,1930.0,2059.0
"Kharif",837.0,933.0,1231.0,1357.0,1644.0,1654.0,1496.0,1669.0,1803.0
"Rabi",942.0,1195.0,1635.0,2067.0,2174.0,2263.0,2202.0,2278.0,2408.0
"Cereals",949.0,1142.0,1571.0,1844.0,2151.0,2183.0,2075.0,2256.0,2396.0
"Kharif",892.0,1015.0,1357.0,1512.0,1846.0,1841.0,1693.0,1893.0,2038.0
"Rabi",1093.0,1434.0,2010.0,2438.0,2645.0,2721.0,2649.0,2800.0,2947.0
"Pulses",524.0,473.0,578.0,544.0,625.0,659.0,630.0,691.0,694.0
"Kharif",410.0,361.0,471.0,417.0,557.0,478.0,397.0,578.0,543.0
"Rabi",607.0,571.0,672.0,604.0,688.0,804.0,823.0,790.0,822.0
"Rice",1123.0,1336.0,1740.0,1901.0,2202.0,2178.0,2125.0,2239.0,2372.0
"Kharif",1100.0,1303.0,1670.0,1788.0,2095.0,2081.0,2019.0,2121.0,2284.0
"Rabi",1625.0,2071.0,2671.0,3042.0,3147.0,3009.0,3053.0,3176.0,3275.0
"Wheat",1307.0,1630.0,2281.0,2708.0,2802.0,2907.0,2839.0,2989.0,3140.0
"Jowar",466.0,660.0,814.0,764.0,1021.0,962.0,860.0,949.0,954.0
"Kharif",533.0,737.0,969.0,938.0,1176.0,1055.0,853.0,1119.0,1249.0
"Rabi",354.0,520.0,582.0,594.0,894.0,904.0,865.0,827.0,748.0
"Maize",1279.0,1159.0,1518.0,1822.0,2335.0,2414.0,2024.0,2540.0,2476.0
"Bajra",622.0,458.0,658.0,688.0,1042.0,1015.0,731.0,1079.0,1156.0
"Gram",663.0,657.0,712.0,744.0,762.0,895.0,915.0,895.0,912.0
"Tur",709.0,689.0,673.0,618.0,826.0,671.0,711.0,655.0,656.0
"Oilseeds b",579.0,532.0,771.0,810.0,1115.0,1007.0,958.0,1193.0,1135.0
"Kharif",649.0,492.0,698.0,757.0,1154.0,961.0,875.0,1203.0,1124.0
"Rabi",449.0,588.0,872.0,929.0,1034.0,1097.0,1146.0,1174.0,1160.0
"Groundnut",834.0,736.0,904.0,977.0,1459.0,1163.0,991.0,1411.0,1305.0
"Kharif","na",629.0,751.0,861.0,1386.0,1063.0,835.0,1335.0,1186.0
"Rabi","na",1444.0,1611.0,1756.0,1857.0,1764.0,1830.0,1846.0,1805.0
"Rapeseed and Mustard",594.0,560.0,904.0,935.0,1001.0,1143.0,1183.0,1185.0,1145.0
"Sugarcane (tonnes/hect.)",48.0,58.0,65.0,69.0,69.0,65.0,70.0,70.0,70.0
"Cotton",106.0,152.0,225.0,190.0,467.0,403.0,403.0,499.0,491.0
"Jute and mesta",1032.0,1130.0,1634.0,1867.0,2101.0,2071.0,2349.0,2192.0,2283.0
"Jute",1186.0,1245.0,1833.0,2026.0,2260.0,2207.0,2492.0,2329.0,2422.0
"Mesta",684.0,828.0,988.0,1078.0,1219.0,1141.0,1121.0,1115.0,1189.0
"Plantation Crops","","","","","","","","",""
"Tea ",1182.0,1491.0,1794.0,1673.0,1705.0,1695.0,1695.0,1695.0,1695.0
"Coffee ",814.0,624.0,759.0,959.0,761.0,748.0,815.0,838.0,838.0
"Rubber ",653.0,788.0,1076.0,1576.0,1299.0,1306.0,1211.0,1211.0,1211.0
"Potato (tonnes/hect.)",10.0,13.0,16.0,18.0,18.0,19.0,20.0,23.0,25.0
"Source : Directorate of Economics & Statistics, Department of Agriculture & Cooperation.","","","","","","","","",""
"a Fourth Advance Estimates","","","","","","","","",""
"b include groundnut, rapeseed and mustard, sesamum,linseed,castorseed, nigerseed, safflower, sunflower and soyabean.","","","","","","","","",""
"na: not available","","","","","","","","",""
