-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.2.csv", 
 "title": "Download CSV for Blockwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.2.csv"
}
-----
State,District,Block,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,7,0,0,0,1,0,8
ANDHRA PRADESH,ADILABAD,ASIFABAD,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,20,0,6,0,0,3,29
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,31,0,0,0,0,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,43,0,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,BHEEMINI,45,0,0,0,0,0,45
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,62,0,0,0,0,0,62
ANDHRA PRADESH,ADILABAD,DAHEGAON,18,0,1,0,0,0,19
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,DILAWARPUR,45,0,0,0,0,0,45
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,78,0,0,1,3,0,82
ANDHRA PRADESH,ADILABAD,JANNARAM,5,0,42,0,0,0,47
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),11,0,19,0,0,0,30
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,36,0,0,0,0,0,36
ANDHRA PRADESH,ADILABAD,KASIPET,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,11,0,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,KOTAPALLE,34,0,0,0,0,0,34
