-----
{
 "description": "The table refers to district wise distribution of dugwells according to the farmers holding size. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.3.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to the holding size for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH","ADILABAD",9675,9491,6038,211,25415
"ANDHRA PRADESH","ANANTHAPUR",6927,16118,28454,3818,55317
"ANDHRA PRADESH","CHITTOOR",45056,48326,26749,1561,121692
"ANDHRA PRADESH","CUDDAPAH",8545,14318,16874,1062,40799
"ANDHRA PRADESH","EAST GODAVARI",733,634,675,20,2062
"ANDHRA PRADESH","GUNTUR",8395,2366,1364,18,12143
"ANDHRA PRADESH","HYDERABAD",22,34,29,3,88
"ANDHRA PRADESH","KARIMNAGAR",89128,70403,37843,983,198357
"ANDHRA PRADESH","KHAMMAM",16144,11883,5096,105,33228
"ANDHRA PRADESH","KRISHNA",3824,5251,6282,194,15551
"ANDHRA PRADESH","KURNOOL",4076,13013,15530,1802,34421
"ANDHRA PRADESH","MAHABOOB NAGAR",16447,33044,46178,5609,101278
"ANDHRA PRADESH","MEDAK",30215,22227,12347,458,65247
"ANDHRA PRADESH","NALGONDA",32387,35537,38925,5814,112663
"ANDHRA PRADESH","NELLORE",7404,14609,9068,613,31694
"ANDHRA PRADESH","NIZAMABAD",17044,12059,3355,39,32497
"ANDHRA PRADESH","PRAKASAM",3415,10466,13555,938,28374
"ANDHRA PRADESH","RANGA REDDY",7053,11211,14750,1511,34525
"ANDHRA PRADESH","SRIKAKULUM",21138,9470,4257,199,35064
"ANDHRA PRADESH","VIJAYA NAGARAM",17547,11664,5258,231,34700
"ANDHRA PRADESH","VISAKHAPATNAM",11052,10194,3632,747,25625
"ANDHRA PRADESH","WARANGAL",72430,58322,23601,709,155062
"ANDHRA PRADESH","WEST GODAVARI",3241,5127,6687,250,15305
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA
