-----
{
 "description": "This table provides data related to Outlay Tenth Plan, Tenth Plan (2002\u201307) sum of Annual Outlay and Tenth Plan (2002\u201307) Actual Expenditure for Department of Health and Family Welfare.", 
 "file_name": "Outlay_Tenth_Plan_Tenth_Plan_Sum_of_Annual_Outlay_and_Tenth_Plan_Actual_Expenditure_for_DoHFW.xls", 
 "title": "Download XLS for Outlay Tenth Plan, Tenth Plan (2002\u201307) Sum of Annual Outlay and Tenth Plan (2002\u201307) Actual Expenditure for Department of Health and Family Welfare", 
 "url": "http://data.gov.in/sites/default/files/Outlay_Tenth_Plan_Tenth_Plan_Sum_of_Annual_Outlay_and_Tenth_Plan_Actual_Expenditure_for_DoHFW.xls"
}
-----
"Category","Name of the Schemes","Outlay Tenth Plan (2002-07) in Rs. Crore","Tenth Plan (2002–07) Sum of Annual Outlay in Rs. Crore","Tenth Plan (2002–07) Actual Exp. in Rs. Crore"
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Total",24169.2,28011.97,23854.74
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Direction & Administration",1100.0,1176.66,999.93
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Rural FW Services (SCs)",9663.0,8881.29,7561.01
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Urban FW Services",580.0,638.17,539.48
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Grants to State Training Institutions",480.0,500.37,411.08
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Free Distribution of Contraceptives",940.0,760.22,627.97
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Sterilization (Beds)—(Weeded)",12.0,10.25,8.78
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Family Welfare Linked Health Insurance",150.0,105.1,10.63
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Training",250.0,143.81,71.6
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Procurement of Supplies and Materials",994.98,1141.3,335.14
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Routine Immunization",1557.88,1625.5,783.44
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","Pulse Polio Immunization",3110.0,3887.7,3999.56
"CENTRALLY SPONSORED SCHEMES (CSS) OF FAMILY WELFARE","IEC",539.5,569.87,542.42
