-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.5.csv"
}
-----
State,District,Block,Flow schemes - Storage,Flow schemes - Permanent Diversion,Flow schemes - Temporary Diversion,Flow schemes - Water Circulation,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,8,0,0,0,8
ANDHRA PRADESH,ADILABAD,ASIFABAD,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,29,0,0,0,29
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,31,0,0,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,42,1,0,0,43
ANDHRA PRADESH,ADILABAD,BHEEMINI,45,0,0,0,45
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,62,0,0,0,62
ANDHRA PRADESH,ADILABAD,DAHEGAON,19,0,0,0,19
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,0,0,29
ANDHRA PRADESH,ADILABAD,DILAWARPUR,45,0,0,0,45
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINAD,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,82,0,0,0,82
