-----
{
 "description": "This data provides information on month-wise employment about seasonality of work under MGNREGA during FY 2010\u201311 (Twelfth Five Year Plan document). It indicates that during lean agricultural season (January\u2013June), around 70 per cent of person-days of work were generated.", 
 "file_name": "Seasonality_of_MGNREGA_Employment_Provided_1.xls", 
 "title": "Download XLS for Seasonality of MGNREGA Employment Provided During 2010\u201311", 
 "url": "http://data.gov.in/sites/default/files/Seasonality_of_MGNREGA_Employment_Provided_1.xls"
}
-----
"State (all Data in Percentage)","April","May","June","July","Aug","Sep","Oct","Nov","Dec","Jan","Feb","March","Total (all 12 Months)"
"Andhra Pradesh",23.5,33.3,22.5,6.9,2.5,1.1,1.0,0.7,0.7,0.8,1.8,5.2,100.0
"Assam",9.8,6.6,4.2,3.3,4.9,6.5,6.7,9.6,13.7,11.8,11.1,11.7,100.0
"Bihar",11.2,13.7,11.4,6.2,5.6,6.8,5.4,5.7,8.9,9.5,9.3,6.3,100.0
"Chhattisgarh",19.6,27.1,14.2,1.3,0.7,1.0,2.0,1.8,3.2,9.7,10.8,8.7,100.0
"Goa",6.9,7.7,7.3,6.8,7.4,4.8,6.5,5.8,10.1,14.5,12.8,9.4,100.0
"Gujarat",18.1,26.8,10.7,4.0,2.8,2.3,3.1,4.3,6.3,8.4,7.2,5.9,100.0
"Haryana",3.8,3.5,3.1,3.4,5.1,6.0,8.1,10.3,13.5,16.3,13.8,13.2,100.0
"Himachal Pradesh",9.7,12.9,12.0,10.1,9.5,9.4,7.2,8.2,5.4,1.9,4.2,9.4,100.0
"Jammu And Kashmir",3.7,3.3,3.0,5.6,7.0,8.8,11.2,12.7,14.9,12.4,9.3,8.0,100.0
"Jharkhand",11.9,13.2,11.3,7.6,6.8,8.6,6.2,4.8,5.9,7.7,8.6,7.5,100.0
"Karnataka",0.5,0.6,1.3,1.6,2.2,3.2,4.7,5.4,7.5,13.3,26.9,32.8,100.0
"Kerala",3.0,6.0,7.6,9.8,8.0,10.1,7.1,7.2,8.8,11.3,11.2,9.9,100.0
"Madhya Pradesh",15.7,18.0,16.6,7.5,3.8,3.2,3.4,3.8,6.7,8.1,7.6,5.4,100.0
"Maharashtra",28.8,25.1,12.9,3.4,1.7,1.3,1.5,1.3,3.4,4.7,7.3,8.6,100.0
"Manipur",3.3,11.8,4.7,11.5,13.0,10.9,10.2,5.0,4.3,12.7,8.8,3.9,100.0
"Meghalaya",8.7,7.2,8.7,9.1,10.4,11.6,10.2,9.2,6.8,6.6,6.1,5.5,100.0
"Mizoram",6.7,6.4,9.8,7.0,7.1,8.9,8.1,8.2,6.3,7.2,14.0,10.4,100.0
"Nagaland",14.0,11.6,8.9,7.1,8.6,5.9,7.0,11.1,7.8,7.0,5.5,5.6,100.0
"Odisha",16.8,24.6,12.7,3.1,2.8,3.3,4.0,4.7,5.9,6.8,8.2,7.2,100.0
"Punjab",7.8,9.6,10.4,6.8,7.4,7.9,7.5,5.7,5.7,5.5,8.2,17.5,100.0
"Rajasthan",12.4,22.9,26.5,9.4,2.7,1.5,1.1,1.2,2.9,6.0,7.2,6.1,100.0
"Sikkim",6.5,9.0,9.5,8.9,5.0,6.6,3.3,5.9,11.1,15.6,11.5,7.0,100.0
"Tamil Nadu",12.4,12.6,12.1,15.9,10.7,7.6,7.7,3.2,3.8,3.6,5.2,5.2,100.0
"Tripura",3.7,7.7,9.4,9.5,11.9,13.2,7.2,5.7,5.2,8.6,8.0,9.9,100.0
"Uttar Pradesh",8.8,9.8,10.5,9.6,5.9,2.9,1.9,4.5,11.1,13.5,12.2,9.3,100.0
"Uttarakhand",8.2,6.0,6.3,6.8,7.7,6.1,6.2,7.6,11.3,14.5,11.3,7.8,100.0
"West Bengal",17.0,16.3,14.6,7.4,4.1,4.0,3.2,2.9,4.8,8.3,9.9,7.4,100.0
"Andaman and Nicobar",23.7,9.7,11.7,3.7,1.5,0.0,0.8,1.3,1.3,25.3,16.8,4.0,100.0
"Lakshadweep",4.5,1.9,11.1,24.0,11.2,10.7,4.8,11.7,9.1,6.5,4.3,0.3,100.0
"Puducherry",4.1,12.0,19.6,24.0,16.7,13.6,9.9,0.0,0.0,0.0,0.1,0.0,100.0
"All India",13.5,17.3,14.4,8.0,5.0,4.1,3.7,3.7,5.7,7.6,8.7,8.3,100.0
