-----
{
 "description": "This data covers the subscribers enrolled by Aggregators, appointed by Pension Fund Regulatory and Development Authority (PFRDA) during 2010-11 to 2012-13. Till 31st March 2013, 76 entities have been appointed as Aggregator which include 24 Public Sector Banks (PSBs), 13 Regional Rural Banks ...", 
 "file_name": "Swavalamban_Scheme.xls", 
 "title": "Download XLS for Coverage under Swavalamban Scheme during 2010-11 to 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Swavalamban_Scheme.xls"
}
-----
"Sr. No.","Points of Presence*","Total beneficiaries under Swavalamban Scheme during 2012-13","Beneficaries for the first time (2012-13)","Beneficaries for the second time (2011-12 to 2012-13)","Beneficaries for the third time (2010-11 to 2012-13)","Beneficaries for the fourth time (2010-11)"
1.0,"Abhipra Capital Ltd.",106.0,22.0,43.0,41.0,0.0
2.0,"Alankit Assignments Limited",687.0,177.0,304.0,206.0,0.0
3.0,"Allahabad Bank",2.0,1.0,1.0,0.0,0.0
4.0,"Axis Bank Limited",131.0,40.0,41.0,18.0,32.0
5.0,"Bajaj Capital Limited",57.0,39.0,10.0,8.0,0.0
6.0,"Bank of Baroda",669.0,669.0,0.0,0.0,0.0
7.0,"Bank of Maharashtra",115.0,115.0,0.0,0.0,0.0
8.0,"Central Bank of India",1.0,1.0,0.0,0.0,0.0
9.0,"Citi Bank NA",3.0,1.0,0.0,2.0,0.0
10.0,"Computer Age Management Services Private Limited",835.0,405.0,348.0,63.0,19.0
11.0,"HDFC Securities Limited",9.0,9.0,0.0,0.0,0.0
12.0,"ICICI Bank Limited",76.0,25.0,32.0,8.0,11.0
13.0,"ICICI Securities Limited",497.0,186.0,310.0,1.0,0.0
14.0,"IDBI Bank Limited",57.0,34.0,17.0,6.0,0.0
15.0,"IL&FS Securities Services Limited",240.0,38.0,102.0,82.0,18.0
16.0,"India Post NPS Nodal Office",542.0,167.0,281.0,94.0,0.0
17.0,"Integrated Enterprises (India) Limited",114.0,27.0,62.0,25.0,0.0
18.0,"Kotak Mahindra Bank Limited",75.0,16.0,26.0,25.0,8.0
19.0,"Marwadi Shares and Finance Limited",410.0,210.0,182.0,18.0,0.0
20.0,"Microsec Capital Limited",1.0,0.0,0.0,1.0,0.0
21.0,"Muthoot Finance Limited",0.0,"NA","NA","NA","NA"
22.0,"Oriental Bank of Commerce",17.0,10.0,7.0,0.0,0.0
23.0,"Punjab National Bank",0.0,"NA","NA","NA","NA"
24.0,"Reliance Capital Limited",136.0,47.0,71.0,10.0,8.0
25.0,"State Bank of Hyderabad",118.0,30.0,52.0,33.0,3.0
26.0,"State Bank of India",218.0,122.0,68.0,17.0,11.0
27.0,"State Bank of Patiala",19.0,19.0,0.0,0.0,0.0
28.0,"State Bank of Travancore",34.0,9.0,25.0,0.0,0.0
29.0,"State Bank of Bikaner & Jaipur",0.0,"NA","NA","NA","NA"
30.0,"State Bank of Mysore",0.0,"NA","NA","NA","NA"
31.0,"Steel City securities Limited",80.0,34.0,24.0,22.0,0.0
32.0,"Stock Holding Corporation Of India Limited",85.0,25.0,50.0,10.0,0.0
33.0,"Syndicate Bank",308.0,293.0,14.0,1.0,0.0
34.0,"The South Indian Bank Limited",280.0,157.0,75.0,31.0,17.0
35.0,"The Lakshmi Vilas Bank Limited",1.0,1.0,0.0,0.0,0.0
36.0,"Union Bank Of India",3.0,1.0,2.0,0.0,0.0
37.0,"United Bank of India ",279.0,279.0,0.0,0.0,0.0
38.0,"UTI Asset Management Company Limited",26.0,6.0,8.0,9.0,3.0
39.0,"UTI Infrastructure Technology And Services Limited",147.0,30.0,81.0,36.0,0.0
40.0,"Yes Bank Limited",0.0,"NA","NA","NA","NA"
41.0,"Zen Securities Limited",23.0,6.0,7.0,10.0,0.0
"TOTAL","TOTAL",6401.0,3251.0,2243.0,777.0,130.0
