-----
{
 "description": "The table shows Impact of ICDS on Colostrums Feeding. Initiation of breast feeding within one hour of a child\u2019s birth is considered to contribute to the long term immunity of the child. The table records the impact of ICDS in popularising the practice and it is observed that ICDS has had a ...", 
 "file_name": "ICDS_Table8.11.xls", 
 "title": "Download XLS for Impact of ICDS on Colostrums Feeding", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table8.11.xls"
}
-----
"State","Within one hour","Within one day"
"Andhra Pradesh",19.9,-15.77
"Assam",9.57,-8.13
"Bihar",3.65,-3.31
"Chhattisgarh",14.18,-7.93
"Gujarat",-10.53,11.91
"Haryana",5.71,-0.98
"Himachal Pradesh",-2.68,-8.14
"Jammu and Kashmir",1.9,-19.26
"Jharkhand",2.15,1.53
"Karnataka",1.92,-1.99
"Kerala",-2.15,9.37
"Madhya Pradesh",-1.01,-2.13
"Maharashtra",16.32,-17.04
"Orissa",-2.53,2.21
"Punjab",-3.41,-3.86
"Rajasthan",2.1,17.63
"Tamil Nadu",1.44,3.6
"Uttar Pradesh",3.56,-2.62
"Uttarakhand",27.23,-41.82
"West Bengal",15.9,-15.83
"Total",10.15,-8.73
