-----
{
 "description": "The table shows the Average Age of Angan Wadi Workers (AWWs) and distribution of Angan Wadi Workers (AWWs) by marital status. Most of the AWWs are in the age group (28-49) years; with the average age being 39 years. In Orissa, the percentage of unmarried AWWs was the highest.", 
 "file_name": "ICDS_Table6.31.xls", 
 "title": "Download XLS for Average Age of AWWs and distribution of AWW by marital status", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.31.xls"
}
-----
"States/UTs","Age","Marital status-Unmarried","Marital status-Married","Marital status-Widowed / Divorced"
"Andhra Pradesh",35.0,7.2,81.9,10.9
"Assam",37.0,12.5,85.3,2.2
"Bihar",37.0,2.2,92.2,5.6
"Chhattisgarh",41.0,12.9,73.9,13.2
"Gujarat",37.0,1.9,95.8,2.4
"Haryana",41.0,0.8,95.3,3.9
"Himachal Pradesh",36.0,1.2,87.5,11.3
"Jammu and Kashmir",39.0,3.8,96.2,0.0
"Jharkhand",36.0,6.6,87.3,6.1
"Karnataka",36.0,15.5,80.1,4.4
"Kerala",41.0,9.5,87.1,3.4
"Madhya Pradesh",39.0,10.1,68.0,21.9
"Maharashtra",42.0,2.9,88.7,8.4
"Orissa",39.0,21.8,70.9,7.3
"Punjab",39.0,13.6,78.6,7.8
"Rajasthan",36.0,14.3,77.5,8.3
"Tamil Nadu",47.0,8.1,86.8,5.1
"Uttar Pradesh",37.0,6.8,83.5,9.6
"Uttrakhand",33.0,6.8,93.2,0.0
"West Bengal",42.0,12.4,85.4,2.2
"Delhi",43.0,21.7,78.3,0.0
"Chandigarh",47.0,0.0,60.0,40.0
"Arunachal Pradesh",28.0,0.0,100.0,0.0
"Manipur",45.0,0.0,84.0,16.0
"Meghalaya",42.0,0.0,86.5,13.5
"Mizoram",40.0,0.0,80.0,20.0
"Nagaland",35.0,13.8,72.5,13.8
"Tripura",41.0,0.0,82.7,17.3
"Sikkim",33.0,25.7,74.3,0.0
"Dadar & Nagar Haveli",43.0,0.0,100.0,0.0
"Daman & Diu",44.0,0.0,60.0,40.0
"Goa",46.0,0.0,100.0,0.0
"Puducherry",49.0,0.0,60.0,40.0
"Andaman & Nicobar Island",40.0,20.0,80.0,0.0
"All India",39.0,8.5,83.8,7.8
