-----
{
 "description": "The table refers to district wise distribution of dugwells by status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.6.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its status for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.6.csv"
}
-----
"State","District","Wells in use","Not in use - Temporary","Not in use - Abandoned (Salinity)","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand Total (Use + Not in use)"
"ANDHRA PRADESH","ADILABAD",21415,2161,172,709,95,867,4004,25419
"ANDHRA PRADESH","ANANTHAPUR",38312,4076,675,10655,1176,686,17268,55580
"ANDHRA PRADESH","CHITTOOR",102539,6923,1042,7405,3000,783,19153,121692
"ANDHRA PRADESH","CUDDAPAH",26866,4372,396,7845,1038,399,14050,40916
"ANDHRA PRADESH","EAST GODAVARI",1640,266,56,29,25,69,445,2085
"ANDHRA PRADESH","GUNTUR",11004,372,34,368,62,306,1142,12146
"ANDHRA PRADESH","HYDERABAD",55,34,1,0,0,0,35,90
"ANDHRA PRADESH","KARIMNAGAR",183441,10500,267,1114,2751,492,15124,198565
"ANDHRA PRADESH","KHAMMAM",28925,3540,286,533,636,445,5440,34365
"ANDHRA PRADESH","KRISHNA",12726,1738,145,153,399,395,2830,15556
"ANDHRA PRADESH","KURNOOL",28799,1816,268,3028,373,445,5930,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",67493,17732,579,13655,1615,544,34125,101618
"ANDHRA PRADESH","MEDAK",50895,6600,1428,5383,834,257,14502,65397
"ANDHRA PRADESH","NALGONDA",91667,15473,358,3270,824,1075,21000,112667
"ANDHRA PRADESH","NELLORE",27439,2524,391,705,803,466,4889,32328
"ANDHRA PRADESH","NIZAMABAD",29625,1409,371,651,90,448,2969,32594
"ANDHRA PRADESH","PRAKASAM",21677,2567,266,2563,650,651,6697,28374
"ANDHRA PRADESH","RANGA REDDY",25263,4896,584,2784,275,733,9272,34535
"ANDHRA PRADESH","SRIKAKULUM",31852,2238,64,431,139,355,3227,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",29658,3204,154,923,419,794,5494,35152
"ANDHRA PRADESH","VISAKHAPATNAM",24038,760,25,421,119,280,1605,25643
"ANDHRA PRADESH","WARANGAL",148250,8309,0,1,0,0,8310,156560
"ANDHRA PRADESH","WEST GODAVARI",14791,323,16,156,9,27,531,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",14,6,0,0,0,0,6,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",1,0,0,0,0,0,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA,NA,NA
