-----
{
 "description": "The table gives Eighth Plan Outlay by Heads of Development: Centre, States and Union Territories. It gives details of Heads of Development-Wise Outlay (amount and percentage share in total distribution) for the years 1992-97 (Eighth Five-Year Plan), 1992-93, 1993-94, 1994-95, 1995-96 and 1996-97 ...", 
 "file_name": "tab27.xls", 
 "title": "Download XLS for Eighth Plan Outlay by Heads of Development: Centre, States and Union Territories, 1992-97(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab27.xls"
}
-----
"","2.7 EIGHTH PLAN OUTLAY BY HEADS OF DEVELOPMENT : CENTRE, STATES AND UNION TERRITORIES, 1992-97","","","","","","","","","","","","",""
"","","Amount (` crore)","","","","","","","Percentage distribution","","","","",""
"","","Eighth","Annual","Annual","Annual","Annual","Annual","","Eighth","Annual","Annual","Annual","Annual","Annual"
"","Head of development","Plan","Plan","Plan","Plan","Plan","Plan","","Plan","Plan","Plan","Plan","Plan","Plan"
"","","Outlay","1992-93","1993-94","1994-95","1995-96","1996-97","","Outlay","1992-93","1993-94","1994-95","1995-96","1996-97"
"","","1992-97","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)","","1992-97","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)"
"",1.0,2.0,3.0,4.0,5.0,6.0,7.0,"",8.0,9.0,10.0,11.0,12.0,13.0
"I.","Agriculture & allied activities",22467.2,4215.6,4263.5,5350.2,5082.0,5984.4,"",5.2,5.8,4.8,5.5,4.7,5.0
"II.","Rural development",34425.4,5091.4,7033.3,8717.1,9967.2,9563.1,"",7.9,7.0,8.0,8.9,9.3,8.0
"III.","Special area programmes",6750.1,1283.8,1363.6,1428.2,407.8,449.1,"",1.6,1.8,1.5,1.5,0.4,0.4
"IV.","Irrigation & flood control",32525.3,4705.2,5370.5,6104.1,7245.1,7974.0,"",7.5,6.5,6.1,6.2,6.7,6.7
"V.","Energy",115561.1,20289.8,26909.0,27482.0,26893.3,27330.4,"",26.6,27.9,30.6,28.0,25.0,23.0
"","a. Power",79588.7,12157.4,14773.1,16346.4,16511.4,16937.5,"",18.3,16.7,16.8,16.7,15.4,14.2
"","b. Petroleum",24000.0,5698.5,9589.3,8643.6,8123.5,8007.6,"",5.5,7.8,10.9,8.8,7.6,6.7
"","c. Coal & lignite",10507.0,2276.5,2293.1,2238.7,1948.3,1958.6,"",2.4,3.1,2.6,2.3,1.8,1.6
"","d. Non-conventional sources of energy",1465.4,157.4,253.5,253.3,310.2,426.7,"",0.3,0.2,0.3,0.3,0.3,0.4
"VI.","Industry & minerals",46921.7,7444.2,8481.1,9088.0,10808.1,12067.4,"",10.8,10.2,9.6,9.3,10.1,10.1
"","a. Village & small scale industries",6334.2,995.3,1152.2,1512.4,1794.4,1811.4,"",1.5,1.4,1.3,1.5,1.7,1.5
"","b. Other industries",40587.5,6448.9,7328.9,7575.6,9013.7,10256.0,"",9.3,8.9,8.3,7.7,8.4,8.6
"VII.","Transport",55925.6,10662.7,11976.7,12096.6,13766.9,16670.1,"",12.9,14.6,13.6,12.3,12.8,14.0
"","a. Railways",27202.0,6162.0,5901.0,5472.0,6335.0,8310.0,"",6.3,8.5,6.7,5.6,5.9,7.0
"","b. Others",28723.6,4500.7,6075.7,6624.6,7431.9,8360.1,"",6.6,6.2,6.9,6.7,6.9,7.0
"VIII.","Communications",25110.0,5150.9,6201.6,7273.8,8626.2,9122.4,"",5.8,7.1,7.0,7.4,8.0,7.7
"IX.","Science, technology & environment",9041.7,929.9,1153.4,1407.4,1764.8,1854.0,"",2.1,1.3,1.3,1.4,1.6,1.6
"X.","General economic services",4549.5,1490.1,848.8,1159.6,1104.0,1579.2,"",1.0,2.0,1.0,1.2,1.0,1.3
"XI.","Social services",79011.9,11322.8,14016.6,17409.2,20848.4,25209.6,"",18.2,15.5,15.9,17.7,19.4,21.2
"","a. Education",19599.7,2619.4,3147.3,3940.0,5355.7,6536.3,"",4.5,3.6,3.6,4.0,5.0,5.5
"","b. Medical & public health",7575.9,1213.9,1300.4,1625.9,1929.1,2068.3,"",1.7,1.7,1.5,1.7,1.8,1.7
"","c. Family welfare",6500.0,1008.1,1312.6,1684.9,1743.5,223.7,"",1.5,1.4,1.5,1.7,1.6,0.2
"","d. Housing",5273.0,650.6,1291.5,1055.6,1356.6,3177.5,"",1.2,0.9,1.5,1.1,1.3,2.7
"","e. Urban development",5277.0,791.3,855.8,1025.2,1535.6,2064.6,"",1.2,1.1,1.0,1.0,1.4,1.7
"","f. Other social services",34786.3,5039.5,6109.0,8077.6,8928.0,11139.3,"",8.0,6.9,6.9,8.2,8.3,9.4
"XII.","General services",1810.5,266.0,462.6,651.1,866.7,1172.5,"",0.4,0.4,0.5,0.7,0.8,1.0
"XIII.","Total (I to XII)",434100.0,72852.4,88080.7,98167.3,107380.4,118976.4,"",100.0,100.0,100.0,100.0,100.0,100.0
"","a. Central Plans",247865.0,43693.8,55215.9,59053.8,63493.7,67472.9,"",57.1,60.0,62.7,60.1,59.1,56.7
"","b. State Plans",179985.0,27916.7,31500.6,37459.1,42044.3,49016.8,"",41.5,38.3,35.8,38.2,39.2,41.2
"","c. Union Territory Plans",6250.0,1241.9,1364.2,1654.4,1842.5,2486.7,"",1.4,1.7,1.5,1.7,1.7,2.1
"Source : Planning Commission.","","","","","","","","","","","","","",""
"Note : Figures may not add upto total because of rounding.","","","","","","","","","","","","","",""
