-----
{
 "description": "The table refers to district wise potential utilized through surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.10.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.10.csv"
}
-----
State,District,Total number of schemes,Pucca channel,Kutcha channel,Underground channel,Total
ANDHRA PRADESH,ADILABAD,1339,16,193,0,209
ANDHRA PRADESH,ANANTHAPUR,2692,43,373,5,421
ANDHRA PRADESH,CHITTOOR,7537,4,431,6,441
ANDHRA PRADESH,CUDDAPAH,1863,104,528,37,669
ANDHRA PRADESH,EAST GODAVARI,1787,9,475,1,485
ANDHRA PRADESH,GUNTUR,202,61,673,2,736
ANDHRA PRADESH,HYDERABAD,38,7,340,2,349
ANDHRA PRADESH,KARIMNAGAR,5248,2,211,1,214
ANDHRA PRADESH,KHAMMAM,2713,6,276,0,282
ANDHRA PRADESH,KRISHNA,1010,62,726,0,788
ANDHRA PRADESH,KURNOOL,1032,125,416,7,548
ANDHRA PRADESH,MAHABOOB NAGAR,7174,33,322,6,361
ANDHRA PRADESH,MEDAK,4156,20,345,2,367
ANDHRA PRADESH,NALGONDA,4422,4,261,8,273
ANDHRA PRADESH,NELLORE,1879,45,716,7,768
ANDHRA PRADESH,NIZAMABAD,2210,9,747,4,760
ANDHRA PRADESH,PRAKASAM,1103,57,556,5,618
ANDHRA PRADESH,RANGA REDDY,1721,16,222,4,242
ANDHRA PRADESH,SRIKAKULUM,9120,1,137,0,138
ANDHRA PRADESH,VIJAYA NAGARAM,9689,1,137,0,138
ANDHRA PRADESH,VISAKHAPATNAM,5894,19,308,3,330
ANDHRA PRADESH,WARANGAL,5635,2,369,2,373
ANDHRA PRADESH,WEST GODAVARI,1489,10,590,2,602
ARUNACHAL PRADESH,CHANGLANG,238,11,526,4,541
ARUNACHAL PRADESH,DIBANG VALLEY,104,190,812,7,1009
ARUNACHAL PRADESH,EAST KAMENG,85,35,744,14,793
ARUNACHAL PRADESH,EAST SIANG,893,12,1009,1,1022
ARUNACHAL PRADESH,LOHIT,66,458,973,183,1614
ARUNACHAL PRADESH,LOWER SUBANSIRI,702,9,1277,0,1286
ARUNACHAL PRADESH,PAPUM PARE,147,81,849,39,969
ARUNACHAL PRADESH,TAWANG,71,727,324,5,1056
ARUNACHAL PRADESH,TIRAP,108,181,273,202,656
ARUNACHAL PRADESH,UPPER SIANG,297,55,760,2,817
ARUNACHAL PRADESH,UPPER SUBANSIRI,581,43,679,0,722
ARUNACHAL PRADESH,WEST KAMENG,53,602,196,64,862
ARUNACHAL PRADESH,WEST SIANG,243,83,1095,13,1191
ASSAM,BARPETA,6,830,7478,0,8308
ASSAM,BONGAIGAON,6,0,2193,0,2193
ASSAM,CACHAR,7,128,639,0,767
ASSAM,DARRANG,217,69,3967,450,4486
ASSAM,DHEMAJI,8,73,737,0,810
ASSAM,DHUBRI,47,110,1075,4,1189
ASSAM,DIBRUGARH,1,0,0,0,0
ASSAM,GOALPARA,146,235,1250,0,1485
ASSAM,GOLAGHAT,3,1247,6432,0,7679
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,JORHAT,4,2460,1260,0,3720
ASSAM,KAMRUP,104,74,10254,0,10328
ASSAM,KARBI ANGLONG,1276,28,203,0,231
ASSAM,KARIMGANJ,1,4397,0,0,4397
ASSAM,KOKRAJHAR,24,146,775,0,921
ASSAM,LAKHIMPUR,2,4653,0,0,4653
ASSAM,MARIGAON,34,86,1609,0,1695
ASSAM,NAGAON,66,410,196,0,606
ASSAM,NALBARI,89,82,1912,0,1994
ASSAM,NORTH CACHAR HILLS,265,48,632,0,680
ASSAM,SIBSAGAR,4,1933,843,0,2776
ASSAM,SONITPUR,32,565,5015,0,5580
ASSAM,TINSUKIA,5,0,506,0,506
BIHAR,ARARIA,40,0,167,0,167
BIHAR,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,BANKA,1973,0,254,3,257
BIHAR,BEGUSARAI,2,0,1000,400,1400
BIHAR,BHABUA,397,0,256,0,256
BIHAR,BHAGALPUR,852,0,331,20,351
BIHAR,BHOJPUR,225,0,519,167,686
