-----
{
 "description": "The table refers to District wise Surface Flow Schemes- Potential Created and Utilized through Tanks. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.12.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes- Potential Created and Utilized through Tanks", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.12.csv"
}
-----
"State","District","No of tanks","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total","Irrigation potential utilised - Kharif","Irrigation potential utilised - Rabi","Irrigation potential utilised - Perennial","Irrigation potential utilised - Others","Total.1"
"ANDHRA PRADESH","ADILABAD",2444,26997,2009,240,9,29255,22285,1718,240,3,24246
"ANDHRA PRADESH","ANANTHAPUR",1338,30075,17074,177,0,47326,4001,2031,0,0,6032
"ANDHRA PRADESH","CHITTOOR",7182,44242,73254,93,0,117588,8445,27161,5,0,35610
"ANDHRA PRADESH","CUDDAPAH",1115,25219,11960,0,0,37179,5637,1336,0,0,6974
"ANDHRA PRADESH","EAST GODAVARI",1741,38533,2120,601,32,41286,31928,2076,597,19,34620
"ANDHRA PRADESH","GUNTUR",204,7597,176,2,7,7781,5062,142,2,7,5213
"ANDHRA PRADESH","KARIMNAGAR",4190,75091,27535,0,0,102627,26462,10504,0,0,36967
"ANDHRA PRADESH","KHAMMAM",1896,47118,6156,0,0,53274,43073,1353,0,0,44426
"ANDHRA PRADESH","KRISHNA",990,40196,8039,306,184,48725,33813,4252,306,176,38547
"ANDHRA PRADESH","KURNOOL",539,18413,5725,3,236,24377,13021,2636,0,236,15893
"ANDHRA PRADESH","MAHABOOBNAGAR",2787,40426,11635,5,102,52168,8307,1466,4,8,9785
"ANDHRA PRADESH","MEDAK",1506,41817,11702,249,9,53777,5305,1225,185,0,6714
"ANDHRA PRADESH","NALGONDA",2899,42352,23288,273,0,65913,9291,6299,264,0,15854
"ANDHRA PRADESH","NELLORE",1591,13094,86296,7,119,99515,10441,52979,7,79,63506
"ANDHRA PRADESH","NIZAMABAD",1662,43678,13229,100,14,57021,27593,2847,96,6,30542
"ANDHRA PRADESH","PRAKASAM",702,15988,21031,1509,1293,39821,11493,12970,509,646,25619
"ANDHRA PRADESH","RANGAREDDY",699,10256,3020,777,38,14092,1298,812,380,30,2519
"ANDHRA PRADESH","SRIKAKULAM",7269,97207,191,212,0,97609,92237,157,212,0,92606
"ANDHRA PRADESH","VISAKHAPATNAM",3742,53229,2007,11733,278,67247,44404,1192,11057,148,56801
"ANDHRA PRADESH","VIZIANAGARAM",9210,107122,4846,2586,171,114724,85917,1358,2028,45,89348
"ANDHRA PRADESH","WARANGAL",3074,184557,49025,583,1164,235330,131968,17345,530,920,150762
"ANDHRA PRADESH","WEST GODAVARI",1465,40325,4072,32,20,44449,29019,668,32,2,29721
"ARUNACHAL PRADESH","CHANGLANG",20,461,18,0,0,479,61,9,0,0,70
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","EAST KAMENG",0,0,0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","EAST SIANG",13,115,0,0,0,115,76,0,0,0,76
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","LOWER SUBANSIRI",1,15,0,0,0,15,10,0,0,0,10
"ARUNACHAL PRADESH","PAPUMPARE",2,63,7,0,20,90,22,6,0,0,28
"ARUNACHAL PRADESH","TAWANG",0,0,0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",5,58,0,0,2,60,22,0,0,0,22
"ARUNACHAL PRADESH","UPPER SIANG",1,45,0,0,0,45,45,0,0,0,45
"ARUNACHAL PRADESH","UPPER SUBANSIRI",2,8,0,0,0,8,5,0,0,0,5
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",3,14,0,0,0,14,0,0,0,0,0
"ASSAM","BARPETA",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","BONGAIGAON",4,390,225,0,0,615,50,5,0,0,55
"ASSAM","CACHAR",10,42,33,0,6,80,42,33,0,6,80
"ASSAM","DARRANG",136,598,87,23,97,806,261,34,3,84,382
"ASSAM","DHUBRI",9,33,15,0,3,51,33,15,0,0,48
"ASSAM","GOALPARA",5,145,0,0,0,145,145,0,0,0,145
"ASSAM","GOLAGHAT",2,2,2,2,0,6,1,2,2,1,6
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","KAMRUP",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","KARBIANGLONG",7,130,119,0,0,249,124,115,0,0,239
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",18,338,121,0,0,459,255,55,1,0,311
"ASSAM","LAKHIMPUR",14,410,270,0,0,680,0,0,0,0,0
"ASSAM","MORIGAON",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","NAGOAN",1,1,1,0,0,1,0,1,0,0,1
"ASSAM","NALBARI",0,0,0,0,0,0,0,0,0,0,0
"ASSAM","NC HILLS",13,483,0,0,0,483,481,0,0,0,481
"ASSAM","SIBSAGAR",2,80,40,0,0,120,0,0,0,0,0
"ASSAM","SONITPUR",2,124,0,0,0,124,124,0,0,0,124
"BIHAR","ARARIA",0,0,0,0,0,0,0,0,0,0,0
