-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.6.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.6.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.9.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.9.csv"
}
-----
"State","District","Block","Horse Power (0-6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power (Above 18)","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",14,0,0,0,14
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",5,0,0,0,5
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",12,0,0,0,12
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",27,4,0,0,31
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",1,21,0,0,22
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",9,0,0,0,9
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",2,0,0,0,2
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TAMSI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TANDUR",0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","TANUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TIRYANI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","UTNUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","WANKDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AGALI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",NA,NA,NA,NA,NA
