-----
{
 "description": "The table shows Number of Visits by  Block Education Officers in AWC and Issues discussed as reported by AWW. It gives details regarding visits in the last 30 days, last 90 days and last 6 months and the issues discussed thereof. ", 
 "file_name": "ICDS_Table6.23.xls", 
 "title": "Download XLS for Number of Visits by Block Education Officers in AWC: Reported by AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.23.xls"
}
-----
"States/UTs ","Visits by block education officer (no.)-During last 30 days","Visits by block education officer (no.)-During last 90 days","Visits by block education officer (no.)-During last 6 months","Visits by district project officer (no.)-During last 30 days","Visits by district project officer (no.)-During last 90 days","Visits by district project officer (no.)-During last 6 months"
"Andhra Pradesh",0.0,0.0,0.0,0.0,0.0,0.0
"Assam",0.0,0.0,0.0,0.0,0.0,0.0
"Bihar",0.0,0.0,0.0,0.0,0.0,0.0
"Chhattisgarh",0.0,0.0,0.0,0.0,0.0,0.0
"Gujarat",0.0,0.0,0.0,0.0,0.0,0.0
"Haryana",0.0,0.0,0.0,0.0,0.0,0.0
"Himachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0
"Jammu and Kashmir",0.0,0.0,0.0,0.0,0.0,0.0
"Jharkhand",0.0,0.0,0.0,0.0,0.0,0.0
"Karnataka",0.0,0.0,0.0,0.0,0.0,0.0
"Kerala",0.0,0.0,0.0,0.0,0.0,0.0
"Madhya Pradesh",0.0,0.0,0.0,0.0,0.0,0.0
"Maharashtra",0.0,0.0,0.0,0.0,0.0,0.0
"Orissa",0.0,0.0,0.0,0.0,0.0,0.0
"Punjab",0.0,0.0,0.0,0.0,0.0,0.0
"Rajasthan",0.0,0.0,0.0,0.0,0.0,0.0
"Tamil Nadu",0.0,0.0,1.0,0.0,0.0,0.0
"Uttar Pradesh",0.0,0.0,0.0,0.0,0.0,0.0
"Uttrakhand",0.0,0.0,0.0,0.0,0.0,0.0
"West Bengal",0.0,0.0,0.0,0.0,0.0,0.0
"Delhi",0.0,0.0,0.0,0.0,0.0,0.0
"Chandigarh",0.0,0.0,0.0,0.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0
"Manipur",0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",0.0,0.0,0.0,0.0,0.0,0.0
"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0
"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0
"Tripura",0.0,0.0,0.0,0.0,0.0,0.0
"Sikkim",0.0,0.0,0.0,0.0,0.0,0.0
"Dadar & Nagar Haveli",0.0,0.0,0.0,0.0,0.0,0.0
"Daman & Diu",0.0,0.0,0.0,0.0,0.0,0.0
"Goa",0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",0.0,0.0,0.0,0.0,0.0,0.0
"Andaman & Nicobar Island",0.0,0.0,0.0,0.0,0.0,0.0
"All India",0.0,0.0,0.0,0.0,0.0,0.0
