-----
{
 "description": "The table refers to block wise potential utilized through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.16.csv", 
 "title": "Download CSV for Block wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.16.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.1.csv", 
 "title": "Download CSV for Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.10_1.csv", 
 "title": "Download CSV for Block wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.10_1.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.2.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.12.csv", 
 "title": "Download CSV for Block wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.12.csv"
}
-----
"State","District","Block","Total number of dugwells","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","ADILABAD","ADILABAD",301,0,22,13
"ANDHRA PRADESH","ADILABAD","ASIFABAD",111,0,38,0
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",263,0,86,5
"ANDHRA PRADESH","ADILABAD","BEJJUR",496,0,22,0
"ANDHRA PRADESH","ADILABAD","BELA",150,0,48,20
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",752,0,20,0
"ANDHRA PRADESH","ADILABAD","BHAINSA",161,0,27,0
"ANDHRA PRADESH","ADILABAD","BHEEMINI",420,0,20,0
"ANDHRA PRADESH","ADILABAD","BOATH",331,11,31,1
"ANDHRA PRADESH","ADILABAD","CHENNUR",589,0,12,0
"ANDHRA PRADESH","ADILABAD","DAHEGAON",359,0,14,0
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",1503,6,24,7
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",1010,1,57,1
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",418,0,17,2
"ANDHRA PRADESH","ADILABAD","ICHODA",436,0,106,1
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",514,0,10,0
"ANDHRA PRADESH","ADILABAD","JAINAD",186,0,17,10
"ANDHRA PRADESH","ADILABAD","JAINOOR",219,1,40,0
"ANDHRA PRADESH","ADILABAD","JAIPUR",439,0,3,0
"ANDHRA PRADESH","ADILABAD","JANNARAM",828,1,28,0
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",1695,0,8,1
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",283,0,19,0
"ANDHRA PRADESH","ADILABAD","KASIPET",146,0,11,0
"ANDHRA PRADESH","ADILABAD","KERAMERI",118,0,15,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",1593,1,12,1
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",209,0,7,0
"ANDHRA PRADESH","ADILABAD","KOUTHALA",223,0,21,0
"ANDHRA PRADESH","ADILABAD","KUBEER",264,0,55,23
"ANDHRA PRADESH","ADILABAD","KUNTALA",79,3,53,18
"ANDHRA PRADESH","ADILABAD","LAHESRA",66,0,39,0
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",1426,1,60,21
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",976,3,16,1
"ANDHRA PRADESH","ADILABAD","MAMDA",606,10,36,0
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",1458,0,26,1
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",509,0,112,0
