-----
{
 "description": "It provides details of plan investments  in Public Enterprises viz. equity/loan components of budget support.", 
 "file_name": "stat14.xls", 
 "title": "Download XLS for Plan Investments in Public Enterprises(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat14.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"STATEMENT 14","","","","","","","","","","","",""
"PLAN INVESTMENT IN PUBLIC ENTERPRISES","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","",""
"","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
"S.No. Name of Enterprise/Undertaking","Total Plan","Budget Support","","Total Plan","Budget Support","","Total Plan","Budget Support","","Total Plan","Budget Support",""
"","Outlay","","","Outlay","","","Outlay","","","Outlay","",""
"","","Equity","Loans","","Equity","Loans","","Equity","Loans","","Equity","Loans"
"","","","","","","","","","","","",""
"Ministry of Agriculture",30.24,"... ",30.24,30.0,"... ",30.0,25.0,"... ",25.0,25.0,"... ",25.0
"Department of Agriculture and Cooperation",30.24,"... ",30.24,30.0,"... ",30.0,25.0,"... ",25.0,25.0,"... ",25.0
"1. Land Development Banks",30.24,"...",30.24,30.0,"...",30.0,25.0,"...",25.0,25.0,"...",25.0
"Department of Atomic Energy",3841.95,875.0,"... ",6840.08,752.67,14.0,5937.72,193.17,"... ",8418.73,395.67,24.0
"2. Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)",875.0,875.0,"...",700.0,536.67,"...",234.67,174.67,"...",365.43,250.67,"..."
"3. Electonics Corporation of India Limited",18.27,"...","...",44.0,"...","...",44.0,"...","...",36.5,"...","..."
"4. Indian Rare Earths Limited",33.32,"...","...",169.0,"...","...",122.05,"...","...",100.3,"...","..."
"5. Nuclear Power Corporation of India Limited (NPCIL)",2775.22,"...","...",5460.08,"...",14.0,5500.0,"...","...",7504.5,"...",24.0
"6. Uranium Corporation of India Limited",140.14,"...","...",467.0,216.0,"...",37.0,18.5,"...",412.0,145.0,"..."
"Ministry of Chemicals and Fertilisers",2699.31,"... ",217.49,3379.28,"... ",303.99,2981.79,"... ",10.04,3053.8,"... ",283.09
"Department of Chemicals and Petrochemicals","... ","... ","... ",40.0,"... ",40.0,"... ","... ","... ","... ","... ","... "
"7. Hindustan Insecticides Limited (HIL)","...","...","...",14.0,"...",14.0,"...","...","...","...","...","..."
"8. Hindustan Organic Chemicals Ltd. (HOCL)","...","...","...",26.0,"...",26.0,"...","...","...","...","...","..."
"Department of Fertilisers",2699.31,"... ",217.49,3319.28,"... ",243.99,2971.79,"... ",0.04,3024.14,"... ",253.43
"9. Brahmaputra Valley Fertilizer Corporation Ltd.",67.8,"...",67.8,94.62,"...",94.62,0.02,"...",0.02,25.0,"...",25.0
"10. Fertilizer Corporation of India (FAGMIL)",0.27,"...","...",23.51,"...","...",11.11,"...","...",44.05,"...","..."
"11. Fertilizers & Chemicals Travancore Ltd.",60.74,"...",60.74,61.75,"...",61.75,0.01,"...",0.01,211.43,"...",211.43
"12. Krishak Bharti Cooperative Ltd.",592.06,"...","...",675.0,"...","...",522.0,"...","...",927.0,"...","..."
"13. Madras Fertilizers Ltd.",88.95,"...",88.95,87.62,"...",87.62,0.01,"...",0.01,17.0,"...",17.0
"14. National Fertilizers Ltd.",1553.82,"...","...",1696.98,"...","...",2087.94,"...","...",803.2,"...","..."
"15. Projects and Development (India) Ltd.",3.0,"...","...",6.05,"...","...",5.57,"...","...",18.17,"...","..."
"16. Rashtriya Chemicals and Fertilizers Ltd.",332.67,"...","...",673.75,"...","...",345.13,"...","...",978.29,"...","..."
"Department of Pharmaceuticals","... ","... ","... ",20.0,"... ",20.0,10.0,"... ",10.0,29.66,"... ",29.66
"17. Bengal Chemicals and Pharmaceuticals Ltd. (BCPL)","...","...","...",2.0,"...",2.0,"...","...","...",9.3,"...",9.3
"18. Hindustan Antibiotics Ltd. (HAL)","...","...","...",3.0,"...",3.0,5.0,"...",5.0,14.17,"...",14.17
"19. Indian Drugs and Pharmaceuticals Ltd. (IDPL)","...","...","...",15.0,"...",15.0,5.0,"...",5.0,6.19,"...",6.19
"Ministry of Civil Aviation",3710.54,1200.95,0.94,6831.99,4034.31,4.31,9111.36,6019.07,4.07,8670.4,5005.0,"... "
"20. Air India Charters Ltd.",2.12,"...","...",5.0,"...","...",5.0,"...","...","...","...","..."
"21. Air India Ltd.",1509.68,1200.0,"...",4928.0,4000.0,"...",7145.87,6000.0,"...",6318.6,5000.0,"..."
"22. Airport Authority of India",1975.9,0.95,0.94,1715.62,4.31,4.31,1823.14,4.07,4.07,2260.0,"...","..."
"23. Hotel Corporation of India Ltd.",0.4,"...","...",25.0,25.0,"...",10.0,10.0,"...",5.0,5.0,"..."
"24. Pawan Hans Helicopters Ltd.",222.44,"...","...",158.37,5.0,"...",127.35,5.0,"...",86.8,"...","..."
"Ministry of Coal",6482.11,"... ","... ",9182.78,"... ","... ",9102.59,"... ","... ",11304.21,"... ","... "
"25. Coal India Ltd",3727.17,"...","...",4275.0,"...","...",4100.0,"...","...",5000.0,"...","..."
"26. Neyveli Lignite Corporation Limited",1684.38,"...","...",1687.45,"...","...",1782.26,"...","...",2304.21,"...","..."
"27. Singareni Colleries Co. Ltd.",1070.56,"...","...",3220.33,"...","...",3220.33,"...","...",4000.0,"...","..."
"Ministry of Commerce and industry","... ","... ","... ",144.1,144.1,"... ",144.1,144.1,"... ",100.0,100.0,"... "
"Department of Commerce","... ","... ","... ",100.0,100.0,"... ",100.0,100.0,"... ",100.0,100.0,"... "
"28. Export Credit and Guarantee Corporation","...","...","...",100.0,100.0,"...",100.0,100.0,"...",100.0,100.0,"..."
"Department of Industrial Policy and Promotion","... ","... ","... ",44.1,44.1,"... ",44.1,44.1,"... ","... ","... ","... "
"29. Delhi Mumbai Industrial Corridor Development Corporation","...","...","...",44.1,44.1,"...",44.1,44.1,"...","...","...","..."
