-----
{
 "description": "It gives details of CPI at 1993-94 and 2004-05 base year prices for Industrial Workers (food, non,food and general), Rural Labourers, Agricultural Labourers since 1995-96. Also, CPI-New Series is provided for Rural, Urban and All-India (base year 2010).", 
 "file_name": "tab53.xls", 
 "title": "Download XLS for All India Consumer Price Index Numbers(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab53.xls"
}
-----
"5.3 : ALL INDIA CONSUMER PRICE INDEX NUMBERS","","","","","","","",""
"","Industrial workers (CPI-IW)","","","New Series (CPI-NS)","","","Agricultural labourers (CPI-AL)","Rural labourers     (CPI-RL)"
"Base","(1982=100 & 2001=100)","","","(2010=100)","","","(1986-87=100)","(1986-87=100)"
"Description","Food ","Non-Food ","General ","Rural","Urban","All-India","General ","General "
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"Average of Months","","","","","","","",""
"1995-96",337.0,280.273255814,313.0,"…","…","…",237.0,"238b"
"1996-97",369.0,307.122093023,342.0,"…","…","…",256.0,256.25
"1997-98",388.0,335.951550388,366.0,"…","…","…",264.0,265.916666667
"1998-99",445.0,372.352713178,414.0,"…","…","…",293.0,294.25
"1999-00",446.0,403.641472868,428.0,"…","…","…",306.0,307.0
"2000-01",453.0,432.78875969,444.0,"…","…","…",305.0,307.083333333
"2001-02",466.0,459.908914729,463.0,"…","…","…",309.0,311.166666667
"2002-03",477.0,487.604651163,482.0,"…","…","…",319.0,320.916666667
"2003-04",495.0,507.403100775,500.0,"…","…","…",331.0,333.083333333
"2004-05",506.0,537.837209302,520.0,"…","…","…",340.0,341.666666667
"2005-06","527a","563a","542a","…","…","…",353.0,354.833333333
"2006-07",126.0,124.499070632,125.0,"…","…","…",380.0,381.5
"2007-08",136.0,129.81598513,133.0,"…","…","…",409.0,408.916666667
"2008-09",153.0,137.891883519,145.0,"…","…","…",450.0,450.583333333
"2009-10",176.0,151.228624535,163.0,"…","…","…",513.0,512.583333333
"2010-11",193.583333333,167.870817844,179.75,"…","…","…",564.416666667,563.916666667
"2011-12",205.83,185.387236679,194.83,113.075,110.366666667,111.908333333,610.6666667,611.0
"Last Month of","","","","","","","",""
"1995-96",339.0,292.488372093,319.0,"…","…","…",237.0,238.0
"1996-97",373.0,321.837209302,351.0,"…","…","…",262.0,262.0
"1997-98",401.0,352.162790698,380.0,"…","…","…",272.0,273.0
"1998-99",431.0,391.465116279,414.0,"…","…","…",296.0,296.0
"1999-00",446.0,418.093023256,434.0,"…","…","…",306.0,307.0
"2000-01",446.0,443.674418605,445.0,"…","…","…",300.0,302.0
"2001-02",462.0,475.953488372,468.0,"…","…","…",309.0,311.0
"2002-03",479.0,497.604651163,487.0,"…","…","…",324.0,326.0
"2003-04",494.0,517.255813953,504.0,"…","…","…",332.0,334.0
"2004-05",502.0,555.488372093,525.0,"…","…","…",340.0,342.0
"2005-06","115a","122a","119a","…","…","…",358.0,360.0
"2006-07",129.0,125.282527881,127.0,"…","…","…",392.0,393.0
"2007-08",141.0,133.565055762,137.0,"…","…","…",423.0,423.0
