-----
{
 "description": "This table provides data related to Projected Central Assistance to States/UT for Eleventh Plan (in Rs crore) at 2006-07 price.", 
 "file_name": "FR1011_14_1.xls", 
 "title": "Download XLS for Projected Central Assistance to States/UT for Eleventh Plan at 2006-07 Price", 
 "url": "http://data.gov.in/sites/default/files/FR1011_14_1.xls"
}
-----
"Sector","Programme","Allocation"
"State Development Plan","Normal Central Assistance",94720.0
"Special Catgory States","Special Plan Assistance ",13238.0
"Special Catgory States","Central Pool for North East and Sikkim",3095.0
"Agriculture","Rashriya Krishi Vikas Yojana ",22104.0
"Agriculture","Shifting Cultivation",212.0
"SCA","Border Area Development Programme/Hill Area Development Programme/North Eastern Council",14894.0
"Irrigation","Accelerated Irrigation Benefit Programme",41568.0
"Power","Accelerated Power Development & Reform Programme",12820.0
"Urban/Local Area Development","Jawaharlal Nehru Urban Renewal Mission  ",41490.0
"Urban/Local Area Development","Brihan Mumbai Storm Water Drain Project, Mumbai",113.0
"Urban/Local Area Development","MPs' Local Area Development Programme",6985.0
"Balanced Regional Development","Backward Region Grant Fund",25711.0
"Elderly and Weaker Section","National Social Assistance Programme",15691.0
"Adolescent Girls","National Programme for Adolescent Girls",886.0
"Roads and Bridges","Roads and Bridges",7972.0
"Exernally Aided Projects","Various EAPs",14273.0
"Disaster Management ","Tsunami Rehabilitation Programme",2985.0
"Sports","Commonwealth Games, 2010",2133.0
"E-governance","National e-Governance Action Plan",2942.0
"Total (all above)","All Programmes",324851.0
