-----
{
 "description": "The table refers to district wise irrigation through supplementary sources. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.15.csv", 
 "title": "Download CSV for District wise Irrigation through supplementary sources with Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD",684,307,2,1,994
"ANDHRA PRADESH","ANANTHAPUR",1232,471,480,0,2183
"ANDHRA PRADESH","CHITTOOR",380,263,1,0,644
"ANDHRA PRADESH","CUDDAPAH",610,64,1,10,685
"ANDHRA PRADESH","EAST GODAVARI",694,445,10,0,1149
"ANDHRA PRADESH","GUNTUR",642,11,10,0,663
"ANDHRA PRADESH","HYDERABAD",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR",4253,2036,88,12,6389
"ANDHRA PRADESH","KHAMMAM",574,133,9,1,717
"ANDHRA PRADESH","KRISHNA",1024,497,123,138,1782
"ANDHRA PRADESH","KURNOOL",1640,1169,24,1,2834
"ANDHRA PRADESH","MAHABOOB NAGAR",399,327,3,1,730
"ANDHRA PRADESH","MEDAK",69,35,8,2,114
"ANDHRA PRADESH","NALGONDA",2037,1306,47,120,3510
"ANDHRA PRADESH","NELLORE",79,659,4,0,742
"ANDHRA PRADESH","NIZAMABAD",402,63,0,0,465
"ANDHRA PRADESH","PRAKASAM",923,733,71,1,1728
"ANDHRA PRADESH","RANGA REDDY",13,97,1,0,111
"ANDHRA PRADESH","SRIKAKULUM",940,141,0,0,1081
"ANDHRA PRADESH","VIJAYA NAGARAM",19,25,7,0,51
"ANDHRA PRADESH","VISAKHAPATNAM",100,5,482,0,587
"ANDHRA PRADESH","WARANGAL",167,2,0,0,169
"ANDHRA PRADESH","WEST GODAVARI",14,5,0,0,19
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA
"ASSAM","DHUBRI",0,0,0,0,0
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,0,0,0,0
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",0,0,0,0,0
"ASSAM","MARIGAON",0,0,0,0,0
"ASSAM","NAGAON",NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA
"BIHAR","ARARIA",1,1,0,1,3
"BIHAR","AURANGABAD",1134,813,36,22,2005
"BIHAR","BANKA",266,157,10,4,437
"BIHAR","BEGUSARAI",0,1,0,0,1
