-----
{
 "description": "The table shows the Status of Supplementary Nutrition (Food). It gives state-wise details regarding the percentage of pregnant women and lactating mothers receiving food and the average number of days they received food along with, the state-wise figures on the awareness of food entitlement (%) ...", 
 "file_name": "ICDS_Table7.10.xls", 
 "title": "Download XLS for Status of Supplementary Nutrition (Food)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table7.10.xls"
}
-----
"States/UTs ","Receiving food-% PW/LM","Receiving food-Average number of days","Awareness of food entitlement (%)"
"Andhra Pradesh",87.8,10.0,70.4
"Assam",7.7,0.0,6.8
"Bihar",68.0,10.0,14.3
"Chhattisgarh",76.8,16.0,17.0
"Gujarat",76.5,14.0,42.1
"Haryana",93.1,18.0,0.7
"Himachal Pradesh",75.3,16.0,23.1
"Jammu and Kashmir",90.4,16.0,21.6
"Jharkhand",91.4,20.0,14.2
"Karnataka",90.7,11.0,74.8
"Kerala",93.8,19.0,87.7
"Madhya Pradesh",78.4,8.0,8.1
"Maharashtra",93.3,20.0,57.3
"Orissa",90.1,20.0,15.1
"Punjab",87.8,16.0,27.4
"Rajasthan",83.8,4.0,24.0
"Tamil Nadu",89.5,13.0,71.9
"Uttar Pradesh",69.5,9.0,10.0
"Uttrakhand",92.3,10.0,13.7
"West Bengal",96.9,20.0,12.4
"Delhi",89.4,14.0,8.1
"Chandigarh",100.0,20.0,"NA"
"Arunachal Pradesh",63.3,7.0,0.0
"Manipur",23.6,2.0,1.7
"Meghalaya",66.5,14.0,32.8
"Mizoram",100.0,17.0,100.0
"Nagaland",92.3,7.0,82.5
"Tripura",66.8,7.0,13.9
"Sikkim",86.8,13.0,25.7
"Dadar & Nagar Haveli",100.0,24.0,83.1
"Daman & Diu",100.0,22.0,72.2
"Goa",100.0,24.0,94.0
"Puducherry",100.0,24.0,100.0
"Andaman & Nicobar Islands",74.2,15.0,1.2
"All India",78.3,12.0,26.8
