-----
{
 "description": "The table refers to block wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.1_1.csv", 
 "title": "Download CSV for Block wise Construction of Dugwells over the years for 2nd census Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.1_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to water lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.9.csv", 
 "title": "Download CSV for Block wise Dugwells according to water lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.9.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.16_1.csv", 
 "title": "Download CSV for District wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.16_1.csv"
}
-----
State,District,No. of dugwells in use,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
ANDHRA PRADESH,ADILABAD,21415,17374,1090,356,1556,1039,4041,21415
ANDHRA PRADESH,ANANTHAPUR,38312,10831,3032,339,22977,1133,27481,38312
ANDHRA PRADESH,CHITTOOR,102539,43700,12828,1571,42732,1708,58839,102539
ANDHRA PRADESH,CUDDAPAH,26866,8218,1512,253,15318,1565,18648,26866
ANDHRA PRADESH,EAST GODAVARI,1640,776,82,9,153,620,864,1640
ANDHRA PRADESH,GUNTUR,11004,9845,20,0,620,519,1159,11004
ANDHRA PRADESH,HYDERABAD,55,11,0,0,30,14,44,55
ANDHRA PRADESH,KARIMNAGAR,183441,83588,6570,1249,80423,11611,99853,183441
ANDHRA PRADESH,KHAMMAM,28925,18558,32,140,10061,134,10367,28925
ANDHRA PRADESH,KRISHNA,12726,9611,148,50,2098,819,3115,12726
ANDHRA PRADESH,KURNOOL,28799,13020,413,46,13821,1499,15779,28799
ANDHRA PRADESH,MAHABOOB NAGAR,67493,763,2566,421,60565,3178,66730,67493
ANDHRA PRADESH,MEDAK,50895,5995,6198,230,32150,6322,44900,50895
ANDHRA PRADESH,NALGONDA,91667,29253,469,105,60503,1337,62414,91667
ANDHRA PRADESH,NELLORE,27439,22858,182,21,2771,1607,4581,27439
ANDHRA PRADESH,NIZAMABAD,29625,18620,4579,538,4482,1406,11005,29625
ANDHRA PRADESH,PRAKASAM,21677,16470,20,113,4906,168,5207,21677
ANDHRA PRADESH,RANGA REDDY,25263,5125,922,563,17678,975,20138,25263
ANDHRA PRADESH,SRIKAKULUM,31852,22933,40,36,8561,282,8919,31852
ANDHRA PRADESH,VIJAYA NAGARAM,29658,14507,153,156,14265,577,15151,29658
ANDHRA PRADESH,VISAKHAPATNAM,24038,12434,54,30,11056,464,11604,24038
ANDHRA PRADESH,WARANGAL,148250,96132,1506,253,30680,19679,52118,148250
ANDHRA PRADESH,WEST GODAVARI,14791,10516,1227,76,2610,362,4275,14791
ARUNACHAL PRADESH,CHANGLANG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,DIBANG VALLEY,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,EAST KAMENG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,EAST SIANG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,LOHIT,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,LOWER SUBANSIRI,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,PAPUM PARE,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,TAWANG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,TIRAP,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,UPPER SIANG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,UPPER SUBANSIRI,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,WEST KAMENG,NA,NA,NA,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,WEST SIANG,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,BARPETA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,BONGAIGAON,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,CACHAR,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,DARRANG,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,DHEMAJI,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,DHUBRI,14,0,5,0,3,6,14,14
ASSAM,DIBRUGARH,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,GOALPARA,1,0,0,0,0,1,1,1
ASSAM,GOLAGHAT,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,KARBI ANGLONG,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,KOKRAJHAR,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,1,0,0,0,0,1,1,1
ASSAM,MARIGAON,2,0,0,2,0,0,2,2
ASSAM,NAGAON,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,NALBARI,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,NORTH CACHAR HILLS,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,SIBSAGAR,2,0,0,1,0,1,2,2
ASSAM,SONITPUR,8,0,0,0,0,8,8,8
ASSAM,TINSUKIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,ARARIA,1,0,0,0,0,1,1,1
BIHAR,AURANGABAD,7855,17,551,291,2897,4099,7838,7855
BIHAR,BANKA,6631,0,115,254,2055,4207,6631,6631
BIHAR,BEGUSARAI,25,0,0,0,16,9,25,25
BIHAR,BHABUA,6814,3,815,464,1667,3865,6811,6814
BIHAR,BHAGALPUR,3984,6,39,104,1547,2288,3978,3984
BIHAR,BHOJPUR,2323,3,93,187,244,1796,2320,2323
BIHAR,BOKARO,7773,13,258,57,6015,1430,7760,7773
