-----
{
 "description": "This dataset represents the requirement and availability of major fertilizer products like DAP, MAP, MOP, TSP, NPK, and UREA State-wise and month-wise in the year 2012-13(April-2012 to March-2013).", 
 "file_name": "Statewise_and_Monthwise_Requirement_and_Availability.xls", 
 "title": "Download XLS for Requirement And Availability Of Major Fertilizers In The Year 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Statewise_and_Monthwise_Requirement_and_Availability.xls"
}
-----
"Year","Month","Product","State","Requirement(in 000'MTS)","Availability(in 000'MTS)"
"2012-13","April","DAP","Andaman & Nicobar",50.0,0.0
"2012-13","April","MAP","Andaman & Nicobar",0.0,0.0
"2012-13","April","MOP","Andaman & Nicobar",20.0,0.0
"2012-13","April","NPK","Andaman & Nicobar",15.0,0.0
"2012-13","April","TSP","Andaman & Nicobar",0.0,0.0
"2012-13","April","UREA","Andaman & Nicobar",15.0,0.0
"2012-13","April","DAP","Andhra Pradesh",75000.0,45663.65
"2012-13","April","MAP","Andhra Pradesh",0.0,1586.85
"2012-13","April","MOP","Andhra Pradesh",25000.0,60966.75
"2012-13","April","NPK","Andhra Pradesh",125000.0,213431.533
"2012-13","April","TSP","Andhra Pradesh",0.0,1785.8
"2012-13","April","UREA","Andhra Pradesh",12500.0,52647.5
"2012-13","April","DAP","Arunachal Pradesh",10.0,0.0
"2012-13","April","MAP","Arunachal Pradesh",0.0,0.0
"2012-13","April","MOP","Arunachal Pradesh",10.0,0.0
"2012-13","April","NPK","Arunachal Pradesh",0.0,0.0
"2012-13","April","TSP","Arunachal Pradesh",0.0,0.0
"2012-13","April","UREA","Arunachal Pradesh",125.0,0.0
"2012-13","April","DAP","Assam",2250.0,7961.9
"2012-13","April","MAP","Assam",0.0,0.0
"2012-13","April","MOP","Assam",5400.0,3584.6
"2012-13","April","NPK","Assam",675.0,1977.9
"2012-13","April","TSP","Assam",0.0,0.0
"2012-13","April","UREA","Assam",13050.0,0.0
"2012-13","April","DAP","Bihar",15000.0,18549.5
"2012-13","April","MAP","Bihar",0.0,4331.25
"2012-13","April","MOP","Bihar",5000.0,2550.8
"2012-13","April","NPK","Bihar",15000.0,46111.1
"2012-13","April","TSP","Bihar",0.0,7551.55
"2012-13","April","UREA","Bihar",75000.0,5375.75
"2012-13","April","DAP","Chandigarh",0.0,0.0
"2012-13","April","MAP","Chandigarh",0.0,0.0
"2012-13","April","MOP","Chandigarh",0.0,0.0
"2012-13","April","NPK","Chandigarh",0.0,0.0
"2012-13","April","TSP","Chandigarh",0.0,0.0
"2012-13","April","UREA","Chandigarh",0.0,0.0
"2012-13","April","DAP","Chattishgarh",12000.0,7676.1
"2012-13","April","MAP","Chattishgarh",0.0,0.0
"2012-13","April","MOP","Chattishgarh",5000.0,1929.65
"2012-13","April","NPK","Chattishgarh",6000.0,24659.3
"2012-13","April","TSP","Chattishgarh",0.0,4455.7
"2012-13","April","UREA","Chattishgarh",30000.0,75.9
"2012-13","April","DAP","Dadra & Nagar Haveli",150.0,5900.0
"2012-13","April","MAP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","April","MOP","Dadra & Nagar Haveli",40.0,0.0
"2012-13","April","NPK","Dadra & Nagar Haveli",0.0,0.0
"2012-13","April","TSP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","April","UREA","Dadra & Nagar Haveli",150.0,16.95
"2012-13","April","DAP","Daman & Diu",10.0,0.0
"2012-13","April","MAP","Daman & Diu",0.0,0.0
"2012-13","April","MOP","Daman & Diu",0.0,0.0
"2012-13","April","NPK","Daman & Diu",0.0,0.0
"2012-13","April","TSP","Daman & Diu",0.0,0.0
"2012-13","April","UREA","Daman & Diu",40.0,0.0
"2012-13","April","DAP","Delhi",0.0,0.0
"2012-13","April","MAP","Delhi",0.0,0.0
"2012-13","April","MOP","Delhi",0.0,0.0
"2012-13","April","NPK","Delhi",0.0,0.0
"2012-13","April","TSP","Delhi",0.0,0.0
"2012-13","April","UREA","Delhi",0.0,0.0
"2012-13","April","DAP","Goa",100.0,0.0
"2012-13","April","MAP","Goa",0.0,0.0
"2012-13","April","MOP","Goa",50.0,0.0
"2012-13","April","NPK","Goa",350.0,62.25
"2012-13","April","TSP","Goa",0.0,0.0
"2012-13","April","UREA","Goa",250.0,123.5
"2012-13","April","DAP","Gujarat",65000.0,10197.25
"2012-13","April","MAP","Gujarat",0.0,0.0
"2012-13","April","MOP","Gujarat",12000.0,2611.3
"2012-13","April","NPK","Gujarat",41000.0,23773.61
"2012-13","April","TSP","Gujarat",0.0,6297.55
"2012-13","April","UREA","Gujarat",125000.0,8167.62
"2012-13","April","DAP","Harayana",10000.0,8091.6
"2012-13","April","MAP","Harayana",0.0,3411.55
"2012-13","April","MOP","Harayana",10000.0,1713.1
"2012-13","April","NPK","Harayana",10000.0,7519.95
"2012-13","April","TSP","Harayana",0.0,0.0
"2012-13","April","UREA","Harayana",50000.0,30904.1
"2012-13","April","DAP","Himachal Pradesh",0.0,0.0
"2012-13","April","MAP","Himachal Pradesh",0.0,0.0
"2012-13","April","MOP","Himachal Pradesh",50.0,0.0
"2012-13","April","NPK","Himachal Pradesh",250.0,119.65
"2012-13","April","TSP","Himachal Pradesh",0.0,0.0
"2012-13","April","UREA","Himachal Pradesh",2500.0,0.0
"2012-13","April","DAP","Jammu & Kashmir",5000.0,2313.215
"2012-13","April","MAP","Jammu & Kashmir",0.0,0.0
"2012-13","April","MOP","Jammu & Kashmir",2000.0,26.5
"2012-13","April","NPK","Jammu & Kashmir",0.0,0.0
"2012-13","April","TSP","Jammu & Kashmir",0.0,0.0
"2012-13","April","UREA","Jammu & Kashmir",15000.0,229.4
"2012-13","April","DAP","Jharkhand",5000.0,1356.75
"2012-13","April","MAP","Jharkhand",0.0,2007.85
"2012-13","April","MOP","Jharkhand",2500.0,0.0
"2012-13","April","NPK","Jharkhand",2600.0,4861.95
"2012-13","April","TSP","Jharkhand",0.0,0.0
"2012-13","April","UREA","Jharkhand",11000.0,3307.55
"2012-13","April","DAP","Karnataka",100000.0,18113.377
"2012-13","April","MAP","Karnataka",0.0,3944.85
"2012-13","April","MOP","Karnataka",25000.0,17941.2
"2012-13","April","NPK","Karnataka",61300.0,92571.837
"2012-13","April","TSP","Karnataka",0.0,9768.0
"2012-13","April","UREA","Karnataka",50000.0,8551.11
"2012-13","April","DAP","Kerala",3000.0,7.6
"2012-13","April","MAP","Kerala",0.0,0.0
"2012-13","April","MOP","Kerala",9000.0,8385.957
"2012-13","April","NPK","Kerala",14000.0,20805.011
"2012-13","April","TSP","Kerala",0.0,3651.25
"2012-13","April","UREA","Kerala",11000.0,975.584
"2012-13","April","DAP","Lakshadeeep",0.0,0.0
"2012-13","April","MAP","Lakshadeeep",0.0,0.0
"2012-13","April","MOP","Lakshadeeep",0.0,0.0
"2012-13","April","NPK","Lakshadeeep",0.0,0.0
"2012-13","April","TSP","Lakshadeeep",0.0,0.0
"2012-13","April","UREA","Lakshadeeep",0.0,0.0
"2012-13","April","DAP","Madhya Pradesh",19825.0,28150.5
"2012-13","April","MAP","Madhya Pradesh",0.0,6418.15
"2012-13","April","MOP","Madhya Pradesh",6660.0,18641.2
"2012-13","April","NPK","Madhya Pradesh",6593.0,65340.6
"2012-13","April","TSP","Madhya Pradesh",0.0,8380.0
"2012-13","April","UREA","Madhya Pradesh",22031.0,30128.55
"2012-13","April","DAP","Maharastra",165000.0,23483.44
"2012-13","April","MAP","Maharastra",0.0,4051.8
"2012-13","April","MOP","Maharastra",40000.0,26230.2
"2012-13","April","NPK","Maharastra",118000.0,110762.68
"2012-13","April","TSP","Maharastra",0.0,16.2
"2012-13","April","UREA","Maharastra",260000.0,24238.575
"2012-13","April","DAP","Manipur",300.0,0.0
"2012-13","April","MAP","Manipur",0.0,0.0
"2012-13","April","MOP","Manipur",200.0,0.0
"2012-13","April","NPK","Manipur",0.0,0.0
"2012-13","April","TSP","Manipur",0.0,0.0
"2012-13","April","UREA","Manipur",3600.0,0.0
"2012-13","April","DAP","Megalaya",200.0,300.0
"2012-13","April","MAP","Megalaya",0.0,0.0
"2012-13","April","MOP","Megalaya",30.0,0.0
"2012-13","April","NPK","Megalaya",0.0,0.0
"2012-13","April","TSP","Megalaya",0.0,0.0
"2012-13","April","UREA","Megalaya",250.0,0.0
"2012-13","April","DAP","Mizoram",850.0,0.0
"2012-13","April","MAP","Mizoram",0.0,0.0
"2012-13","April","MOP","Mizoram",700.0,0.0
"2012-13","April","NPK","Mizoram",50.0,0.0
"2012-13","April","TSP","Mizoram",0.0,0.0
"2012-13","April","UREA","Mizoram",1700.0,0.0
"2012-13","April","DAP","Nagaland",120.0,0.0
"2012-13","April","MAP","Nagaland",0.0,0.0
"2012-13","April","MOP","Nagaland",48.0,0.0
"2012-13","April","NPK","Nagaland",30.0,0.0
"2012-13","April","TSP","Nagaland",0.0,0.0
"2012-13","April","UREA","Nagaland",182.0,0.0
"2012-13","April","DAP","Odisha",6520.0,16697.35
"2012-13","April","MAP","Odisha",0.0,0.0
"2012-13","April","MOP","Odisha",3440.0,7377.05
"2012-13","April","NPK","Odisha",11410.0,34261.7
"2012-13","April","TSP","Odisha",0.0,0.0
"2012-13","April","UREA","Odisha",19190.0,17750.297
"2012-13","April","DAP","Pondicherry",700.0,0.0
"2012-13","April","MAP","Pondicherry",0.0,0.0
"2012-13","April","MOP","Pondicherry",800.0,0.0
"2012-13","April","NPK","Pondicherry",1610.0,994.6
"2012-13","April","TSP","Pondicherry",0.0,0.0
"2012-13","April","UREA","Pondicherry",2000.0,0.0
"2012-13","April","DAP","Punjab",30000.0,32084.6
"2012-13","April","MAP","Punjab",0.0,6575.3
"2012-13","April","MOP","Punjab",8000.0,3715.75
"2012-13","April","NPK","Punjab",10000.0,11224.0
"2012-13","April","TSP","Punjab",0.0,3355.3
"2012-13","April","UREA","Punjab",125000.0,24311.95
"2012-13","April","DAP","Rajasthan",10000.0,4985.53
"2012-13","April","MAP","Rajasthan",0.0,0.0
"2012-13","April","MOP","Rajasthan",5000.0,1708.15
"2012-13","April","NPK","Rajasthan",5700.0,13655.8
"2012-13","April","TSP","Rajasthan",0.0,3526.25
"2012-13","April","UREA","Rajasthan",45000.0,67814.005
"2012-13","April","DAP","Sikkim",0.0,0.0
"2012-13","April","MAP","Sikkim",0.0,0.0
"2012-13","April","MOP","Sikkim",0.0,0.0
"2012-13","April","NPK","Sikkim",0.0,0.0
"2012-13","April","TSP","Sikkim",0.0,0.0
"2012-13","April","UREA","Sikkim",0.0,0.0
"2012-13","April","DAP","Tamil Nadu",22000.0,11663.2
"2012-13","April","MAP","Tamil Nadu",0.0,0.0
"2012-13","April","MOP","Tamil Nadu",21000.0,10108.55
"2012-13","April","NPK","Tamil Nadu",32400.0,117979.1
"2012-13","April","TSP","Tamil Nadu",0.0,1750.55
"2012-13","April","UREA","Tamil Nadu",55000.0,2796.6
"2012-13","April","DAP","Tripura",280.0,0.0
"2012-13","April","MAP","Tripura",0.0,0.0
"2012-13","April","MOP","Tripura",2500.0,0.0
"2012-13","April","NPK","Tripura",0.0,0.0
"2012-13","April","TSP","Tripura",0.0,0.0
"2012-13","April","UREA","Tripura",330.0,0.0
"2012-13","April","DAP","Uttar Pradesh",60000.0,33609.45
"2012-13","April","MAP","Uttar Pradesh",0.0,2522.8
"2012-13","April","MOP","Uttar Pradesh",10000.0,1905.3
"2012-13","April","NPK","Uttar Pradesh",50000.0,156931.45
"2012-13","April","TSP","Uttar Pradesh",0.0,15173.5
"2012-13","April","UREA","Uttar Pradesh",250000.0,107480.85
"2012-13","April","DAP","Uttaranchal",5000.0,1747.85
"2012-13","April","MAP","Uttaranchal",0.0,0.0
"2012-13","April","MOP","Uttaranchal",2000.0,0.0
"2012-13","April","NPK","Uttaranchal",7500.0,2534.65
"2012-13","April","TSP","Uttaranchal",0.0,0.0
"2012-13","April","UREA","Uttaranchal",10000.0,1470.95
"2012-13","April","DAP","West Bengal",22300.0,18660.39
"2012-13","April","MAP","West Bengal",0.0,0.0
"2012-13","April","MOP","West Bengal",13550.0,2652.85
"2012-13","April","NPK","West Bengal",42200.0,82327.232
"2012-13","April","TSP","West Bengal",0.0,7377.55
"2012-13","April","UREA","West Bengal",37400.0,1881.38
"2012-13","May","DAP","Andaman & Nicobar",80.0,0.0
"2012-13","May","MAP","Andaman & Nicobar",0.0,0.0
"2012-13","May","MOP","Andaman & Nicobar",50.0,0.0
"2012-13","May","NPK","Andaman & Nicobar",85.0,0.0
"2012-13","May","TSP","Andaman & Nicobar",0.0,0.0
"2012-13","May","UREA","Andaman & Nicobar",25.0,0.0
"2012-13","May","DAP","Andhra Pradesh",125.0,52919.05
"2012-13","May","MAP","Andhra Pradesh",0.0,1586.85
"2012-13","May","MOP","Andhra Pradesh",25.0,42110.45
"2012-13","May","NPK","Andhra Pradesh",200.0,241.983
"2012-13","May","TSP","Andhra Pradesh",0.0,1.9
"2012-13","May","UREA","Andhra Pradesh",125.0,86503.8
"2012-13","May","DAP","Arunachal Pradesh",7.0,0.0
"2012-13","May","MAP","Arunachal Pradesh",0.0,0.0
"2012-13","May","MOP","Arunachal Pradesh",10.0,0.0
"2012-13","May","NPK","Arunachal Pradesh",0.0,0.0
"2012-13","May","TSP","Arunachal Pradesh",0.0,0.0
"2012-13","May","UREA","Arunachal Pradesh",110.0,0.0
"2012-13","May","DAP","Assam",3250.0,10185.45
"2012-13","May","MAP","Assam",0.0,0.0
"2012-13","May","MOP","Assam",7800.0,3254.4
"2012-13","May","NPK","Assam",975.0,1935.35
"2012-13","May","TSP","Assam",0.0,0.0
"2012-13","May","UREA","Assam",18850.0,0.0
"2012-13","May","DAP","Bihar",40000.0,29314.2
"2012-13","May","MAP","Bihar",0.0,4320.8
"2012-13","May","MOP","Bihar",5000.0,2130.55
"2012-13","May","NPK","Bihar",20000.0,45532.25
"2012-13","May","TSP","Bihar",0.0,7550.15
