-----
{
 "description": "It provides details of major head/demand wise plan as well as non-plan capital expenditure.", 
 "file_name": "annex1c.xls", 
 "title": "Download XLS for Budget Provisions by Heads of Accounts - Capital(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/annex1c.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"ANNEX-1","","","","","","","","","","","","",""
"BUDGET PROVISIONS BY HEADS OF ACCOUNTS","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","",""
"","","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
"Major Head","","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total"
"","","","","","","","","","","","","",""
"","TOTAL (CAPITAL,PUBLIC DEBT AND LOANS)",78638.71,79940.94,158579.65,100511.6,104304.44,204816.04,85814.33,81938.77,167753.1,112061.57,117067.02,229128.59
"","CAPITAL EXPENDITURE",58533.1,79309.52,137842.62,81355.62,103381.01,184736.63,68892.33,77523.57,146415.9,92329.93,116729.76,209059.69
"","A. CAPITAL ACCOUNT OF GENERAL SERVICES",3900.48,72130.41,76030.89,6299.59,85660.11,91959.7,4657.99,74020.67,78678.66,6664.39,92207.92,98872.31
4047.0,"Capital Outlay on Other Fiscal Services","...",1621.9,1621.9,"...",1887.2,1887.2,"...",1682.87,1682.87,"...",1875.0,1875.0
"","Demand 20","...",1575.38,1575.38,"...",1800.0,1800.0,"...",1650.0,1650.0,"...",1775.0,1775.0
"","Demand 42","...","...","...","...","...","...","...",2.45,2.45,"...","...","..."
"","Demand 44","...",46.52,46.52,"...",87.2,87.2,"...",30.42,30.42,"...",100.0,100.0
4055.0,"Capital Outlay on Police",3763.98,1709.45,5473.43,6074.55,2632.37,8706.92,4474.98,1703.67,6178.65,6145.26,2196.16,8341.42
"","Demand 54","...",71.21,71.21,"...",139.08,139.08,"...",156.48,156.48,"...","...","..."
"","Demand 55",3737.68,1638.21,5375.89,6016.14,2490.29,8506.43,4421.12,1544.86,5965.98,6084.72,2193.16,8277.88
"","Demand 73",26.3,0.03,26.33,58.41,3.0,61.41,53.86,2.33,56.19,60.54,3.0,63.54
4058.0,"Capital Outlay on Stationery and Printing","...",0.02,0.02,"...",0.1,0.1,"...",0.09,0.09,"...",1.1,1.1
"","Demand 103","...",0.02,0.02,"...",0.1,0.1,"...",0.09,0.09,"...",1.1,1.1
4059.0,"Capital Outlay on Public Works",127.97,895.59,1023.56,220.69,1527.61,1748.3,179.66,1041.87,1221.53,514.96,1365.36,1880.32
"","Demand 12",1.24,"...",1.24,29.0,"...",29.0,27.5,"...",27.5,303.0,"...",303.0
"","Demand 20","...",26.8,26.8,"...",50.0,50.0,"...",45.0,45.0,"...",40.0,40.0
"","Demand 32","...",267.69,267.69,"...",275.0,275.0,"...",200.0,200.0,"...",225.0,225.0
"","Demand 34","...","...","...","...",0.01,0.01,"...","...","...","...","...","..."
"","Demand 41","...",0.62,0.62,"...",5.0,5.0,"...",3.0,3.0,"...",5.0,5.0
"","Demand 42","...",3.05,3.05,"...",10.0,10.0,"...",6.16,6.16,"...",100.0,100.0
"","Demand 43","...",256.52,256.52,"...",777.48,777.48,"...",426.2,426.2,"...",546.98,546.98
"","Demand 44","...","...","...","...",28.0,28.0,"...",4.31,4.31,"...",47.91,47.91
"","Demand 53",2.0,19.77,21.77,2.0,36.0,38.0,6.29,38.39,44.68,0.5,50.0,50.5
"","Demand 63","...","...","...","...","...","...","...",5.0,5.0,"...",1.0,1.0
"","Demand 66",1.46,"...",1.46,8.0,"...",8.0,7.41,"...",7.41,8.0,"...",8.0
"","Demand 70","...",13.53,13.53,"...",20.0,20.0,"...",10.0,10.0,"...",20.0,20.0
"","Demand 73",25.32,0.49,25.81,51.19,0.07,51.26,9.46,"...",9.46,61.46,0.07,61.53
"","Demand 75",0.24,"...",0.24,1.0,"...",1.0,"...","...","...",1.0,"...",1.0
"","Demand 86","...","...","...",0.5,"...",0.5,"...","...","...",1.0,"...",1.0
"","Demand 102",97.71,307.12,404.83,129.0,326.05,455.05,129.0,303.81,432.81,140.0,329.4,469.4
4070.0,"Capital Outlay on Other Administrative Services",8.53,1.15,9.68,4.35,25.4,29.75,3.35,4.43,7.78,4.17,18.09,22.26
"","Demand 1","...","...","...",3.0,"...",3.0,2.0,"...",2.0,2.0,"...",2.0
"","Demand 39",1.03,"...",1.03,"...","...","...","...","...","...","...","...","..."
"","Demand 53",7.5,1.15,8.65,1.35,5.38,6.73,1.35,3.41,4.76,2.17,8.07,10.24
"","Demand 64","...","...","...","...",20.02,20.02,"...",1.02,1.02,"...",10.02,10.02
4075.0,"Capital Outlay on Miscellaneous General Services","...",-0.08,-0.08,"...",8.8,8.8,"...",9.11,9.11,"...",11.5,11.5
"","Demand 20","...",2.63,2.63,"...",6.0,6.0,"...",5.4,5.4,"...",5.5,5.5
"","Demand 33","...",1.44,1.44,"...",3.0,3.0,"...",3.91,3.91,"...",6.0,6.0
"","Demand 43","...",-4.15,-4.15,"...",-0.2,-0.2,"...",-0.2,-0.2,"...","...","..."
4076.0,"Capital Outlay on Defence Services","...",67902.38,67902.38,"...",79578.63,79578.63,"...",69578.63,69578.63,"...",86740.71,86740.71
"","Demand 27","...",67902.38,67902.38,"...",79578.63,79578.63,"...",69578.63,69578.63,"...",86740.71,86740.71
"","B. CAPITAL ACCOUNT OF SOCIAL SERVICES",3788.84,302.21,4091.05,6546.5,439.72,6986.22,4676.36,374.36,5050.72,5151.39,398.91,5550.3
4202.0,"Capital Outlay on Education, Sports, Art and Culture",11.22,"...",11.22,59.1,"...",59.1,54.1,"...",54.1,51.75,"...",51.75
