-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.4.csv"
}
-----
State,District,Block,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,1,1
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,0,0,0
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,4,4
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAHESRA,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0
ANDHRA PRADESH,ADILABAD,MAMDA,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0
ANDHRA PRADESH,ADILABAD,REBBENA,0,0,5,5
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,2,2
ANDHRA PRADESH,ADILABAD,TALAMADUGU,18,0,93,111
ANDHRA PRADESH,ADILABAD,TAMSI,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,1,0,1,2
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,2,2
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,6,6
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,0,0,4,4
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,0,3,3
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,4,2,6
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,1,0,15,16
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,0,0,3,3
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,0,3,3
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,1,20,21
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,2,0,6,8
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,0,4,4
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,0,11,11
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,0,2,2
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,8,8
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,1,47,48
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,0,1,1
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,0,1,1
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,0,0,2,2
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,1,1
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,2,2
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,0,11,11
ANDHRA PRADESH,CHITTOOR,CHITTOOR,6,0,7,13
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,0,4,4
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,2,2
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,1,1
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,1,1
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,0,3,3
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0
