-----
{
 "description": "The table shows the requirement of financial provisions and actual expenditure on supplementary nutrition. It provides details regarding the number of children who received supplementary nutrition, number of pregnant women and lactating mothers who received supplementary nutrition, total budgetary ...", 
 "file_name": "ICDS_Table10.1.xls", 
 "title": "Download XLS for Requirement of financial provisions and actual expenditure", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table10.1.xls"
}
-----
"States/UTs ","Number of children (6 months - 6 years)  in '000 who received SN in 2008-09*","Number of PW & LM in '000 who received SN in 2008-09*","Total budgetary requirement/provision for SN for both children and PW&LM (in lakhs) as per norm**","Actual Expenditure on SN including States/UTs  share (in lakhs) in 2008-09*","% Shortfall/ Excess"
"Andhra Pradesh",4318.0,1078.0,33349.0,35091.0,-5.2
"Assam",2218.0,493.0,16736.0,9540.0,43.0
"Bihar",3508.0,710.0,25978.0,53027.0,-104.1
"Chhattisgarh",1977.0,519.0,15471.0,18362.0,-18.7
"Gujarat",2401.0,481.0,17764.0,13084.0,26.3
"Haryana",1015.0,285.0,8059.0,11513.0,-42.9
"Himachal Pradesh",425.0,97.0,3221.0,4543.0,-41.0
"Jammu & Kashmir",411.0,99.0,3149.0,4327.0,-37.4
"Jharkhand",2359.0,662.0,18759.0,18897.0,-0.7
"Karnataka",3255.0,804.0,25100.0,24645.0,1.8
"Kerala",1166.0,219.0,8505.0,11848.0,-39.3
"Madhya Pradesh",5363.0,1140.0,40090.0,27156.0,32.3
"Maharashtra",5814.0,1007.0,41847.0,38837.0,7.2
"Orissa",4112.0,782.0,30139.0,20449.0,32.2
"Punjab",1057.0,306.0,8460.0,4560.0,46.1
"Rajasthan",3017.0,810.0,23732.0,23694.0,0.2
"Tamil Nadu",2299.0,523.0,17402.0,13752.0,21.0
"Uttar Pradesh",19442.0,3794.0,143008.0,108780.0,23.9
"Uttaranchal",475.0,107.0,3612.0,1063.0,70.6
"West Bengal",5277.0,785.0,37137.0,30208.0,18.7
"Delhi",570.0,112.0,4188.0,4865.0,-16.2
"Chandigarh",34.0,7.0,255.0,207.0,19.0
"Arunachal Pradesh",192.0,24.0,1323.0,880.0,33.5
"Manipur",316.0,55.0,2273.0,2372.0,-4.4
"Meghalaya",330.0,59.0,2384.0,3152.0,-32.2
"Mizoram",119.0,33.0,943.0,1495.0,-58.5
"Nagaland",295.0,53.0,2141.0,2503.0,-16.9
"Tripura",276.0,66.0,2115.0,1906.0,9.9
"Sikkim",32.0,6.0,232.0,635.0,-173.3
"Dadar & Nagar Haveli",17.0,4.0,124.0,122.0,1.4
"Daman & Diu",7.0,1.0,52.0,12.0,77.1
"Goa",48.0,12.0,373.0,315.0,15.7
"Puducherry",27.0,9.0,221.0,446.0,-102.1
"Lakshadweep",7.0,2.0,55.0,114.0,-105.6
"Andaman & Nicobar Islands",20.0,5.0,152.0,444.0,-191.9
"All India",72197.0,15147.0,538302.0,492844.0,8.4
