-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.17.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.17.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDAMAN & NICOBARS","ANDAMAN",2,384,386,14,999,1013,8,515,522
"ANDAMAN & NICOBARS","NICOBAR",0,2,2,0,9,9,0,4,4
"ANDHRA PRADESH","ADILABAD",192,911,1103,427,1322,1750,404,963,1366
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,3,3,0,8,8,0,6,6
"ANDHRA PRADESH","CUDDAPAH",2,3,5,324,4,328,223,2,224
"ANDHRA PRADESH","EAST GODAVARI",1,0,1,121,0,121,121,0,121
"ANDHRA PRADESH","GUNTUR",39,872,911,1508,5724,7232,1124,5068,6192
"ANDHRA PRADESH","KARIMNAGAR",8,395,403,696,1321,2017,233,1098,1331
"ANDHRA PRADESH","KHAMMAM",109,1841,1950,1426,3794,5220,1255,3431,4686
"ANDHRA PRADESH","KRISHNA",9,8,17,1600,551,2151,1553,488,2041
"ANDHRA PRADESH","KURNOOL",12,454,466,498,1491,1989,236,944,1180
"ANDHRA PRADESH","MAHABOOBNAGAR",2,480,482,7,1216,1223,6,1096,1102
"ANDHRA PRADESH","MEDAK",0,224,224,0,336,336,0,318,318
"ANDHRA PRADESH","NALGONDA",22,2944,2966,1364,10409,11773,757,8041,8798
"ANDHRA PRADESH","NELLORE",22,967,989,719,2305,3024,584,1986,2569
"ANDHRA PRADESH","NIZAMABAD",3,659,662,3,2169,2171,3,1898,1901
"ANDHRA PRADESH","PRAKASAM",44,845,889,3641,19160,22800,3464,10717,14181
"ANDHRA PRADESH","RANGAREDDY",1,165,166,202,433,635,61,296,357
"ANDHRA PRADESH","SRIKAKULAM",2,0,2,79,0,79,79,0,79
"ANDHRA PRADESH","VISAKHAPATNAM",9,0,9,502,0,502,339,0,339
"ANDHRA PRADESH","VIZIANAGARAM",0,5,5,0,9,9,0,9,9
"ANDHRA PRADESH","WARANGAL",65,51,116,496,494,990,398,493,891
"ANDHRA PRADESH","WEST GODAVARI",1,115,116,653,875,1528,0,742,742
"ARUNACHAL PRADESH","DIBANG VALLEY",1,0,1,8,0,8,8,0,8
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",0,0,0,0,0,0,0,0,0
"ASSAM","BARPETA",10,0,10,740,0,740,740,0,740
"ASSAM","BONGAIGAON",0,42,42,0,67,67,0,62,62
"ASSAM","CACHAR",0,60,60,0,1902,1902,0,502,502
"ASSAM","DARRANG",0,0,0,0,0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0,0,0,0,0
"ASSAM","DHUBRI",0,15,15,0,30,30,0,30,30
"ASSAM","DIBRUGARH",0,0,0,0,0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0,0,0,0,0
"ASSAM","GOLAGHAT",0,1,1,0,2,2,0,2,2
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0,0,0
"ASSAM","JORHAT",0,1,1,0,46,46,0,46,46
"ASSAM","KAMRUP",0,8,8,0,5,5,0,5,5
"ASSAM","KARBIANGLONG",0,1,1,0,90,90,0,90,90
"ASSAM","KARIMGANJ",0,1,1,0,100,100,0,100,100
"ASSAM","KOKRAJHAR",0,0,0,0,0,0,0,0,0
"ASSAM","LAKHIMPUR",0,11,11,0,22,22,0,22,22
"ASSAM","MORIGAON",0,10,10,0,172,172,0,172,172
"ASSAM","NAGOAN",0,33,33,0,100,100,0,88,88
"ASSAM","NALBARI",1,0,1,6,0,6,3,0,3
"ASSAM","NC HILLS",0,0,0,0,0,0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0,0,0,0,0,0
"ASSAM","SONITPUR",0,7,7,0,249,249,0,243,243
"ASSAM","TINSUKIA",1,2,3,90,32,122,90,32,122
"BIHAR","AURANGABAD",8,0,8,508,0,508,402,0,402
"BIHAR","BANKA",41,29,70,848,290,1138,790,220,1011
"BIHAR","BEGUSARAI",0,0,0,0,0,0,0,0,0
"BIHAR","BHAGALPUR",0,0,0,0,0,0,0,0,0
"BIHAR","BHOJPUR",6,0,6,52,0,52,26,0,26
"BIHAR","BUXAR",0,0,0,0,0,0,0,0,0
"BIHAR","DARBHANGA",26,2,28,164,256,420,143,180,323
"BIHAR","EAST CHAMPARAN",0,0,0,0,0,0,0,0,0
"BIHAR","GAYA",0,8,8,0,21,21,0,21,21
"BIHAR","GOPAALGANJ",6,0,6,432,0,432,37,0,37
"BIHAR","JAMUI",1,4,5,17,58,75,14,52,66
"BIHAR","JEHANABAD",0,0,0,0,0,0,0,0,0
"BIHAR","KAIMUR (BHABUA)",0,1,1,0,4,4,0,2,2
"BIHAR","KATIHAR",0,0,0,0,0,0,0,0,0
"BIHAR","KHAGARIA",0,0,0,0,0,0,0,0,0
"BIHAR","KISHANGANJ",0,0,0,0,0,0,0,0,0
"BIHAR","LAKHISARAI",0,16,16,0,438,438,0,408,408
"BIHAR","MADHEPURA",0,0,0,0,0,0,0,0,0
"BIHAR","MADHUBANI",0,0,0,0,0,0,0,0,0
"BIHAR","MUNGER",0,0,0,0,0,0,0,0,0
"BIHAR","MUZAFFARPUR",0,0,0,0,0,0,0,0,0
"BIHAR","NALANDA",3,0,3,11,0,11,11,0,11
"BIHAR","NAWADA",0,0,0,0,0,0,0,0,0
"BIHAR","PATNA",0,0,0,0,0,0,0,0,0
"BIHAR","PURNIA",0,0,0,0,0,0,0,0,0
"BIHAR","ROHTAS(SASARAM)",7,0,7,165,0,165,118,0,118
"BIHAR","SAHARSA",0,8,8,0,43,43,0,32,32
"BIHAR","SAMASTIPUR",0,0,0,0,0,0,0,0,0
"BIHAR","SARAN",7,0,7,100,0,100,87,0,87
"BIHAR","SHEKHPURA",0,0,0,0,0,0,0,0,0
"BIHAR","SHEOHAR",0,0,0,0,0,0,0,0,0
"BIHAR","SITAMARHI",1,0,1,10,0,10,5,0,5
"BIHAR","SIWAN",0,0,0,0,0,0,0,0,0
"BIHAR","SUPAUL",0,0,0,0,0,0,0,0,0
"BIHAR","VAISHALI",0,0,0,0,0,0,0,0,0
"BIHAR","WEST CHAMPARAN",0,0,0,0,0,0,0,0,0
"CHHATTISGARH","BASTER",6,353,359,59,1378,1437,17,227,243
"CHHATTISGARH","BILASPUR",0,28,28,0,275,275,0,190,190
"CHHATTISGARH","DANTEWADA",9,21,30,20,89,109,7,26,33
"CHHATTISGARH","DHAMTARI",0,22,22,0,19,19,0,13,13
"CHHATTISGARH","DURG",18,407,425,449,1723,2172,398,1052,1450
"CHHATTISGARH","JANJGIR-CHAMPA",248,68,316,618,37,655,607,32,639
"CHHATTISGARH","JASHPUR",18,54,72,69,43,112,68,40,108
"CHHATTISGARH","KANKER",1,50,51,5,92,97,5,60,65
"CHHATTISGARH","KORBA",13,110,123,18,23,41,18,23,41
"CHHATTISGARH","KORIA",22,71,93,130,412,542,114,296,410
"CHHATTISGARH","KVARDHA",0,51,51,0,112,112,0,92,92
"CHHATTISGARH","MAHASAMUND",55,89,144,678,232,910,516,147,663
"CHHATTISGARH","RAIGARH",98,118,216,529,436,965,333,258,591
"CHHATTISGARH","RAIPUR",47,494,541,498,3825,4322,356,2310,2666
"CHHATTISGARH","RAJNANDGAON",5,9,14,192,30,222,192,29,221
"CHHATTISGARH","SURGUJA",385,265,650,3940,719,4658,3517,573,4089
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,0,0,0,0,0,0,0
"DELHI","NANGLOI",0,0,0,0,0,0,0,0,0
"GOA","NORTH GOA",1,37,38,3,87,90,3,86,89
"GOA","SOUTH GOA",0,12,12,0,27,27,0,25,25
"GUJARAT","AHMEDABAD",0,0,0,0,0,0,0,0,0
"GUJARAT","BANASKANTHA",0,0,0,0,0,0,0,0,0
"GUJARAT","BHARUCH",0,0,0,0,0,0,0,0,0
"GUJARAT","DAHOD",3,0,3,334,0,334,0,0,0
"GUJARAT","DANG",0,0,0,0,0,0,0,0,0
"GUJARAT","KACHCHH",1,0,1,20,0,20,0,0,0
"GUJARAT","KHEDA",0,0,0,0,0,0,0,0,0
"GUJARAT","NAVSARI",0,0,0,0,0,0,0,0,0
"GUJARAT","PATAN",0,0,0,0,0,0,0,0,0
"GUJARAT","RAJKOT",0,3,3,0,10,10,0,10,10
"GUJARAT","SABARKANTHA",0,0,0,0,0,0,0,0,0
"GUJARAT","SURAT",0,0,0,0,0,0,0,0,0
"GUJARAT","SURENDRANAGAR",1,0,1,2,0,2,2,0,2
"GUJARAT","VADODARA",14,3,17,662,38,700,35,35,70
"GUJARAT","VALSAD",0,37,37,0,112,112,0,112,112
"HARYANA","BHIWANI",0,33,33,0,46,46,0,46,46
"HARYANA","FATEHABAD",0,0,0,0,0,0,0,0,0
"HARYANA","PANCHKULA",0,0,0,0,0,0,0,0,0
"HARYANA","SIRSA",0,0,0,0,0,0,0,0,0
"HARYANA","SONEPAT",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",53,13,66,1375,83,1457,1305,73,1378
"HIMACHAL PRADESH","Chamba",3,0,3,229,0,229,173,0,173
"HIMACHAL PRADESH","Hamirpur",37,36,73,970,62,1032,645,61,705
"HIMACHAL PRADESH","Kangra",49,21,70,2047,77,2124,1608,67,1675
"HIMACHAL PRADESH","Kullu",0,0,0,0,0,0,0,0,0
