-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.19.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.19.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,1,140,141,6,483,489,3,241,244
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,0,118,118,0,295,295,0,158,158
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,0,63,63,0,115,115,0,57,57
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,0,73,73,0,208,208,0,136,136
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,1,236,237,2,433,435,1,172,173
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,0,108,108,0,676,676,0,260,260
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,6,6,0,33,33,0,11,11
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,1,1,0,2,2,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,1,1,0,1,1,0,1,1
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,11,11,0,17,17,0,15,15
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,2,2,0,2,2,0,2,2
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,34,34,0,23,23,0,15,15
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,0,14,14,0,72,72,0,72,72
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,0,0,0,0,0,0,0,0,0
