-----
{
 "description": "The table refers to district wise potential utilized through dug-wells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.14.csv", 
 "title": "Download CSV for District wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.14.csv"
}
-----
"State","District","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD",13176,7473,119,40,20808
"ANDHRA PRADESH","ANANTHAPUR",33513,20961,10026,210,64710
"ANDHRA PRADESH","CHITTOOR",63715,56866,162,24,120767
"ANDHRA PRADESH","CUDDAPAH",26568,19659,1603,712,48542
"ANDHRA PRADESH","EAST GODAVARI",2175,800,844,17,3836
"ANDHRA PRADESH","GUNTUR",4649,1011,681,3,6344
"ANDHRA PRADESH","HYDERABAD",64,39,2,0,105
"ANDHRA PRADESH","KARIMNAGAR",119668,92212,3596,1469,216945
"ANDHRA PRADESH","KHAMMAM",19143,11138,1364,34,31679
"ANDHRA PRADESH","KRISHNA",7878,9144,4181,1990,23193
"ANDHRA PRADESH","KURNOOL",33244,18276,1473,144,53137
"ANDHRA PRADESH","MAHABOOB NAGAR",39191,26417,443,679,66730
"ANDHRA PRADESH","MEDAK",28534,14525,4762,348,48169
"ANDHRA PRADESH","NALGONDA",56050,43613,3102,1911,104676
"ANDHRA PRADESH","NELLORE",14920,20904,11722,170,47716
"ANDHRA PRADESH","NIZAMABAD",31474,13372,1299,267,46412
"ANDHRA PRADESH","PRAKASAM",24591,16658,2115,65,43429
"ANDHRA PRADESH","RANGA REDDY",17655,11913,905,311,30784
"ANDHRA PRADESH","SRIKAKULUM",2488,10263,272,8,13031
"ANDHRA PRADESH","VIJAYA NAGARAM",1395,10731,627,111,12864
"ANDHRA PRADESH","VISAKHAPATNAM",11334,7819,3316,113,22582
"ANDHRA PRADESH","WARANGAL",104770,68366,266,134,173536
"ANDHRA PRADESH","WEST GODAVARI",20323,17000,6031,1817,45171
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA
"ASSAM","DHUBRI",14,8,0,1,23
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA
"ASSAM","GOALPARA",1,1,0,0,2
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",2,1,0,0,3
"ASSAM","MARIGAON",2,2,0,0,4
"ASSAM","NAGAON",NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",3,2,0,0,5
"ASSAM","SONITPUR",8,2,0,0,10
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA
"BIHAR","ARARIA",1,1,0,1,3
"BIHAR","AURANGABAD",6355,4100,157,103,10715
"BIHAR","BANKA",2712,2894,211,82,5899
"BIHAR","BEGUSARAI",4,6,1,0,11
"BIHAR","BHABUA",9087,7734,260,128,17209
"BIHAR","BHAGALPUR",2244,2720,180,99,5243
"BIHAR","BHOJPUR",2131,2023,146,64,4364
"BIHAR","BOKARO",1295,1660,260,22,3237
"BIHAR","BUXAR",2189,1623,20,17,3849
"BIHAR","CHAMPARAN EAST",6,10,0,1,17
"BIHAR","CHAMPARAN WEST",1,2,2,1,6
"BIHAR","CHATRA",1822,3623,211,98,5754
"BIHAR","DARBHANGA",21,34,6,0,61
"BIHAR","DEOGHAR",2425,3121,247,241,6034
"BIHAR","DHANBAD",506,671,123,135,1435
"BIHAR","DUMKA",5931,8001,691,618,15241
"BIHAR","GARHWA",3797,7548,291,184,11820
"BIHAR","GAYA",12280,11353,650,236,24519
"BIHAR","GIRIDIH",4147,7159,308,282,11896
"BIHAR","GODDA",2705,2543,370,270,5888
"BIHAR","GOPALGANJ",503,957,173,132,1765
"BIHAR","GUMLA",3898,6584,615,467,11564
"BIHAR","HAZARIBAG",3384,6418,453,790,11045
"BIHAR","JAMUI",1937,2331,404,318,4990
"BIHAR","JEHANABAD",3283,2909,316,261,6769
"BIHAR","KATIHAR",0,5,0,0,5
"BIHAR","KHAGARIA",12,21,0,0,33
"BIHAR","KISHANGANJ",3,4,0,0,7
