-----
{
 "description": "It provides details of central assistance provided to State and Union Territory Governments.", 
 "file_name": "stat16.xls", 
 "title": "Download XLS for Central Assistance for State and Union Territory Plans(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat16.xls"
}
-----
"","","STATEMENT 16","","",""
"","","CENTRAL ASSISTANCE FOR STATE AND UNION TERRITORY PLANS","","",""
"","","","","",""
"","","","","","(In crores of rupees)"
"","","","","",""
"","","2011-2012","2012-2013","2012-2013","2013-2014"
"","","Actuals","Budget ","Revised ","Budget "
"","","","","",""
"A","CENTRAL  ASSISTANCE FOR STATE PLANS",100128.79,124249.0,107147.12,129930.0
1.0,"Normal Central Assistance ",20920.68,25589.0,24089.0,27636.0
2.0,"Special Plan Assistance",5758.84,6005.0,6005.0,6341.0
3.0,"Special Central Assistance (untied)",8370.0,9571.0,9671.0,9571.0
4.0,"Special Central Assistance, of which",4038.76,4577.0,3732.54,4577.0
"","(a) Hill Areas",298.85,300.0,300.0,300.0
"","(b) Tribal Sub-Plan",963.68,1200.0,852.54,1200.0
"","(c) Grants under Proviso to Article 275(1)",1084.83,1317.0,820.0,1317.0
"","(d) Border Area",1003.22,990.0,990.0,990.0
"","(e) North Eastern Council  ",688.18,770.0,770.0,770.0
5.0,"Control of Shifting Cultivation",50.0,"...","...","..."
6.0,"MPs Local Area Development Scheme",2507.68,3955.0,3950.0,3955.0
7.0,"Additional Central Assistance for ","","","",""
"","Externally Aided Projects",13148.61,13500.0,13500.0,13500.0
8.0,"Assistance from Central Pool of ","","","",""
"","Resources for NE & Sikkim",798.99,880.0,775.58,950.0
9.0," Bodoland Territorial Council ",50.0,50.0,35.0,60.0
10.0,"Accelerated Irrigation Benefit Programme (AIBP) ","","","",""
"","and Other Water Resources Programmes",7459.01,14242.0,7342.0,12962.0
11.0,"Roads & Bridges",2198.55,2267.0,2267.0,2267.0
12.0,"National Social Assistance Programme (NSAP) ","","","",""
"","(including Annapurna)",6546.08,8382.0,7882.0,9541.0
13.0,"National E-Governance Action Plan (NEGAP)",41.37,190.0,90.0,315.0
14.0,"Backward Regions Grant Fund (BRGF), of which",11104.3,12040.0,10524.0,11500.0
"","(a) State Component",7187.3,6990.0,6790.0,5000.0
"","(b) District Component ",3917.0,5050.0,3734.0,6500.0
15.0,"Jawaharlal Nehru National Urban ","","","",""
"","Renewal Mission, of which ",7337.78,12522.0,6822.0,14000.0
"","(i) Sub Mission on Urban ","","","",""
"","Infrastructure and Governance",4113.68,5900.0,3300.0,5000.0
"","(ii) Urban Infrastructure Development for ","","","",""
"","Small and Medium Towns (UIDSSMT)",1134.58,2100.0,1600.0,4478.0
"","(iii) Sub Mission on Basic Services to ","","","",""
"","Urban Poor (SM-BSUP)",1321.92,2100.0,1022.0,1500.0
"","(iv) Integrated Housing and ","","","",""
"","Slum Development (IHSDP)",699.66,900.0,800.0,1000.0
"","(v) Rajiv Awas Yojana (RAY)",67.94,1522.0,100.0,2022.0
16.0,"Rashtriya Krishi Vikas Yojana (RKVY)",7794.09,9217.0,8400.0,9954.0
17.0,"Additional Cetnral Assistance (ACA) for ","","","",""
"","desalination Plant at Chennai",126.85,1.0,1.0,"..."
18.0,"Additional Central Assistance for Other Projects",1877.2,1261.0,2061.0,1261.0
19.0,"Additional Central Assistance for LWE Districts","...","...","...",1000.0
20.0,"Other  Additional  Central Assistance","...","...","...",540.0
"B","Union Territory Plans #",3887.11,5749.0,4855.3,6324.0
"","Union Territories with Legislature ",920.48,1720.0,1478.74,1826.9
"","(a) National Capital Territory of Delhi ",648.62,1100.0,900.0,1143.7
"","(b) Puducherry",271.86,620.0,578.74,683.2
"","Union Territories without Legislature",2966.63,4029.0,3376.56,4497.1
"","(a) Andaman & Nicobar Islands ",1290.87,1706.04,1507.67,1867.1
"","(b) Chandigarh",632.77,742.18,624.95,881.0
"","(c) Dadra & Nagar Haveli",333.5,610.0,567.02,674.7
"","(d) Daman & Diu",326.46,570.0,426.75,631.8
"","(e) Lakshadweep",383.03,400.78,250.17,442.5
"GRAND TOTAL (A + B)","",104015.9,129998.0,112002.42,136254.0
"","","","","",""
"# ","Includes Budget provision to all UTs for relevant Special and Other Programmes viz Roads & Bridges, NSAP,  NEGAP, TSP, and JNNURM.","","","",""
