-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to Social status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD",37,63,950,1050
"ANDHRA PRADESH","ANANTHAPUR",9,6,150,165
"ANDHRA PRADESH","CHITTOOR",0,0,461,461
"ANDHRA PRADESH","CUDDAPAH",0,0,56,56
"ANDHRA PRADESH","EAST GODAVARI",2,17,33,52
"ANDHRA PRADESH","GUNTUR",0,0,6,6
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0
"ANDHRA PRADESH","KHAMMAM",23,75,266,364
"ANDHRA PRADESH","KRISHNA",5,3,93,101
"ANDHRA PRADESH","KURNOOL",3,0,53,56
"ANDHRA PRADESH","MAHABOOBNAGAR",245,115,2090,2450
"ANDHRA PRADESH","MEDAK",0,0,0,0
"ANDHRA PRADESH","NALGONDA",157,2,903,1062
"ANDHRA PRADESH","NELLORE",9,0,286,295
"ANDHRA PRADESH","NIZAMABAD",2,1,16,19
"ANDHRA PRADESH","PRAKASAM",9,1,290,300
"ANDHRA PRADESH","RANGAREDDY",33,15,477,525
"ANDHRA PRADESH","SRIKAKULAM",26,1,110,137
"ANDHRA PRADESH","VISAKHAPATNAM",39,0,0,39
"ANDHRA PRADESH","VIZIANAGARAM",2,1,40,43
"ANDHRA PRADESH","WARANGAL",12,31,391,434
"ANDHRA PRADESH","WEST GODAVARI",0,0,23,23
"ARUNACHAL PRADESH","CHANGLANG",7,84,13,104
"ARUNACHAL PRADESH","DIBANG VALLEY",0,39,0,39
"ARUNACHAL PRADESH","EAST KAMENG",0,5,0,5
"ARUNACHAL PRADESH","EAST SIANG",0,758,4,762
"ARUNACHAL PRADESH","LOHIT",0,0,0,0
"ARUNACHAL PRADESH","LOWER SUBANSIRI",3,104,2,109
"ARUNACHAL PRADESH","PAPUMPARE",0,148,0,148
"ARUNACHAL PRADESH","TAWANG",0,22,0,22
"ARUNACHAL PRADESH","TIRAP",0,52,0,52
"ARUNACHAL PRADESH","UPPER SIANG",0,440,0,440
"ARUNACHAL PRADESH","UPPER SUBANSIRI",9,374,3,386
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",2,86,2,90
"ASSAM","BARPETA",30,3,38,71
"ASSAM","BONGAIGAON",6,101,4,111
"ASSAM","CACHAR",3,0,12,15
"ASSAM","DARRANG",42,176,405,623
"ASSAM","DHUBRI",5,37,20,62
"ASSAM","GOALPARA",0,20,5,25
"ASSAM","GOLAGHAT",98,26,85,209
"ASSAM","HAILAKANDI",0,0,0,0
"ASSAM","JORHAT",12,17,9,38
"ASSAM","KAMRUP",0,4,2,6
"ASSAM","KARBIANGLONG",2,103,56,161
"ASSAM","KARIMGANJ",0,0,0,0
"ASSAM","KOKRAJHAR",9,171,42,222
"ASSAM","LAKHIMPUR",0,0,0,0
"ASSAM","MORIGAON",0,0,1,1
"ASSAM","NAGOAN",4,2,9,15
"ASSAM","NALBARI",0,1,0,1
"ASSAM","NC HILLS",9,258,3,270
"ASSAM","SIBSAGAR",0,0,2,2
"ASSAM","SONITPUR",1,5,18,24
"BIHAR","ARARIA",20,0,94,114
"BIHAR","AURANGABAD",104,39,227,370
"BIHAR","BANKA",9,17,207,233
"BIHAR","BEGUSARAI",6,0,122,128
"BIHAR","BHAGALPUR",1,0,89,90
"BIHAR","BHOJPUR",1,2,18,21
"BIHAR","BUXAR",5,0,64,69
"BIHAR","EAST CHAMPARAN",0,0,32,32
"BIHAR","GAYA",22,0,559,581
"BIHAR","GOPAALGANJ",0,0,1,1
"BIHAR","JAMUI",28,18,225,271
"BIHAR","JEHANABAD",9,0,93,102
"BIHAR","KAIMUR (BHABUA)",55,49,1138,1242
"BIHAR","KATIHAR",0,0,1,1
"BIHAR","LAKHISARAI",1,0,0,1
"BIHAR","MADHEPURA",0,0,0,0
"BIHAR","MADHUBANI",16,0,425,441
"BIHAR","MUNGER",0,0,1,1
"BIHAR","MUZAFFARPUR",0,0,23,23
"BIHAR","NALANDA",2,1,24,27
"BIHAR","NAWADA",7,16,105,128
"BIHAR","PATNA",1,0,70,71
"BIHAR","ROHTAS(SASARAM)",1,0,13,14
"BIHAR","SARAN",2,0,47,49
"BIHAR","SHEKHPURA",1,0,22,23
"BIHAR","SITAMARHI",0,0,14,14
"BIHAR","SIWAN",1,0,47,48
"BIHAR","SUPAUL",0,0,87,87
"BIHAR","VAISHALI",0,0,0,0
"BIHAR","WEST CHAMPARAN",25,1,156,182
"CHHATTISGARH","BASTER",98,1055,476,1629
"CHHATTISGARH","BILASPUR",9,108,112,229
"CHHATTISGARH","DANTEWADA",0,87,15,102
"CHHATTISGARH","DHAMTARI",0,18,3,21
"CHHATTISGARH","DURG",0,5,44,49
"CHHATTISGARH","JANJGIR-CHAMPA",159,51,400,610
"CHHATTISGARH","JASHPUR",6,104,66,176
"CHHATTISGARH","KANKER",2,17,6,25
"CHHATTISGARH","KORBA",93,1941,370,2404
"CHHATTISGARH","KORIA",6,56,51,113
"CHHATTISGARH","KVARDHA",473,116,1887,2476
"CHHATTISGARH","MAHASAMUND",13,29,165,207
"CHHATTISGARH","RAIGARH",122,1422,416,1960
"CHHATTISGARH","RAIPUR",361,224,1113,1698
"CHHATTISGARH","RAJNANDGAON",48,239,259,546
"CHHATTISGARH","SURGUJA",64,41,29,134
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",4,26,4,34
"DELHI","ALIPUR",0,0,55,55
"GOA","NORTH GOA",19,1,2645,2665
"GOA","SOUTH GOA",5,0,965,970
"GUJARAT","AHMEDABAD",28,1,1094,1123
"GUJARAT","AMRELI",0,0,0,0
"GUJARAT","BANASKANTHA",2,15,11,28
"GUJARAT","BHARUCH",0,0,47,47
"GUJARAT","BHAVNAGAR",0,0,0,0
"GUJARAT","DAHOD",1,0,3,4
"GUJARAT","DANG",0,0,0,0
"GUJARAT","GANDHINAGAR",0,0,0,0
"GUJARAT","JAMNAGAR",0,0,0,0
"GUJARAT","JUNAGADH",0,0,0,0
"GUJARAT","KACHCHH",0,0,25,25
"GUJARAT","KHEDA",0,0,0,0
"GUJARAT","MEHSANA",0,0,0,0
"GUJARAT","NARMADA",0,0,0,0
"GUJARAT","NAVSARI",0,0,0,0
"GUJARAT","PANCHMAHAL",0,0,0,0
"GUJARAT","PATAN",0,0,0,0
"GUJARAT","PORBANDAR",0,0,116,116
