-----
{
 "description": "This data indicates details of Ph.D. degrees awarded (including title of the thesis, name of the Ph.D. student and research guide) by National Centre For Cell Science (NCCS), Pune during year 2008 onwards.", 
 "file_name": "NCCS_PhD_Degrees_Awarded_During_2008_Onwards.xls", 
 "title": "Download XLS for Ph.D. Degrees Awarded By National Centre For Cell Science During Year 2008 Onwards ", 
 "url": "http://data.gov.in/sites/default/files/NCCS_PhD_Degrees_Awarded_During_2008_Onwards.xls"
}
-----
"Sl. No.","Title of the Thesis","Year  ","Name of the Ph.D. Student","Research Guide       "
1.0,"Characterization of Congenital Cataract and Microphthalmia -A New Spontaneous mutant mouse model for hereditary eye diseases",2008.0,"K. N. Kohale","Dr. Pradeep B. Parab"
2.0,"Identification and characterization  of  anti-HIV activity from marine bivalves. ",2008.0,"D. S. Ravi ","Dr. Debashish Mitra "
3.0,"Molecular cloning , expression, characterization and structure-function analysis of Herpes virus saimiri complement control protein homolog.",2008.0,"Akhilesh Kumar Singh ","Dr. Arvind  Sahu"
4.0,"P53 Mediated Regulation of SMAR1 and their Co-ordinated Roles in Tumorigenesis through modulation of NFkB and TGFB Target Gene Expression. ",2008.0,"Kamini Singh ","Dr. Samit Chattopadhyay"
5.0,"Studies on Immune Response to Human Immunodeficiency Virus -1 Proteins using DNA Immunization. ",2008.0,"Shalini Gupta","Dr. Debashish Mitra"
6.0,"A Study on the role of Osteopontin in regulation of vascular endothelial growth factor (VEGF) expression in Angiogenesis and Tumor Growth.",2008.0,"Goutam Chakraborty","Dr. Gopal C. Kundu"
7.0,"Studies on Molecular and Biochemical Aspects of  Mitochondrial Encephalomyopathies ",2008.0,"Aijaz Ahmad Wani","Dr.Yogesh S. Shouche"
8.0,"Molecular Characterization of Bacteria from Human Gastric Biopsies",2008.0,"Mahesh S. Dharne","Dr.Yogesh S. Shouche"
9.0,"Action of Chemotherapeutic Drugs Molecular Mechanism and role of signaling molecules at cellular level.",2008.0,"Ankur Kumar ","Dr. Manoj K. Bhat"
10.0,"Cloning and Characterization of hexokinase gene from Leishmania major. ",2008.0,"Umasankar P.D.","Dr. Milind S. Patole "
