-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.4.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.4.csv"
}
-----
"State","District","Block","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",0,0,0,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",2,0,2,4
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",0,1,0,1
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",21,0,0,21
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,0,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",0,0,0,0
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA
