-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.14.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.14.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"ANDHRA PRADESH","ADILABAD",57,0,0,0,0,0,57
"ANDHRA PRADESH","ANANTHAPUR",194,0,0,366,0,366,560
"ANDHRA PRADESH","CHITTOOR",9359,1761,64,17024,62,18911,28270
"ANDHRA PRADESH","CUDDAPAH",8950,1010,51,9483,213,10757,19707
"ANDHRA PRADESH","EAST GODAVARI",3376,403,36,181,3,623,3999
"ANDHRA PRADESH","GUNTUR",2344,1,0,1,0,2,2346
"ANDHRA PRADESH","KARIMNAGAR",22,0,6,121,157,284,306
"ANDHRA PRADESH","KHAMMAM",1088,17,0,0,0,17,1105
"ANDHRA PRADESH","KRISHNA",637,57,29,184,18,288,925
"ANDHRA PRADESH","KURNOOL",1666,74,2,810,1,887,2553
"ANDHRA PRADESH","MEDAK",153,0,0,379,0,379,532
"ANDHRA PRADESH","NALGONDA",42,0,0,20,0,20,62
"ANDHRA PRADESH","NELLORE",219,0,0,49,1,50,269
"ANDHRA PRADESH","NIZAMABAD",9,0,0,1,0,1,10
"ANDHRA PRADESH","PRAKASAM",1567,0,0,101,0,101,1668
"ANDHRA PRADESH","RANGAREDDY",963,24,0,525,0,549,1512
"ANDHRA PRADESH","SRIKAKULAM",32,0,0,23,0,23,55
"ANDHRA PRADESH","VISAKHAPATNAM",2,0,1,0,0,1,3
"ANDHRA PRADESH","WARANGAL",467,25,2,241,7,275,742
"ANDHRA PRADESH","WEST GODAVARI",13491,2362,257,4707,103,7429,20920
"ARUNACHAL PRADESH","PAPUMPARE",0,0,1,0,0,1,1
"ASSAM","BARPETA",4,0,4,0,2,6,10
"ASSAM","BONGAIGAON",4,0,0,0,0,0,4
"ASSAM","CACHAR",0,0,0,0,1,1,1
"ASSAM","DARRANG",3,0,0,0,70,70,73
"ASSAM","DHEMAJI",4,0,0,0,3,3,7
"ASSAM","DHUBRI",8,0,0,0,3,3,11
"ASSAM","DIBRUGARH",0,0,0,0,9,9,9
"ASSAM","GOALPARA",3,2,5,1,2,10,13
"ASSAM","GOLAGHAT",4,0,0,0,4,4,8
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0
"ASSAM","JORHAT",14,19,4,0,28,51,65
"ASSAM","KAMRUP",3,0,0,0,19,19,22
"ASSAM","KARBIANGLONG",0,0,0,0,3,3,3
"ASSAM","KARIMGANJ",0,0,0,0,9,9,9
"ASSAM","KOKRAJHAR",0,0,0,0,2,2,2
"ASSAM","LAKHIMPUR",12,1,1,1,14,17,29
"ASSAM","MORIGAON",0,0,0,0,4,4,4
"ASSAM","NAGOAN",12,0,1,0,5,6,18
"ASSAM","NALBARI",5,1,0,0,0,1,6
"ASSAM","NC HILLS",1,0,0,0,0,0,1
"ASSAM","SIBSAGAR",9,1,2,0,2,5,14
"ASSAM","SONITPUR",1,0,0,0,6,6,7
"ASSAM","TINSUKIA",2,0,0,0,9,9,11
"BIHAR","AURANGABAD",0,7,8,35,0,50,50
"BIHAR","BANKA",0,0,0,1,0,1,1
"BIHAR","BEGUSARAI",18,10,30,0,6,46,64
"BIHAR","BHAGALPUR",23,7,2,19,1,29,52
"BIHAR","BHOJPUR",13,5,1,0,0,6,19
"BIHAR","BUXAR",0,3,13,0,7,23,23
"BIHAR","DARBHANGA",0,40,18,1,2,61,61
"BIHAR","EAST CHAMPARAN",73,10,9,1,5,25,98
"BIHAR","GAYA",0,1,11,3,3,18,18
"BIHAR","GOPAALGANJ",0,1,5,0,5,11,11
"BIHAR","JAMUI",0,0,0,3,0,3,3
"BIHAR","JEHANABAD",1,1,1,0,0,2,3
"BIHAR","KAIMUR (BHABUA)",11,52,14,8,7,81,92
"BIHAR","KATIHAR",6,18,2,0,1,21,27
"BIHAR","KHAGARIA",9,6,18,0,1,25,34
"BIHAR","KISHANGANJ",4,1,0,0,0,1,5
"BIHAR","LAKHISARAI",2,6,13,0,20,39,41
"BIHAR","MADHEPURA",3,7,1,0,0,8,11
"BIHAR","MADHUBANI",214,100,175,40,12,327,541
"BIHAR","MUNGER",0,0,0,0,1,1,1
"BIHAR","MUZAFFARPUR",7,5,12,5,20,42,49
"BIHAR","NALANDA",58,10,9,2,0,21,79
"BIHAR","NAWADA",0,4,8,8,33,53,53
"BIHAR","PATNA",0,71,16,0,11,98,98
"BIHAR","PURNIA",0,2,0,0,0,2,2
"BIHAR","ROHTAS(SASARAM)",17,13,5,13,0,31,48
"BIHAR","SAHARSA",0,0,2,0,0,2,2
"BIHAR","SAMASTIPUR",8,8,25,1,3,37,45
"BIHAR","SARAN",7,0,8,65,0,73,80
"BIHAR","SHEKHPURA",7,15,54,2,7,78,85
"BIHAR","SHEOHAR",4,1,0,0,1,2,6
"BIHAR","SITAMARHI",534,77,145,222,677,1121,1655
"BIHAR","SIWAN",0,1,3,1,5,10,10
"BIHAR","SUPAUL",0,5,9,0,0,14,14
"BIHAR","VAISHALI",11,3,4,0,2,9,20
"BIHAR","WEST CHAMPARAN",4,2,5,0,0,7,11
"CHANDIGARH","UT CHANDIGARH",55,0,0,0,0,0,55
"CHHATTISGARH","BASTER",0,0,0,0,4,4,4
"CHHATTISGARH","BILASPUR",389,12,0,2,979,993,1382
"CHHATTISGARH","DANTEWADA",0,0,0,0,3,3,3
"CHHATTISGARH","DHAMTARI",0,1,0,2,4,7,7
"CHHATTISGARH","DURG",0,54,12,2,115,183,183
"CHHATTISGARH","JANJGIR-CHAMPA",652,2,3,12,2005,2022,2674
"CHHATTISGARH","JASHPUR",0,0,0,0,1,1,1
"CHHATTISGARH","KANKER",0,0,0,0,6,6,6
"CHHATTISGARH","KORIA",1,0,0,0,3,3,4
"CHHATTISGARH","KVARDHA",0,22,1,3,35,61,61
"CHHATTISGARH","MAHASAMUND",0,0,0,1,3,4,4
"CHHATTISGARH","RAIGARH",103,242,1,41,212,496,599
"CHHATTISGARH","RAIPUR",0,20,0,12,96,128,128
"CHHATTISGARH","RAJNANDGAON",0,0,0,3,12,15,15
"CHHATTISGARH","SURGUJA",2,1,0,3,64,68,70
"DELHI","MAHRAULI",433,33,0,2,7,42,475
"DELHI","NAJAFGARH",167,1,0,0,0,1,168
"GOA","NORTH GOA",45,2,0,5,0,7,52
"GOA","SOUTH GOA",2,0,0,1,0,1,3
"GUJARAT","AHMEDABAD",50,4156,157,594,297,5204,5254
"GUJARAT","AMRELI",0,0,0,1613,0,1613,1613
"GUJARAT","ANAND",32,1,2,1,2247,2251,2283
"GUJARAT","BANASKANTHA",112,6054,1045,3670,9550,20319,20431
"GUJARAT","BHARUCH",58,81,0,0,64,145,203
"GUJARAT","BHAVNAGAR",0,0,0,0,3,3,3
"GUJARAT","DANG",0,0,0,0,1,1,1
"GUJARAT","GANDHINAGAR",1037,6571,2,0,317,6890,7927
"GUJARAT","JUNAGADH",6,3320,4,3448,394,7166,7172
"GUJARAT","KACHCHH",577,338,1,14,62,415,992
"GUJARAT","KHEDA",49,1,0,1421,84,1506,1555
"GUJARAT","MEHSANA",239,5252,232,1770,1777,9031,9270
"GUJARAT","NARMADA",0,3,0,0,457,460,460
"GUJARAT","NAVSARI",200,0,1,0,1,2,202
"GUJARAT","PANCHMAHAL",0,14,0,0,0,14,14
"GUJARAT","PATAN",38,1363,25,1840,2758,5986,6024
"GUJARAT","PORBANDAR",0,0,0,151,0,151,151
"GUJARAT","RAJKOT",49,176,1269,2355,1454,5254,5303
"GUJARAT","SABARKANTHA",0,17,20,1230,0,1267,1267
"GUJARAT","SURAT",0,0,0,0,19,19,19
"GUJARAT","SURENDRANAGAR",501,1656,4165,2053,1323,9197,9698
"GUJARAT","VADODARA",316,2472,4,122,82,2680,2996
"HARYANA","AMBALA",0,1025,12,0,2619,3656,3656
"HARYANA","BHIWANI",0,154,0,0,118,272,272
"HARYANA","FARIDABAD",0,0,0,0,28,28,28
"HARYANA","FATEHABAD",0,427,10,90,2309,2836,2836
"HARYANA","GURGAON",0,0,0,0,262,262,262
"HARYANA","HISSAR",0,0,0,2,326,328,328
"HARYANA","JHAJJAR",0,0,0,0,328,328,328
"HARYANA","JIND",0,80,30,107,1271,1488,1488
"HARYANA","KAITHAL",0,1,0,0,3300,3301,3301
"HARYANA","KARNAL",0,196,0,0,2153,2349,2349
"HARYANA","KURUKSHETRA",0,18,1,0,3322,3341,3341
"HARYANA","MAHENDRAGARH",0,0,0,2,656,658,658
"HARYANA","PANCHKULA",0,27,2,12,197,238,238
"HARYANA","PANIPAT",0,158,0,0,1267,1425,1425
"HARYANA","REWARI",0,7,0,0,280,287,287
"HARYANA","SIRSA",0,154,36,30,1927,2147,2147
"HARYANA","SONEPAT",0,53,0,7,509,569,569
"HARYANA","YAMUNANAGAR",0,82,14,0,185,281,281
"HIMACHAL PRADESH","Kangra",70,6,2,2,30,40,110
"HIMACHAL PRADESH","Kullu",0,0,0,0,2,2,2
"HIMACHAL PRADESH","Sirmaur",1,0,0,6,4,10,11
"HIMACHAL PRADESH","Solan",11,3,3,1,19,26,37
"HIMACHAL PRADESH","Una",137,0,0,0,52,52,189
"JAMMU & KASHMIR","JAMMU",5,0,0,0,10,10,15
"JAMMU & KASHMIR","KATHUA",3,0,1,0,0,1,4
"JHARKHAND","CHATRA",0,0,0,1,0,1,1
"JHARKHAND","DUMKA",0,0,5,0,0,5,5
"JHARKHAND","GARHWA",0,0,0,3,0,3,3
"JHARKHAND","GIRIDIH",0,0,0,6,0,6,6
"JHARKHAND","HAZARIBAGH",0,0,0,4,0,4,4
"JHARKHAND","SAHEBGANJ",0,4,0,1,0,5,5
"JHARKHAND","SARAIKELA",0,0,1,0,0,1,1
"JHARKHAND","WEST SINGHBHUM",0,0,2,0,0,2,2
"KARNATAKA","Bangalore",1,0,0,0,0,0,1
"KARNATAKA","Bangalore Rural",0,2,0,0,0,2,2
"KARNATAKA","Belgaum",2,0,0,2,0,2,4
"KARNATAKA","Bellary",1,0,0,0,0,0,1
"KARNATAKA","Bijapur",0,1,0,0,1,2,2
"KARNATAKA","Chikmagalur",3,0,0,1,0,1,4
"KARNATAKA","Chitradurga",1,0,0,0,0,0,1
"KARNATAKA","Dakshina Kannada",1,0,0,0,0,0,1
"KARNATAKA","Davanagere",0,1,1,0,0,2,2
"KARNATAKA","Dharwar",0,0,0,0,0,0,0
"KARNATAKA","Kolar",0,2,1,2,1,6,6
"KARNATAKA","Mandya",1,2,0,1,0,3,4
"KARNATAKA","Tumkur",1,0,0,0,0,0,1
"KERALA","ALAPPUZHA",0,2,0,0,0,2,2
"KERALA","ERANAKULAM",11,0,0,0,0,0,11
"KERALA","IDDUKKI",2,0,0,14,18,32,34
"KERALA","KANNUR",26,0,0,0,0,0,26
"KERALA","KASARAGODE",4,4,8,9,2,23,27
"KERALA","KOLLAM",1,0,0,0,2,2,3
"KERALA","KOTTAYAM",5,0,0,1,5,6,11
"KERALA","KOZHIKODE",0,0,0,0,1,1,1
"KERALA","MALAPPURAM",9,3,4,5,3,15,24
"KERALA","PALAKKAD",35,0,0,0,4,4,39
"KERALA","PATHANAMTHITTA",6,0,0,2,5,7,13
"KERALA","THIRUVANANTHAPURAM",0,0,0,1,0,1,1
"KERALA","THRISSUR",20,0,0,0,6,6,26
