-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,100,13,7,3,123
ANDHRA PRADESH,ANANTHAPUR,29,54,48,25,156
ANDHRA PRADESH,CHITTOOR,52,47,114,72,285
ANDHRA PRADESH,CUDDAPAH,6,9,24,35,74
ANDHRA PRADESH,EAST GODAVARI,14,27,95,95,231
ANDHRA PRADESH,GUNTUR,0,6,3,1,10
ANDHRA PRADESH,HYDERABAD,2,0,1,0,3
ANDHRA PRADESH,KARIMNAGAR,10,0,8,0,18
ANDHRA PRADESH,KHAMMAM,22,43,95,29,189
ANDHRA PRADESH,KRISHNA,2,19,51,32,104
ANDHRA PRADESH,KURNOOL,65,130,59,41,295
ANDHRA PRADESH,MAHABOOB NAGAR,669,160,386,88,1303
ANDHRA PRADESH,MEDAK,312,144,235,106,797
ANDHRA PRADESH,NALGONDA,438,422,447,278,1585
ANDHRA PRADESH,NELLORE,14,4,29,91,138
ANDHRA PRADESH,NIZAMABAD,122,18,46,53,239
ANDHRA PRADESH,PRAKASAM,113,75,180,71,439
ANDHRA PRADESH,RANGA REDDY,5,4,23,3,35
ANDHRA PRADESH,SRIKAKULUM,42,14,16,2,74
ANDHRA PRADESH,VIJAYA NAGARAM,8,19,66,13,106
ANDHRA PRADESH,VISAKHAPATNAM,177,56,63,11,307
ANDHRA PRADESH,WARANGAL,740,252,308,180,1480
ANDHRA PRADESH,WEST GODAVARI,8,9,41,0,58
ARUNACHAL PRADESH,CHANGLANG,38,37,25,5,105
ARUNACHAL PRADESH,DIBANG VALLEY,0,4,27,8,39
ARUNACHAL PRADESH,EAST KAMENG,0,0,1,0,1
ARUNACHAL PRADESH,EAST SIANG,175,188,304,97,764
ARUNACHAL PRADESH,LOHIT,0,0,0,1,1
ARUNACHAL PRADESH,LOWER SUBANSIRI,11,8,7,4,30
ARUNACHAL PRADESH,PAPUM PARE,5,49,31,21,106
ARUNACHAL PRADESH,TAWANG,4,2,5,8,19
ARUNACHAL PRADESH,TIRAP,6,11,37,5,59
ARUNACHAL PRADESH,UPPER SIANG,107,58,100,5,270
ARUNACHAL PRADESH,UPPER SUBANSIRI,216,111,115,38,480
ARUNACHAL PRADESH,WEST KAMENG,1,0,0,0,1
ARUNACHAL PRADESH,WEST SIANG,21,39,16,6,82
ASSAM,BARPETA,0,0,0,0,0
ASSAM,BONGAIGAON,0,0,1,0,1
ASSAM,CACHAR,0,0,0,0,0
ASSAM,DARRANG,0,0,28,141,169
ASSAM,DHEMAJI,0,0,0,0,0
ASSAM,DHUBRI,0,1,35,5,41
ASSAM,DIBRUGARH,0,0,0,0,0
ASSAM,GOALPARA,0,0,18,68,86
ASSAM,GOLAGHAT,0,0,0,0,0
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,JORHAT,0,0,0,0,0
ASSAM,KAMRUP,1,3,16,78,98
ASSAM,KARBI ANGLONG,7,75,634,52,768
ASSAM,KARIMGANJ,0,0,0,0,0
ASSAM,KOKRAJHAR,0,0,0,0,0
ASSAM,LAKHIMPUR,0,0,0,0,0
ASSAM,MARIGAON,0,0,5,0,5
ASSAM,NAGAON,0,0,0,0,0
ASSAM,NALBARI,0,0,14,62,76
ASSAM,NORTH CACHAR HILLS,0,61,24,6,91
ASSAM,SIBSAGAR,0,0,0,0,0
ASSAM,SONITPUR,0,0,2,6,8
ASSAM,TINSUKIA,0,0,2,0,2
BIHAR,ARARIA,40,0,0,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,BANKA,48,35,68,49,200
BIHAR,BEGUSARAI,0,0,0,0,0
BIHAR,BHABUA,26,17,28,1,72
BIHAR,BHAGALPUR,2,5,16,35,58
BIHAR,BHOJPUR,6,0,0,2,8
BIHAR,BOKARO,235,504,237,921,1897
BIHAR,BUXAR,0,0,2,0,2
BIHAR,CHAMPARAN EAST,5,13,0,0,18
BIHAR,CHAMPARAN WEST,3,2,8,33,46
BIHAR,CHATRA,981,96,248,140,1465
BIHAR,DARBHANGA,44,31,10,0,85
BIHAR,DEOGHAR,434,361,294,187,1276
BIHAR,DHANBAD,297,139,169,31,636
BIHAR,DUMKA,3673,2810,1263,142,7888
BIHAR,GARHWA,342,284,853,295,1774
BIHAR,GAYA,117,73,350,771,1311
BIHAR,GIRIDIH,59,155,171,275,660
BIHAR,GODDA,151,115,81,136,483
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GUMLA,22,62,21,30,135
BIHAR,HAZARIBAG,6,1,6,18,31
BIHAR,JAMUI,269,73,147,647,1136
BIHAR,JEHANABAD,15,21,31,65,132
BIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,2,2
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,11,4,20,17,52
BIHAR,LAKHISARAI,0,1,0,2,3
BIHAR,LOHARDAGA,46,45,32,8,131
BIHAR,MADHEPURA,0,0,0,0,0
BIHAR,MADHUBANI,0,0,0,0,0
BIHAR,MUNGER,207,49,36,9,301
BIHAR,MUZAFFARPUR,0,0,0,0,0
BIHAR,NALANDA,13,8,7,13,41
BIHAR,NAWADA,834,52,105,279,1270
BIHAR,PAKUR,548,941,574,192,2255
BIHAR,PALAMU,720,439,717,433,2309
BIHAR,PATNA,0,2,0,0,2
BIHAR,PURNIA,33,10,7,0,50
BIHAR,RANCHI,109,142,82,35,368
BIHAR,ROHTAS,96,10,12,12,130
BIHAR,SAHARSA,0,0,0,0,0
BIHAR,SAHEBGANJ,605,943,413,42,2003
BIHAR,SAMASTIPUR,0,1,0,0,1
BIHAR,SARAN,3,2,0,1,6
BIHAR,SHEIKHPURA,0,0,5,87,92
BIHAR,SHEOHAR,0,0,0,4,4
BIHAR,SINGHBHUM EAST,202,445,311,50,1008
BIHAR,SINGHBHUM WEST,710,1431,1070,157,3368
BIHAR,SITAMARHI,1,0,1,2,4
BIHAR,SIWAN,0,2,1,0,3
BIHAR,SUPAUL,0,0,0,0,0
BIHAR,VAISHALI,3,1,0,0,4
GOA,NORTH GOA,1730,235,335,71,2371
GOA,SOUTH GOA,301,105,192,33,631
GUJARAT,,NA,NA,NA,NA,NA
HARYANA,AMBALA,34,126,217,21,398
HARYANA,BHIWANI,40,8,11,1,60
HARYANA,FARIDABAD,0,0,0,0,0
HARYANA,GURGAON,0,0,16,0,16
HARYANA,HISAR,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,3,0,21,0,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,0,0,3,4,7
HARYANA,PANIPAT,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,14,19,16,523,572
HIMACHAL PRADESH,Chamba,6,3,6,482,497
HIMACHAL PRADESH,Hamirpur,6,3,1,90,100
HIMACHAL PRADESH,Kangra,18,5,19,1581,1623
HIMACHAL PRADESH,Kinnaur,4,2,0,223,229
HIMACHAL PRADESH,Kullu,6,10,10,93,119
HIMACHAL PRADESH,Lahul & Spiti,8,4,3,419,434
HIMACHAL PRADESH,Mandi,57,32,16,1551,1656
HIMACHAL PRADESH,Shimla,54,31,65,702,852
HIMACHAL PRADESH,Sirmaur,60,47,67,1047,1221
HIMACHAL PRADESH,Solan,12,20,64,1242,1338
HIMACHAL PRADESH,Una,0,0,0,6,6
JAMMU & KASHMIR,Anantnagh,430,350,219,30,1029
JAMMU & KASHMIR,Baramulla,390,115,105,15,625
JAMMU & KASHMIR,Budgam,220,212,68,4,504
JAMMU & KASHMIR,Doda,711,157,164,196,1228
JAMMU & KASHMIR,Jammu,14,8,3,0,25
JAMMU & KASHMIR,Kargil,300,194,0,0,494
JAMMU & KASHMIR,Kathua,225,166,60,19,470
JAMMU & KASHMIR,Kupwara,270,50,48,10,378
JAMMU & KASHMIR,Leh,570,101,0,0,671
JAMMU & KASHMIR,Poonch,232,21,22,39,314
JAMMU & KASHMIR,Pulwama,250,300,45,50,645
JAMMU & KASHMIR,Rajouri,431,43,142,116,732
JAMMU & KASHMIR,Srinagar,530,220,150,39,939
JAMMU & KASHMIR,Udhampur,475,305,203,107,1090
KARNATAKA,BANGALORE RURAL,374,113,138,67,692
KARNATAKA,BANGALORE URBAN,358,137,138,13,646
KARNATAKA,BELGAUM,557,846,1015,70,2488
KARNATAKA,BELLARY,1058,760,755,110,2683
KARNATAKA,BIDAR,173,198,154,50,575
KARNATAKA,BIJAPUR,428,790,1914,385,3517
KARNATAKA,CHIKKAMAGALORE,42,101,220,266,629
KARNATAKA,CHITRADURGA,2507,1369,1303,138,5317
KARNATAKA,DAKSHINA KANNADA,524,577,777,55,1933
KARNATAKA,DHARWAR,1070,1934,1998,347,5349
KARNATAKA,GULBARGA,586,725,645,405,2361
KARNATAKA,HASSAN,177,78,91,81,427
KARNATAKA,KODAGU,1,6,3,12,22
KARNATAKA,KOLAR,278,87,299,168,832
KARNATAKA,MANDYA,17,9,11,16,53
KARNATAKA,MYSORE,28,37,69,50,184
KARNATAKA,RAICHUR,259,263,438,104,1064
KARNATAKA,SHIMOGA,244,219,416,182,1061
KARNATAKA,TUMKUR,321,48,35,29,433
