-----
{
 "description": "The table shows the Percentage of AWC reported the availability and utilisation of Medicine during last one year. It gives state-wise details regarding various types of medicines received and utilized by AWC beneficaries.", 
 "file_name": "ICDS_Table6.16.xls", 
 "title": "Download XLS for Percentage of AWC reported Availability and Utilisation of Medicine during last one year", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.16.xls"
}
-----
"States/UTs","Iron /Folic acid tabs (big)-Received (no.)","Iron /Folic acid tabs (big)-% Utilized","Iron /Folic acid tabs (small)-Received (no.)","Iron /Folic acid tabs (small)-% Utilized","Almebendazol/Mebedazol-Received (no.)","Almebendazol/Mebedazol-% Utilized","ORS-Received (no. in packet)","ORS-% Utilized","Vitamin A-Received (no. in bottle)","Vitamin A-% Utilized","Paracetamol-Received (no.)","Paracetamol-% Utilized","Paracetamol cyrup-Received (no.in bottle)","Paracetamol cyrup-% Utilized","Metrogyl-Received (no.)","Metrogyl-% Utilized","Vitamin B complex-Received (no.)","Vitamin B complex-% Utilized","Eye ointment tubes-Received (no. in tube)","Eye ointment tubes-% Utilized","Betnovate-Received (no.)","Betnovate-% Utilized","Iodine-Received (no.)","Iodine-% Utilized","Dettol-Received (no. in bottle)","Dettol-% Utilized","Cotton/Bandages-Received (no. in piece)","Cotton/Bandages-% Utilized"
"Andhra Pradesh",539.0,91.2,263.0,80.0,349.0,67.0,15.0,100.0,0.0,"NA",361.0,62.8,3.0,76.2,348.0,35.6,0.0,"NA",8.0,68.2,2.0,60.7,2.0,54.6,2.0,72.2,2.0,52.6
"Assam",200.0,75.0,300.0,56.7,414.0,54.3,12.0,100.0,1.0,100.0,327.0,55.3,4.0,81.8,109.0,55.5,0.0,"NA",5.0,71.0,0.0,"NA",12.0,0.0,0.0,"NA",2.0,79.3
"Bihar",282.0,94.4,429.0,100.0,375.0,18.7,32.0,91.6,2.0,44.5,389.0,81.0,3.0,93.4,0.0,"NA",0.0,"NA",10.0,10.0,1.0,100.0,0.0,"NA",0.0,"NA",2.0,76.8
"Chhattisgarh",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"Gujarat",1175.0,48.7,1067.0,50.0,528.0,22.9,11.0,77.5,1.0,100.0,561.0,33.5,1.0,34.7,100.0,22.3,189.0,50.7,9.0,37.4,3.0,13.9,7.0,39.7,7.0,57.6,5.0,30.6
"Haryana",517.0,97.6,527.0,99.1,203.0,58.5,14.0,97.9,1.0,100.0,214.0,87.4,0.0,"NA",61.0,98.3,50.0,60.0,4.0,96.8,2.0,100.0,3.0,99.2,1.0,100.0,4.0,83.6
"Himachal Pradesh",442.0,49.0,578.0,63.4,185.0,48.5,27.0,86.5,2.0,83.6,427.0,52.1,4.0,76.9,20.0,60.0,30.0,96.0,4.0,78.4,10.0,80.0,5.0,81.1,8.0,62.9,1.0,56.7
"Jammu and Kashmir",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"Jharkhand",981.0,97.5,0.0,"NA",78.0,100.0,10.0,100.0,0.0,"NA",0.0,"NA",6.0,66.7,0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",3.0,100.0,2.0,100.0
"Karnataka",129.0,88.8,59.0,84.6,290.0,43.3,7.0,81.9,5.0,58.0,126.0,57.8,3.0,73.2,28.0,47.6,55.0,83.0,2.0,63.7,1.0,38.1,3.0,58.1,1.0,63.1,8.0,62.4
"Kerala",412.0,100.0,324.0,99.8,216.0,95.0,20.0,90.9,1.0,100.0,829.0,94.6,2.0,97.9,20.0,64.7,20.0,60.0,7.0,93.9,4.0,85.1,1.0,91.8,1.0,100.0,1.0,97.4
"Madhya Pradesh",604.0,85.3,305.0,116.9,278.0,66.1,31.0,92.1,2.0,83.9,264.0,38.4,3.0,73.8,105.0,69.5,31.0,69.4,9.0,60.9,4.0,85.5,4.0,97.2,2.0,32.3,7.0,77.5
"Maharashtra",563.0,74.6,810.0,123.8,314.0,55.2,24.0,84.4,3.0,70.6,439.0,68.6,2.0,82.0,74.0,69.6,55.0,78.2,6.0,68.0,3.0,77.9,4.0,42.3,1.0,63.2,6.0,57.8
"Orissa",302.0,83.6,263.0,91.9,210.0,50.0,35.0,93.5,4.0,81.0,132.0,46.8,3.0,84.7,30.0,61.3,100.0,100.0,9.0,81.9,2.0,85.9,3.0,68.3,3.0,75.8,5.0,89.1
"Punjab",0.0,"NA",0.0,"NA",120.0,100.0,0.0,"NA",0.0,"NA",100.0,100.0,0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",1.0,100.0,12.0,100.0
"Rajasthan",866.0,51.8,1003.0,74.2,381.0,40.0,29.0,80.4,2.0,42.7,385.0,50.9,2.0,55.7,384.0,7.8,23.0,62.9,7.0,56.1,5.0,32.8,5.0,43.8,3.0,50.2,6.0,34.7
"Tamil Nadu",749.0,53.4,64.0,77.3,110.0,60.0,49.0,84.5,2.0,87.5,224.0,60.3,2.0,62.0,27.0,56.0,61.0,53.8,12.0,48.1,8.0,42.7,9.0,41.4,5.0,33.6,11.0,42.1
"Uttar Pradesh",364.0,79.8,246.0,62.6,411.0,19.2,10.0,49.0,2.0,27.8,470.0,23.8,2.0,29.4,118.0,16.0,100.0,100.0,9.0,36.7,5.0,40.6,5.0,35.1,5.0,10.9,6.0,33.3
"Uttrakhand",302.0,53.1,172.0,48.3,250.0,15.3,62.0,59.1,1.0,0.0,462.0,9.3,3.0,38.0,20.0,50.0,200.0,50.0,12.0,28.3,5.0,60.7,12.0,"NA",2.0,25.0,9.0,15.5
"West Bengal",839.0,73.0,386.0,42.6,408.0,37.5,32.0,88.7,5.0,82.8,471.0,37.3,1.0,50.3,120.0,97.8,175.0,77.5,8.0,33.7,3.0,85.5,5.0,43.2,0.0,"NA",6.0,50.0
"Delhi",40.0,55.0,0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"Chandigarh",583.0,100.0,938.0,113.3,500.0,50.0,43.0,100.0,4.0,100.0,400.0,68.8,2.0,100.0,0.0,"NA",0.0,"NA",0.0,"NA",1.0,100.0,1.0,100.0,0.0,"NA",7.0,100.0
"Arunachal Pradesh",0.0,"NA",0.0,"NA",450.0,79.9,0.0,"NA",0.0,"NA",257.0,90.0,1.0,69.1,150.0,100.0,0.0,"NA",5.0,91.2,2.0,89.3,1.0,100.0,1.0,100.0,2.0,79.3
"Manipur",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",1.0,100.0,143.0,22.5,4.0,39.1,0.0,"NA",0.0,"NA",1.0,"NA",0.0,"NA",1.0,69.2,2.0,100.0,5.0,55.9
"Meghalaya",546.0,54.1,454.0,56.5,202.0,81.9,13.0,94.8,5.0,69.4,252.0,69.3,2.0,82.4,0.0,"NA",20.0,52.5,5.0,77.9,1.0,100.0,6.0,64.7,0.0,"NA",7.0,87.4
"Mizoram",0.0,"NA",525.0,480.0,0.0,"NA",10.0,40.0,7.0,81.0,350.0,100.0,0.0,"NA",0.0,"NA",64.0,91.6,0.0,"NA",1.0,100.0,3.0,100.0,6.0,100.0,5.0,90.5
"Nagaland",0.0,"NA",0.0,"NA",347.0,35.1,0.0,"NA",0.0,"NA",118.0,28.9,1.0,89.9,0.0,"NA",0.0,"NA",4.0,60.8,0.0,"NA",2.0,48.2,0.0,"NA",6.0,22.0
"Tripura",1000.0,"NA",50.0,80.0,439.0,60.2,59.0,98.3,0.0,"NA",381.0,15.8,1.0,52.8,58.0,93.2,30.0,66.7,6.0,16.8,1.0,"NA",2.0,32.4,0.0,"NA",8.0,5.2
"Sikkim",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"Dadar & Nagar Haveli",185.0,100.0,188.0,98.7,417.0,39.6,11.0,95.3,2.0,100.0,440.0,90.9,1.0,80.0,0.0,"NA",20.0,100.0,8.0,75.0,1.0,75.0,0.0,"NA",0.0,"NA",8.0,97.6
"Daman & Diu",2400.0,100.0,700.0,100.0,250.0,55.0,37.0,100.0,5.0,85.2,120.0,63.7,4.0,100.0,20.0,50.0,25.0,96.0,10.0,82.7,5.0,100.0,6.0,100.0,2.0,100.0,8.0,81.6
"Goa",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",1.0,100.0,1.0,100.0,3.0,83.3
"Puducherry",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"Andaman & Nicobar  Island",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA"
"All India",581.0,67.0,479.0,96.6,357.0,39.2,29.0,87.0,3.0,66.7,401.0,48.0,2.0,63.3,94.0,45.6,87.0,74.8,8.0,51.2,4.0,52.4,4.0,47.2,2.0,54.7,6.0,48.2
