-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.6.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.6.csv"
}
-----
"State","District","Government funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Others","Total"
"ANDHRA PRADESH","ADILABAD",30,27,23,16,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",1043,4243,70,70,40,5466
"ANDHRA PRADESH","CUDDAPAH",1525,5916,407,75,24,7947
"ANDHRA PRADESH","EAST GODAVARI",336,1019,572,147,14,2088
"ANDHRA PRADESH","GUNTUR",10,595,56,4,1,666
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",1,0,0,31,0,32
"ANDHRA PRADESH","KHAMMAM",89,184,22,0,24,319
"ANDHRA PRADESH","KRISHNA",98,301,368,20,61,848
"ANDHRA PRADESH","KURNOOL",378,955,251,1,9,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",40,67,0,1,1,109
"ANDHRA PRADESH","MEDAK",19,28,13,2,1,63
"ANDHRA PRADESH","NALGONDA",8,0,0,0,0,8
"ANDHRA PRADESH","NELLORE",70,125,8,3,6,212
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",26,134,8,1,9,178
"ANDHRA PRADESH","RANGA REDDY",11,65,10,0,0,86
"ANDHRA PRADESH","SRIKAKULUM",4,6,4,0,1,15
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",2,0,1,3,9,15
"ANDHRA PRADESH","WARANGAL",100,19,2,30,33,184
"ANDHRA PRADESH","WEST GODAVARI",1922,6560,1822,172,78,10554
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",0,0,0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0,0,0
"ASSAM","CACHAR",0,0,0,0,0,0
"ASSAM","DARRANG",0,0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0,0
"ASSAM","DHUBRI",0,0,0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0,0
"ASSAM","KAMRUP",0,0,0,0,0,0
"ASSAM","KARBI ANGLONG",0,0,0,0,0,0
"ASSAM","KARIMGANJ",0,0,0,0,0,0
"ASSAM","KOKRAJHAR",0,0,0,0,1,1
"ASSAM","LAKHIMPUR",0,0,0,0,0,0
"ASSAM","MARIGAON",0,0,0,0,0,0
"ASSAM","NAGAON",0,0,0,0,0,0
"ASSAM","NALBARI",0,0,0,0,0,0
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0,0
"ASSAM","TINSUKIA",0,0,0,0,0,0
"BIHAR","ARARIA",1,0,0,0,0,1
"BIHAR","AURANGABAD",18,16,0,3,0,37
"BIHAR","BANKA",0,0,0,0,0,0
"BIHAR","BEGUSARAI",2,2,0,2,0,6
"BIHAR","BHABUA",0,2,0,1,0,3
"BIHAR","BHAGALPUR",6,1,1,4,1,13
"BIHAR","BHOJPUR",10,0,19,5,0,34
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",11,20,0,4,0,35
"BIHAR","CHAMPARAN EAST",4,4,2,26,5,41
"BIHAR","CHAMPARAN WEST",17,2,1,0,2,22
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",1,4,1,2,5,13
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,0,0,0,1,1
"BIHAR","GARHWA",2,0,6,0,3,11
"BIHAR","GAYA",0,1,2,0,0,3
"BIHAR","GIRIDIH",0,0,0,0,0,0
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",2,1,1,1,2,7
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",0,0,0,0,0,0
"BIHAR","JEHANABAD",0,0,0,0,0,0
"BIHAR","KATIHAR",1,0,0,0,0,1
"BIHAR","KHAGARIA",0,0,0,0,0,0
"BIHAR","KISHANGANJ",1,0,0,0,0,1
"BIHAR","KODARMA",1,13,0,0,0,14
"BIHAR","LAKHISARAI",0,0,0,1,0,1
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",0,0,0,0,0,0
"BIHAR","MADHUBANI",95,13,50,277,442,877
"BIHAR","MUNGER",2,0,0,0,0,2
"BIHAR","MUZAFFARPUR",31,12,3,5,8,59
"BIHAR","NALANDA",33,105,16,5,10,169
"BIHAR","NAWADA",18,59,1,23,0,101
"BIHAR","PAKUR",0,4,0,0,0,4
"BIHAR","PALAMU",NA,NA,NA,NA,NA,NA
"BIHAR","PATNA",15,40,0,0,2,57
"BIHAR","PURNIA",0,0,0,0,0,0
"BIHAR","RANCHI",NA,NA,NA,NA,NA,NA
"BIHAR","ROHTAS",25,1,1,4,0,31
"BIHAR","SAHARSA",5,0,0,0,0,5
