-----
{
 "description": "It provides department wise details of for Schemes for the Welfare of Children.", 
 "file_name": "stat22.xls", 
 "title": "Download XLS for Budget Provisions for Schemes for the Welfare of Children(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat22.xls"
}
-----
"","","","STATEMENT 22","","","","","","","",""
"","","","BUDGET PROVISIONS FOR SCHEMES FOR THE WELFARE OF CHILDREN","","","","","","","",""
"","","","","","","","","","","",""
"Recognizing that children under 18 years of age constitute a significant percentage of the Indian population, the Government is committed to their welfare and development.  This statement reflects provisions for expenditure on schemes that are meant substantially for the welfare of children.  These provisions indicate education outlays, provisions for the girl child, health, provisions for child protection etc. ","","","","","","","","","","",""
"","","","","","","","","","","",""
" ","","","","","","","","","","",""
"","","","","","","","","","","(In crores of Rupees)",""
"","","","","2012-2013 Budget","","","2012-2013 Revised","","","2013-2014 Budget",""
"MINISTRY/DEPARTMENT ","","","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total"
"","","","","","","","","","","",""
"Demand No.4","","","","","","","","","","",""
"Atomic Energy","","","","","","","","","","",""
"","Educational  Institution","",17.5,63.17,80.67,3.0,61.37,64.37,10.0,62.44,72.44
"","","Total:",17.5,63.17,80.67,3.0,61.37,64.37,10.0,62.44,72.44
"Demand No.5","","","","","","","","","","",""
"Nuclear Power","","","","","","","","","","",""
"","Educational Institution","",0.0,1.15,1.15,0.0,1.15,1.15,0.0,1.15,1.15
"","","Total:",0.0,1.15,1.15,0.0,1.15,1.15,0.0,1.15,1.15
"Demand No.12","","","","","","","","","","",""
"Department of Industrial Policy and Promotion","","","","","","","","","","",""
"","Scheme for grant of rewards to the ","","","","","","","","","",""
"","children of Salt Workers","",0.0,0.45,0.45,0.0,0.67,0.67,0.0,0.67,0.67
"","","Total:",0.0,0.45,0.45,0.0,0.67,0.67,0.0,0.67,0.67
"Demand NO.14","","","","","","","","","","",""
"Department of Telecommunications","","","","","","","","","","",""
"","Amenities to Staff","",0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15
"","","Total:",0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15
"Demand No.47","","","","","","","","","","",""
"Department of Health and Family Welfare","","","","","","","","","","",""
"",1.0,"Routine Immunization",800.0,0.0,800.0,591.76,0.0,591.76,0.0,0.0,0.0
"",2.0,"Pulse Polio Immunization",805.0,0.0,805.0,872.6,0.0,872.6,0.0,0.0,0.0
"",3.0,"Reproductive and Child Health Project",758.9,0.0,758.9,542.89,0.0,542.89,0.0,0.0,0.0
"",4.0,"Manufacture of Sera and BCG Vaccine",218.0,13.0,231.0,195.67,8.58,204.25,187.86,10.0,197.86
"",5.0,"Kalawati Saran Children’s Hospital",31.75,30.0,61.75,30.95,30.0,60.95,31.0,35.5,66.5
"",6.0,"Child Care Training Centre, Singur",0.0,17.0,17.0,0.0,15.17,15.17,0.0,16.0,16.0
"",7.0,"NRHM-RCH Flexible Pool",0.0,0.0,0.0,0.0,0.0,0.0,2360.11,0.0,2360.11
"","","Total:",2613.65,60.0,2673.65,2233.87,53.75,2287.62,2578.97,61.5,2640.47
"Demand No.59","","","","","","","","","","",""
"Department of School Education and Literacy","","","","","","","","","","",""
