-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.16.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.16.csv"
}
-----
"State","District","Total No. of Tubewells in use","No. of Tubewells with no constraints","Constraints in utilisation of irrigation potential created - Inadequate power supply","Constraints in utilisation of irrigation potential created - Mechanical break down","Constraints in utilisation of irrigation potential created - Less water discharge","Constraints in utilisation of irrigation potential created - Other reason","Total - Constraints in utilisation","Grand Total"
"ANDHRA PRADESH","ADILABAD",17,64,2,1,0,8,11,75
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",78,1661,1073,50,2569,10,3702,5363
"ANDHRA PRADESH","CUDDAPAH",450,2721,1099,97,3045,337,4578,7299
"ANDHRA PRADESH","EAST GODAVARI",63,1722,9,6,131,351,497,2219
"ANDHRA PRADESH","GUNTUR",90,551,0,0,22,4,26,577
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",25,5,9,11,10,41,71,76
"ANDHRA PRADESH","KHAMMAM",47,324,4,29,123,2,158,482
"ANDHRA PRADESH","KRISHNA",17,637,27,1,165,0,193,830
"ANDHRA PRADESH","KURNOOL",76,576,250,3,537,149,939,1515
"ANDHRA PRADESH","MAHABOOB NAGAR",25,0,0,0,77,6,83,83
"ANDHRA PRADESH","MEDAK",6,27,13,1,14,2,30,57
"ANDHRA PRADESH","NALGONDA",0,6,0,0,0,2,2,8
"ANDHRA PRADESH","NELLORE",54,130,1,0,22,2,25,155
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",3,167,0,0,8,0,8,175
"ANDHRA PRADESH","RANGA REDDY",0,10,20,3,53,0,76,86
"ANDHRA PRADESH","SRIKAKULUM",1,9,0,0,28,0,28,37
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",0,9,3,0,6,0,9,18
"ANDHRA PRADESH","WARANGAL",14,112,0,7,63,8,78,190
"ANDHRA PRADESH","WEST GODAVARI",26,7865,1222,257,1147,103,2729,10594
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",1,0,5,0,3,1,9,9
"ASSAM","BONGAIGAON",16,0,0,0,1,11,12,12
"ASSAM","CACHAR",4,0,0,0,0,1,1,1
"ASSAM","DARRANG",7,0,0,0,0,24,24,24
"ASSAM","DHEMAJI",0,0,0,0,0,15,15,15
"ASSAM","DHUBRI",11,0,3,3,0,3,9,9
"ASSAM","DIBRUGARH",1,0,0,0,0,14,14,14
"ASSAM","GOALPARA",11,0,7,3,0,15,25,25
"ASSAM","GOLAGHAT",11,0,0,0,0,62,62,62
"ASSAM","HAILAKANDI",0,0,0,0,0,8,8,8
"ASSAM","JORHAT",29,0,1,14,0,19,34,34
"ASSAM","KAMRUP",15,0,0,10,2,16,28,28
"ASSAM","KARBI ANGLONG",3,0,0,0,0,5,5,5
"ASSAM","KARIMGANJ",1,0,0,0,0,4,4,4
"ASSAM","KOKRAJHAR",1,0,0,0,0,5,5,5
"ASSAM","LAKHIMPUR",19,0,0,1,2,33,36,36
"ASSAM","MARIGAON",1,0,4,0,0,3,7,7
"ASSAM","NAGAON",18,0,1,0,0,3,4,4
"ASSAM","NALBARI",16,0,40,1,1,10,52,52
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0,2,2,2
"ASSAM","SIBSAGAR",1,0,6,1,1,0,8,8
"ASSAM","SONITPUR",5,0,0,0,0,6,6,6
"ASSAM","TINSUKIA",19,0,0,0,0,17,17,17
"BIHAR","ARARIA",5,0,0,1,0,1,2,2
"BIHAR","AURANGABAD",21,0,2,3,14,17,36,36
"BIHAR","BANKA",0,0,0,2,0,1,3,3
"BIHAR","BEGUSARAI",68,0,50,37,2,60,149,149
"BIHAR","BHABUA",14,0,29,10,1,58,98,98
"BIHAR","BHAGALPUR",19,0,16,7,1,122,146,146
"BIHAR","BHOJPUR",47,0,13,15,0,41,69,69
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",70,0,16,19,2,30,67,67
"BIHAR","CHAMPARAN EAST",33,0,28,52,1,145,226,226
"BIHAR","CHAMPARAN WEST",18,0,3,1,0,25,29,29
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",33,11,58,36,0,19,113,124
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,0,0,0,0,1,1,1
"BIHAR","GARHWA",0,0,0,0,11,0,11,11
