-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD",0,0,21,21
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0
"ANDHRA PRADESH","CHITTOOR",36,9,562,607
"ANDHRA PRADESH","CUDDAPAH",184,12,2675,2871
"ANDHRA PRADESH","EAST GODAVARI",8,0,58,66
"ANDHRA PRADESH","GUNTUR",3,5,16,24
"ANDHRA PRADESH","KARIMNAGAR",1,0,1,2
"ANDHRA PRADESH","KHAMMAM",0,0,0,0
"ANDHRA PRADESH","KRISHNA",2,0,15,17
"ANDHRA PRADESH","KURNOOL",8,14,63,85
"ANDHRA PRADESH","MEDAK",8,0,29,37
"ANDHRA PRADESH","NALGONDA",0,0,0,0
"ANDHRA PRADESH","NELLORE",3,0,5,8
"ANDHRA PRADESH","NIZAMABAD",0,0,0,0
"ANDHRA PRADESH","PRAKASAM",7,25,296,328
"ANDHRA PRADESH","RANGAREDDY",7,4,95,106
"ANDHRA PRADESH","SRIKAKULAM",15,1,28,44
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,2,2
"ANDHRA PRADESH","WARANGAL",28,91,47,166
"ANDHRA PRADESH","WEST GODAVARI",92,0,342,434
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,0
"ASSAM","BARPETA",4,0,5,9
"ASSAM","BONGAIGAON",1,0,11,12
"ASSAM","CACHAR",0,0,0,0
"ASSAM","DARRANG",10,16,105,131
"ASSAM","DHEMAJI",0,0,0,0
"ASSAM","DHUBRI",0,0,11,11
"ASSAM","DIBRUGARH",1,1,3,5
"ASSAM","GOALPARA",0,0,3,3
"ASSAM","GOLAGHAT",0,0,1,1
"ASSAM","HAILAKANDI",0,0,0,0
"ASSAM","JORHAT",0,0,4,4
"ASSAM","KAMRUP",0,0,0,0
"ASSAM","KARBIANGLONG",0,0,0,0
"ASSAM","KARIMGANJ",2,0,6,8
"ASSAM","KOKRAJHAR",0,2,0,2
"ASSAM","LAKHIMPUR",0,0,1,1
"ASSAM","MORIGAON",1,3,2,6
"ASSAM","NAGOAN",0,1,5,6
"ASSAM","NALBARI",0,0,13,13
"ASSAM","NC HILLS",0,1,0,1
"ASSAM","SIBSAGAR",0,1,0,1
"ASSAM","SONITPUR",1,1,6,8
"ASSAM","TINSUKIA",4,106,32,142
"BIHAR","AURANGABAD",0,0,0,0
"BIHAR","BANKA",0,0,0,0
"BIHAR","BEGUSARAI",0,0,0,0
"BIHAR","BHAGALPUR",0,0,0,0
"BIHAR","BHOJPUR",0,0,0,0
"BIHAR","BUXAR",0,0,1,1
"BIHAR","DARBHANGA",0,0,0,0
"BIHAR","EAST CHAMPARAN",0,0,0,0
"BIHAR","GAYA",1,0,2,3
"BIHAR","GOPAALGANJ",0,0,0,0
"BIHAR","JAMUI",0,0,0,0
"BIHAR","JEHANABAD",0,0,3,3
"BIHAR","KAIMUR (BHABUA)",0,0,1,1
"BIHAR","KATIHAR",0,0,0,0
"BIHAR","KHAGARIA",0,0,0,0
"BIHAR","KISHANGANJ",0,0,0,0
"BIHAR","LAKHISARAI",0,0,0,0
"BIHAR","MADHEPURA",0,0,0,0
"BIHAR","MADHUBANI",21,1,32,54
"BIHAR","MUNGER",0,0,0,0
"BIHAR","MUZAFFARPUR",0,0,0,0
"BIHAR","NALANDA",0,0,0,0
"BIHAR","NAWADA",0,0,20,20
"BIHAR","PATNA",0,0,2,2
"BIHAR","PURNIA",0,0,0,0
"BIHAR","ROHTAS(SASARAM)",0,0,15,15
"BIHAR","SAHARSA",0,0,0,0
"BIHAR","SAMASTIPUR",0,0,0,0
"BIHAR","SARAN",0,0,0,0
"BIHAR","SHEKHPURA",0,0,0,0
"BIHAR","SHEOHAR",0,0,0,0
"BIHAR","SITAMARHI",1,0,0,1
"BIHAR","SIWAN",0,0,0,0
"BIHAR","SUPAUL",0,0,0,0
"BIHAR","VAISHALI",0,0,0,0
"BIHAR","WEST CHAMPARAN",0,0,1,1
"CHANDIGARH","UT CHANDIGARH",0,0,1,1
"CHHATTISGARH","BASTER",0,0,0,0
"CHHATTISGARH","BILASPUR",1,0,5,6
"CHHATTISGARH","DANTEWADA",0,3,0,3
"CHHATTISGARH","DHAMTARI",0,0,0,0
"CHHATTISGARH","DURG",0,0,12,12
"CHHATTISGARH","JANJGIR-CHAMPA",0,0,0,0
"CHHATTISGARH","JASHPUR",0,0,0,0
"CHHATTISGARH","KANKER",0,0,6,6
"CHHATTISGARH","KORIA",0,0,0,0
"CHHATTISGARH","KVARDHA",0,0,0,0
"CHHATTISGARH","MAHASAMUND",0,0,0,0
"CHHATTISGARH","RAIGARH",1,1,1,3
"CHHATTISGARH","RAIPUR",0,0,0,0
"CHHATTISGARH","RAJNANDGAON",0,0,0,0
"CHHATTISGARH","SURGUJA",0,0,1,1
"DELHI","MAHRAULI",0,0,0,0
"DELHI","NAJAFGARH",1,4,33,38
"GOA","NORTH GOA",0,0,4,4
"GOA","SOUTH GOA",0,0,0,0
"GUJARAT","AHMEDABAD",2,0,277,279
"GUJARAT","AMRELI",0,0,0,0
"GUJARAT","ANAND",109,117,1780,2006
"GUJARAT","BANASKANTHA",784,1049,16946,18779
"GUJARAT","BHARUCH",0,6,71,77
"GUJARAT","BHAVNAGAR",0,0,0,0
"GUJARAT","DANG",0,0,0,0
"GUJARAT","GANDHINAGAR",1,1,129,131
"GUJARAT","JUNAGADH",0,0,17,17
"GUJARAT","KACHCHH",0,1,45,46
"GUJARAT","KHEDA",0,0,0,0
"GUJARAT","MEHSANA",34,11,1126,1171
"GUJARAT","NARMADA",0,0,0,0
"GUJARAT","NAVSARI",0,0,30,30
"GUJARAT","PANCHMAHAL",0,0,0,0
"GUJARAT","PATAN",161,4,1474,1639
"GUJARAT","PORBANDAR",0,0,80,80
"GUJARAT","RAJKOT",15,0,212,227
"GUJARAT","SABARKANTHA",11,47,72,130
"GUJARAT","SURAT",0,0,0,0
"GUJARAT","SURENDRANAGAR",16,15,491,522
"GUJARAT","VADODARA",0,4,6,10
"HARYANA","AMBALA",24,22,2293,2339
"HARYANA","BHIWANI",4,0,116,120
"HARYANA","FARIDABAD",0,0,25,25
"HARYANA","FATEHABAD",23,4,1296,1323
"HARYANA","GURGAON",0,0,202,202
"HARYANA","HISSAR",0,1,10,11
"HARYANA","JHAJJAR",0,0,278,278
"HARYANA","JIND",3,0,459,462
"HARYANA","KAITHAL",0,0,2330,2330
"HARYANA","KARNAL",0,1,1645,1646
"HARYANA","KURUKSHETRA",73,27,1989,2089
"HARYANA","MAHENDRAGARH",46,1,621,668
"HARYANA","PANCHKULA",2,2,189,193
"HARYANA","PANIPAT",0,0,683,683
"HARYANA","REWARI",0,0,109,109
"HARYANA","SIRSA",17,0,1214,1231
"HARYANA","SONEPAT",0,7,295,302
"HARYANA","YAMUNANAGAR",5,3,170,178
"HIMACHAL PRADESH","Kangra",0,0,2,2
"HIMACHAL PRADESH","Kullu",0,0,2,2
"HIMACHAL PRADESH","Sirmaur",0,0,0,0
"HIMACHAL PRADESH","Solan",0,0,5,5
"HIMACHAL PRADESH","Una",0,0,0,0
"JAMMU & KASHMIR","JAMMU",0,0,0,0
"JAMMU & KASHMIR","KATHUA",0,0,0,0
"JHARKHAND","CHATRA",0,0,0,0
