-----
{
 "description": "It provides details of Heads of Development wise central plan outlay for different sectors like Agriculture and Allied Activities", 
 "file_name": "stat13.xls", 
 "title": "Download XLS for Central Plan Outlay by Heads of Development(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat13.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","","",44.0
"","","","","","","","","","","","","","",""
"STATEMENT 13","","","","","","","","","","","","","",""
"CENTRAL PLAN OUTLAY BY HEADS OF DEVELOPMENT","","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","","",""
"","","","2011-2012","","","2012-2013","","","2012-2013","","","2013-2014","",""
"","","","Actuals","","","Budget","","","Revised","","","Budget","",""
"","","","","","","","","","","","","","",""
"","","Head of","Budget","I.E.B.R","Total","Budget","I.E.B.R","Total","Budget","I.E.B.R","Total","Budget","I.E.B.R","Total"
"","","Development","Support","","","Support","","","Support","","","Support","",""
"Agriculture and Allied Activities","","",16080.79,112.75,16193.54,17514.51,177.86,17692.37,15844.07,126.56,15970.63,18623.56,157.72,18781.28
1.0,"Crop Husbandry",12401.0,8066.39,"...",8066.39,9033.78,"...",9033.78,8070.69,"...",8070.69,9875.54,"...",9875.54
2.0,"Soil and Water Conservation",12402.0,14.77,"...",14.77,16.35,"...",16.35,16.0,"...",16.0,19.0,"...",19.0
3.0,"Animal Husbandry",12403.0,723.57,"...",723.57,1062.8,"...",1062.8,848.69,"...",848.69,975.0,"...",975.0
4.0,"Dairy Development",12404.0,196.21,"...",196.21,353.0,"...",353.0,494.54,"...",494.54,524.7,"...",524.7
5.0,"Fisheries",12405.0,304.1,"...",304.1,299.7,"...",299.7,273.25,"...",273.25,317.3,"...",317.3
6.0,"Forestry and Wild Life",12406.0,913.64,"...",913.64,906.68,"...",906.68,754.79,"...",754.79,1041.32,"...",1041.32
7.0,"Plantations",12407.0,594.62,"...",594.62,446.25,"...",446.25,403.67,"...",403.67,458.01,"...",458.01
8.0,"Food, Storage and Warehousing",12408.0,590.29,112.75,703.04,608.95,177.86,786.81,599.48,126.56,726.04,643.1,157.72,800.82
9.0,"Agricultural Research and Education",12415.0,2572.97,"...",2572.97,2898.0,"...",2898.0,2293.6,"...",2293.6,3113.0,"...",3113.0
10.0,"Co-operation",12425.0,124.41,"...",124.41,125.0,"...",125.0,93.2,"...",93.2,121.5,"...",121.5
11.0,"Other Agricultural Programmes",12435.0,1979.82,"...",1979.82,1764.0,"...",1764.0,1996.16,"...",1996.16,1535.09,"...",1535.09
"Rural Development","","",37598.96,"...",37598.96,40763.45,"...",40763.45,35582.65,"...",35582.65,42772.55,"...",42772.55
1.0,"Special Programmes for Rural Development",12501.0,4704.14,"...",4704.14,6309.0,"...",6309.0,4986.65,"...",4986.65,8507.8,"...",8507.8
2.0,"Rural Employment",12505.0,29212.92,"...",29212.92,33000.0,"...",33000.0,29387.0,"...",29387.0,33000.0,"...",33000.0
3.0,"Land Reforms",12506.0,106.31,"...",106.31,135.45,"...",135.45,86.4,"...",86.4,339.75,"...",339.75
4.0,"Other Rural Development Programmes",12515.0,3575.59,"...",3575.59,1319.0,"...",1319.0,1122.6,"...",1122.6,925.0,"...",925.0
"Irrigation and Flood Control","","",506.06,"...",506.06,1275.0,"...",1275.0,427.79,"...",427.79,1200.0,"...",1200.0
1.0,"Major and Medium Irrigation",12701.0,189.86,"...",189.86,745.2,"...",745.2,203.91,"...",203.91,639.55,"...",639.55
2.0,"Minor Irrigation",12702.0,141.37,"...",141.37,336.8,"...",336.8,162.63,"...",162.63,272.0,"...",272.0
3.0,"Flood Control and Drainage",12711.0,174.83,"...",174.83,193.0,"...",193.0,61.25,"...",61.25,288.45,"...",288.45
"Energy","","",8581.48,113273.84,121855.32,12743.37,142098.57,154841.94,7253.6,140976.7,148230.3,12850.24,145436.68,158286.92
1.0,"Power",12801.0,6003.42,45840.54,51843.96,9559.87,59947.66,69507.53,4346.6,57245.38,61591.98,9393.94,59489.28,68883.22
2.0,"Petroleum",12802.0,"...",60191.43,60191.43,43.0,72553.88,72596.88,10.0,73245.74,73255.74,43.0,74455.8,74498.8
3.0,"Coal and Lignite",12803.0,327.57,4875.27,5202.84,394.0,7627.03,8021.03,360.0,7405.22,7765.22,394.4,9097.6,9492.0
4.0,"New and Renewable Energy",12810.0,2250.49,2366.6,4617.09,2746.5,1970.0,4716.5,2537.0,3080.36,5617.36,3018.9,2394.0,5412.9
"Industry and Minerals","","",12154.45,24081.01,36235.46,17258.65,39968.11,57226.76,12198.43,27029.53,39227.96,15206.38,32803.44,48009.82
1.0,"Village and Small Industries",12851.0,3036.45,"...",3036.45,5806.51,341.0,6147.51,3716.9,341.0,4057.9,3688.2,308.0,3996.2
2.0,"Iron and Steel Industries",12852.0,18.03,14574.73,14592.76,57.1,21756.0,21813.1,34.64,16360.6,16395.24,54.3,19684.77,19739.07
3.0,"Non-ferrous Mining and Metallurgical Industries",12853.0,374.23,973.16,1347.39,221.2,2699.64,2920.84,310.79,1321.49,1632.28,444.1,2452.12,2896.22
4.0,"Cement and non-Metallic Mineral Industries",12854.0,"...",3.66,3.66,0.01,75.43,75.44,0.01,54.26,54.27,0.01,113.29,113.3
